# Not a measured spectrum. Reflection data taken as 1-T from 'transmission_EO_86332.csv'
# Wavelength  (nm), Transmission (%)
311.000,86.469
312.000,86.844
313.000,91.593
314.000,95.642
315.000,97.515
316.000,98.246
317.000,98.433
318.000,98.287
319.000,98.112
320.000,98.561
321.000,99.185
322.000,99.500
323.000,99.622
324.000,99.643
325.000,99.581
326.000,99.418
327.000,99.250
328.000,99.384
329.000,99.602
330.000,99.708
331.000,99.735
332.000,99.698
333.000,99.565
334.000,99.256
335.000,98.946
336.000,99.220
337.000,99.487
338.000,99.590
339.000,99.584
340.000,99.467
341.000,99.138
342.000,98.401
343.000,98.089
344.000,98.739
345.000,99.180
346.000,99.369
347.000,99.426
348.000,99.390
349.000,99.240
350.000,98.863
351.000,97.983
352.000,98.725
353.000,99.468
354.000,99.722
355.000,99.806
356.000,99.823
357.000,99.786
358.000,99.643
359.000,99.243
360.000,99.425
361.000,99.753
362.000,99.863
363.000,99.896
364.000,99.895
365.000,99.858
366.000,99.722
367.000,99.271
368.000,99.407
369.000,99.775
370.000,99.878
371.000,99.908
372.000,99.908
373.000,99.878
374.000,99.766
375.000,99.444
376.000,99.273
377.000,99.724
378.000,99.865
379.000,99.908
380.000,99.918
381.000,99.907
382.000,99.858
383.000,99.706
384.000,98.867
385.000,98.800
386.000,99.724
387.000,99.882
388.000,99.928
389.000,99.945
390.000,99.952
391.000,99.951
392.000,99.945
393.000,99.930
394.000,99.901
395.000,99.844
396.000,99.720
397.000,99.452
398.000,98.932
399.000,98.414
400.000,98.379
401.000,98.517
402.000,98.533
403.000,98.353
404.000,97.890
405.000,96.922
406.000,94.888
407.000,90.408
408.000,80.578
409.000,63.840
410.000,50.145
411.000,39.712
412.000,16.844
413.000,14.286
414.000, 9.439
415.000, 4.173
416.000, 3.931
417.000, 5.395
418.000, 5.289
419.000, 3.721
420.000, 2.380
421.000, 2.317
422.000, 3.078
423.000, 3.734
424.000, 3.797
425.000, 3.310
426.000, 2.619
427.000, 2.066
428.000, 1.751
429.000, 1.620
430.000, 1.615
431.000, 1.740
432.000, 2.015
433.000, 2.400
434.000, 2.773
435.000, 2.975
436.000, 2.905
437.000, 2.575
438.000, 2.124
439.000, 1.748
440.000, 1.614
441.000, 1.762
442.000, 2.101
443.000, 2.463
444.000, 2.694
445.000, 2.719
446.000, 2.566
447.000, 2.341
448.000, 2.178
449.000, 2.175
450.000, 2.350
451.000, 2.631
452.000, 2.898
453.000, 3.035
454.000, 2.980
455.000, 2.744
456.000, 2.405
457.000, 2.084
458.000, 1.883
459.000, 1.870
460.000, 2.044
461.000, 2.346
462.000, 2.685
463.000, 2.971
464.000, 3.141
465.000, 3.176
466.000, 3.096
467.000, 2.946
468.000, 2.782
469.000, 2.647
470.000, 2.563
471.000, 2.526
472.000, 2.513
473.000, 2.491
474.000, 2.437
475.000, 2.343
476.000, 2.218
477.000, 2.088
478.000, 1.986
479.000, 1.943
480.000, 1.977
481.000, 2.093
482.000, 2.274
483.000, 2.495
484.000, 2.719
485.000, 2.914
486.000, 3.051
487.000, 3.112
488.000, 3.092
489.000, 2.993
490.000, 2.828
491.000, 2.614
492.000, 2.374
493.000, 2.134
494.000, 1.918
495.000, 1.749
496.000, 1.646
497.000, 1.620
498.000, 1.673
499.000, 1.800
500.000, 1.986
501.000, 2.209
502.000, 2.445
503.000, 2.666
504.000, 2.848
505.000, 2.969
506.000, 3.019
507.000, 2.994
508.000, 2.898
509.000, 2.741
510.000, 2.540
511.000, 2.318
512.000, 2.096
513.000, 1.896
514.000, 1.734
515.000, 1.621
516.000, 1.563
517.000, 1.557
518.000, 1.598
519.000, 1.677
520.000, 1.783
521.000, 1.903
522.000, 2.027
523.000, 2.145
524.000, 2.246
525.000, 2.325
526.000, 2.373
527.000, 2.387
528.000, 2.366
529.000, 2.311
530.000, 2.226
531.000, 2.119
532.000, 1.999
533.000, 1.881
534.000, 1.778
535.000, 1.705
536.000, 1.674
537.000, 1.692
538.000, 1.761
539.000, 1.879
540.000, 2.036
541.000, 2.220
542.000, 2.414
543.000, 2.601
544.000, 2.767
545.000, 2.899
546.000, 2.988
547.000, 3.031
548.000, 3.031
549.000, 2.991
550.000, 2.922
551.000, 2.835
552.000, 2.743
553.000, 2.656
554.000, 2.582
555.000, 2.528
556.000, 2.495
557.000, 2.482
558.000, 2.483
559.000, 2.492
560.000, 2.501
561.000, 2.504
562.000, 2.496
563.000, 2.473
564.000, 2.435
565.000, 2.384
566.000, 2.324
567.000, 2.261
568.000, 2.201
569.000, 2.151
570.000, 2.115
571.000, 2.096
572.000, 2.095
573.000, 2.111
574.000, 2.140
575.000, 2.177
576.000, 2.218
577.000, 2.256
578.000, 2.289
579.000, 2.311
580.000, 2.323
581.000, 2.325
582.000, 2.319
583.000, 2.309
584.000, 2.301
585.000, 2.300
586.000, 2.311
587.000, 2.339
588.000, 2.387
589.000, 2.456
590.000, 2.545
591.000, 2.653
592.000, 2.774
593.000, 2.904
594.000, 3.037
595.000, 3.166
596.000, 3.285
597.000, 3.390
598.000, 3.475
599.000, 3.537
600.000, 3.573
601.000, 3.584
602.000, 3.568
603.000, 3.526
604.000, 3.460
605.000, 3.372
606.000, 3.265
607.000, 3.141
608.000, 3.004
609.000, 2.858
610.000, 2.707
611.000, 2.556
612.000, 2.409
613.000, 2.273
614.000, 2.152
615.000, 2.052
616.000, 1.980
617.000, 1.939
618.000, 1.935
619.000, 1.968
620.000, 2.041
621.000, 2.152
622.000, 2.298
623.000, 2.473
624.000, 2.670
625.000, 2.881
626.000, 3.097
627.000, 3.306
628.000, 3.501
629.000, 3.670
630.000, 3.807
631.000, 3.906
632.000, 3.960
633.000, 3.968
634.000, 3.929
635.000, 3.843
636.000, 3.715
637.000, 3.549
638.000, 3.353
639.000, 3.134
640.000, 2.901
641.000, 2.663
642.000, 2.431
643.000, 2.215
644.000, 2.024
645.000, 1.866
646.000, 1.747
647.000, 1.672
648.000, 1.642
649.000, 1.658
650.000, 1.716
651.000, 1.813
652.000, 1.943
653.000, 2.099
654.000, 2.273
655.000, 2.460
656.000, 2.652
657.000, 2.843
658.000, 3.028
659.000, 3.202
660.000, 3.363
661.000, 3.509
662.000, 3.637
663.000, 3.748
664.000, 3.841
665.000, 3.916
666.000, 3.975
667.000, 4.016
668.000, 4.040
669.000, 4.048
670.000, 4.039
671.000, 4.013
672.000, 3.970
673.000, 3.909
674.000, 3.829
675.000, 3.730
676.000, 3.613
677.000, 3.479
678.000, 3.327
679.000, 3.161
680.000, 2.984
681.000, 2.797
682.000, 2.607
683.000, 2.417
684.000, 2.233
685.000, 2.062
686.000, 1.909
687.000, 1.780
688.000, 1.680
689.000, 1.615
690.000, 1.588
691.000, 1.601
692.000, 1.655
693.000, 1.750
694.000, 1.883
695.000, 2.050
696.000, 2.246
697.000, 2.463
698.000, 2.694
699.000, 2.934
700.000, 3.174
701.000, 3.407
702.000, 3.625
703.000, 3.824
704.000, 3.998
705.000, 4.143
706.000, 4.255
707.000, 4.333
708.000, 4.376
709.000, 4.384
710.000, 4.358
711.000, 4.300
712.000, 4.213
713.000, 4.102
714.000, 3.968
715.000, 3.818
716.000, 3.656
717.000, 3.487
718.000, 3.314
719.000, 3.144
720.000, 2.979
721.000, 2.824
722.000, 2.681
723.000, 2.554
724.000, 2.442
725.000, 2.349
726.000, 2.273
727.000, 2.214
728.000, 2.172
729.000, 2.145
730.000, 2.131
731.000, 2.130
732.000, 2.138
733.000, 2.154
734.000, 2.176
735.000, 2.203
736.000, 2.233
737.000, 2.266
738.000, 2.300
739.000, 2.335
740.000, 2.371
741.000, 2.408
742.000, 2.446
743.000, 2.485
744.000, 2.526
745.000, 2.569
746.000, 2.614
747.000, 2.662
748.000, 2.711
749.000, 2.762
750.000, 2.815
751.000, 2.869
752.000, 2.922
753.000, 2.974
754.000, 3.025
755.000, 3.072
756.000, 3.115
757.000, 3.152
758.000, 3.183
759.000, 3.206
760.000, 3.221
761.000, 3.228
762.000, 3.226
763.000, 3.215
764.000, 3.196
765.000, 3.170
766.000, 3.136
767.000, 3.096
768.000, 3.053
769.000, 3.006
770.000, 2.957
771.000, 2.909
772.000, 2.862
773.000, 2.819
774.000, 2.781
775.000, 2.749
776.000, 2.724
777.000, 2.707
778.000, 2.700
779.000, 2.702
780.000, 2.713
781.000, 2.733
782.000, 2.762
783.000, 2.799
784.000, 2.842
785.000, 2.891
786.000, 2.944
787.000, 2.999
788.000, 3.056
789.000, 3.112
790.000, 3.167
791.000, 3.219
792.000, 3.266
793.000, 3.309
794.000, 3.345
795.000, 3.375
796.000, 3.399
797.000, 3.415
798.000, 3.424
799.000, 3.427
800.000, 3.424
801.000, 3.416
802.000, 3.404
803.000, 3.387
804.000, 3.369
805.000, 3.349
806.000, 3.329
807.000, 3.309
808.000, 3.291
809.000, 3.276
810.000, 3.265
811.000, 3.257
812.000, 3.255
813.000, 3.257
814.000, 3.265
815.000, 3.278
816.000, 3.297
817.000, 3.321
818.000, 3.351
819.000, 3.384
820.000, 3.422
821.000, 3.464
822.000, 3.509
823.000, 3.557
824.000, 3.606
825.000, 3.657
826.000, 3.710
827.000, 3.763
828.000, 3.816
829.000, 3.870
830.000, 3.924
831.000, 3.978
832.000, 4.032
833.000, 4.085
834.000, 4.139
835.000, 4.193
836.000, 4.246
837.000, 4.300
838.000, 4.354
839.000, 4.407
840.000, 4.461
841.000, 4.515
842.000, 4.569
843.000, 4.622
844.000, 4.675
845.000, 4.726
846.000, 4.777
847.000, 4.825
848.000, 4.871
849.000, 4.914
850.000, 4.954
851.000, 4.989
852.000, 5.021
853.000, 5.049
854.000, 5.073
855.000, 5.092
856.000, 5.106
857.000, 5.117
858.000, 5.123
859.000, 5.126
860.000, 5.127
861.000, 5.125
862.000, 5.122
863.000, 5.119
864.000, 5.117
865.000, 5.117
866.000, 5.121
867.000, 5.130
868.000, 5.145
869.000, 5.168
870.000, 5.200
871.000, 5.242
872.000, 5.295
873.000, 5.361
874.000, 5.439
875.000, 5.531
876.000, 5.637
877.000, 5.757
878.000, 5.891
879.000, 6.038
880.000, 6.197
881.000, 6.368
882.000, 6.549
883.000, 6.739
884.000, 6.935
885.000, 7.137
886.000, 7.341
887.000, 7.547
888.000, 7.751
889.000, 7.952
890.000, 8.147
891.000, 8.334
892.000, 8.511
893.000, 8.677
894.000, 8.829
895.000, 8.966
896.000, 9.087
897.000, 9.191
898.000, 9.277
899.000, 9.345
900.000, 9.393
