# Wavelength  (nm), Transmission (%)
311.000000, 13.530990
312.000000, 13.155960
313.000000, 8.407020
314.000000, 4.357980
315.000000, 2.485130
316.000000, 1.754340
317.000000, 1.567360
318.000000, 1.712580
319.000000, 1.888130
320.000000, 1.439290
321.000000, 0.815010
322.000000, 0.500140
323.000000, 0.377560
324.000000, 0.356700
325.000000, 0.419470
326.000000, 0.582380
327.000000, 0.749630
328.000000, 0.616320
329.000000, 0.398350
330.000000, 0.291700
331.000000, 0.264740
332.000000, 0.302070
333.000000, 0.434580
334.000000, 0.743680
335.000000, 1.053830
336.000000, 0.780210
337.000000, 0.512960
338.000000, 0.410370
339.000000, 0.415620
340.000000, 0.533020
341.000000, 0.862110
342.000000, 1.599140
343.000000, 1.911410
344.000000, 1.260670
345.000000, 0.820370
346.000000, 0.631000
347.000000, 0.574190
348.000000, 0.609630
349.000000, 0.759720
350.000000, 1.136580
351.000000, 2.017450
352.000000, 1.275030
353.000000, 0.531550
354.000000, 0.278300
355.000000, 0.193960
356.000000, 0.176930
357.000000, 0.213640
358.000000, 0.356910
359.000000, 0.757370
360.000000, 0.575270
361.000000, 0.246950
362.000000, 0.137460
363.000000, 0.104480
364.000000, 0.105380
365.000000, 0.141870
366.000000, 0.277720
367.000000, 0.729260
368.000000, 0.592950
369.000000, 0.225430
370.000000, 0.122040
371.000000, 0.092370
372.000000, 0.092360
373.000000, 0.121650
374.000000, 0.234420
375.000000, 0.555930
376.000000, 0.726680
377.000000, 0.276350
378.000000, 0.134640
379.000000, 0.091950
380.000000, 0.081730
381.000000, 0.092570
382.000000, 0.141870
383.000000, 0.294110
384.000000, 1.132690
385.000000, 1.200000
386.000000, 0.276260
387.000000, 0.118310
388.000000, 0.072100
389.000000, 0.054610
390.000000, 0.048450
391.000000, 0.048890
392.000000, 0.055350
393.000000, 0.069910
394.000000, 0.098630
395.000000, 0.156280
396.000000, 0.279600
397.000000, 0.547770
398.000000, 1.068150
399.000000, 1.586480
400.000000, 1.621330
401.000000, 1.483320
402.000000, 1.467220
403.000000, 1.647340
404.000000, 2.109890
405.000000, 3.078190
406.000000, 5.111840
407.000000, 9.591540
408.000000, 19.421830
409.000000, 36.160340
410.000000, 49.855330
411.000000, 60.288030
412.000000, 83.156280
413.000000, 85.713980
414.000000, 90.560730
415.000000, 95.827340
416.000000, 96.068700
417.000000, 94.604800
418.000000, 94.710760
419.000000, 96.279070
420.000000, 97.619780
421.000000, 97.683210
422.000000, 96.922380
423.000000, 96.265900
424.000000, 96.203260
425.000000, 96.690440
426.000000, 97.380970
427.000000, 97.934120
428.000000, 98.249160
429.000000, 98.379630
430.000000, 98.384750
431.000000, 98.260110
432.000000, 97.985320
433.000000, 97.599900
434.000000, 97.227330
435.000000, 97.024780
436.000000, 97.095410
437.000000, 97.424630
438.000000, 97.876440
439.000000, 98.251900
440.000000, 98.386310
441.000000, 98.237980
442.000000, 97.899060
443.000000, 97.536760
444.000000, 97.305930
445.000000, 97.280900
446.000000, 97.434120
447.000000, 97.658980
448.000000, 97.822010
449.000000, 97.824840
450.000000, 97.650450
451.000000, 97.369190
452.000000, 97.102290
453.000000, 96.965250
454.000000, 97.020500
455.000000, 97.256400
456.000000, 97.594530
457.000000, 97.916370
458.000000, 98.116700
459.000000, 98.130270
460.000000, 97.956300
461.000000, 97.653780
462.000000, 97.314600
463.000000, 97.029160
464.000000, 96.858880
465.000000, 96.823650
466.000000, 96.903940
467.000000, 97.053520
468.000000, 97.218050
469.000000, 97.353030
470.000000, 97.436810
471.000000, 97.473600
472.000000, 97.487390
473.000000, 97.509250
474.000000, 97.562910
475.000000, 97.657000
476.000000, 97.781680
477.000000, 97.911550
478.000000, 98.013640
479.000000, 98.057160
480.000000, 98.022660
481.000000, 97.907340
482.000000, 97.725700
483.000000, 97.505460
484.000000, 97.280970
485.000000, 97.086140
486.000000, 96.948740
487.000000, 96.887720
488.000000, 96.908030
489.000000, 97.006690
490.000000, 97.172130
491.000000, 97.386060
492.000000, 97.625760
493.000000, 97.866100
494.000000, 98.081990
495.000000, 98.250570
496.000000, 98.353750
497.000000, 98.380170
498.000000, 98.326890
499.000000, 98.200010
500.000000, 98.014110
501.000000, 97.790580
502.000000, 97.555010
503.000000, 97.334070
504.000000, 97.152420
505.000000, 97.031330
506.000000, 96.980850
507.000000, 97.005660
508.000000, 97.102240
509.000000, 97.259380
510.000000, 97.459760
511.000000, 97.682050
512.000000, 97.903820
513.000000, 98.104130
514.000000, 98.266220
515.000000, 98.378910
516.000000, 98.437460
517.000000, 98.443020
518.000000, 98.401630
519.000000, 98.322620
520.000000, 98.217090
521.000000, 98.096660
522.000000, 97.972580
523.000000, 97.855180
524.000000, 97.753560
525.000000, 97.675490
526.000000, 97.627110
527.000000, 97.612940
528.000000, 97.633820
529.000000, 97.688800
530.000000, 97.773770
531.000000, 97.881270
532.000000, 98.000680
533.000000, 98.118890
534.000000, 98.221530
535.000000, 98.294550
536.000000, 98.326140
537.000000, 98.308470
538.000000, 98.238990
539.000000, 98.121060
540.000000, 97.963580
541.000000, 97.779900
542.000000, 97.586000
543.000000, 97.398540
544.000000, 97.232850
545.000000, 97.101280
546.000000, 97.012040
547.000000, 96.968570
548.000000, 96.969480
549.000000, 97.008980
550.000000, 97.077870
551.000000, 97.164700
552.000000, 97.257400
553.000000, 97.344420
554.000000, 97.417630
555.000000, 97.471580
556.000000, 97.504510
557.000000, 97.518150
558.000000, 97.517240
559.000000, 97.508380
560.000000, 97.498910
561.000000, 97.495670
562.000000, 97.504000
563.000000, 97.526950
564.000000, 97.565060
565.000000, 97.616210
566.000000, 97.676190
567.000000, 97.739210
568.000000, 97.798930
569.000000, 97.849280
570.000000, 97.885400
571.000000, 97.904250
572.000000, 97.905070
573.000000, 97.889330
574.000000, 97.860480
575.000000, 97.823020
576.000000, 97.782290
577.000000, 97.743600
578.000000, 97.711410
579.000000, 97.688780
580.000000, 97.676970
581.000000, 97.675330
582.000000, 97.681320
583.000000, 97.690930
584.000000, 97.699040
585.000000, 97.700150
586.000000, 97.688930
587.000000, 97.660960
588.000000, 97.613150
589.000000, 97.544220
590.000000, 97.454780
591.000000, 97.347320
592.000000, 97.225900
593.000000, 97.095850
594.000000, 96.963170
595.000000, 96.834120
596.000000, 96.714700
597.000000, 96.610300
598.000000, 96.525390
599.000000, 96.463390
600.000000, 96.426590
601.000000, 96.416180
602.000000, 96.432350
603.000000, 96.474250
604.000000, 96.540180
605.000000, 96.628050
606.000000, 96.735330
607.000000, 96.859010
608.000000, 96.995720
609.000000, 97.141650
610.000000, 97.292620
611.000000, 97.443980
612.000000, 97.590700
613.000000, 97.727320
614.000000, 97.848200
615.000000, 97.947590
616.000000, 98.020020
617.000000, 98.060560
618.000000, 98.065290
619.000000, 98.031660
620.000000, 97.958840
621.000000, 97.848000
622.000000, 97.702400
623.000000, 97.527350
624.000000, 97.329960
625.000000, 97.118820
626.000000, 96.903430
627.000000, 96.693730
628.000000, 96.499470
629.000000, 96.329740
630.000000, 96.192510
631.000000, 96.094240
632.000000, 96.039690
633.000000, 96.031670
634.000000, 96.071030
635.000000, 96.156600
636.000000, 96.285280
637.000000, 96.450510
638.000000, 96.646740
639.000000, 96.866030
640.000000, 97.099370
641.000000, 97.336950
642.000000, 97.568710
643.000000, 97.784690
644.000000, 97.975720
645.000000, 98.133790
646.000000, 98.252610
647.000000, 98.327910
648.000000, 98.357700
649.000000, 98.342240
650.000000, 98.283940
651.000000, 98.187080
652.000000, 98.057370
653.000000, 97.901490
654.000000, 97.726590
655.000000, 97.539820
656.000000, 97.347940
657.000000, 97.157030
658.000000, 96.972250
659.000000, 96.797770
660.000000, 96.636740
661.000000, 96.491330
662.000000, 96.362890
663.000000, 96.252090
664.000000, 96.159070
665.000000, 96.083650
666.000000, 96.025500
667.000000, 95.984290
668.000000, 95.959750
669.000000, 95.951840
670.000000, 95.960680
671.000000, 95.986590
672.000000, 96.030020
673.000000, 96.091450
674.000000, 96.171300
675.000000, 96.269760
676.000000, 96.386670
677.000000, 96.521400
678.000000, 96.672700
679.000000, 96.838630
680.000000, 97.016490
681.000000, 97.202780
682.000000, 97.393280
683.000000, 97.583020
684.000000, 97.766510
685.000000, 97.937870
686.000000, 98.091050
687.000000, 98.220160
688.000000, 98.319700
689.000000, 98.384960
690.000000, 98.412240
691.000000, 98.399160
692.000000, 98.344850
693.000000, 98.250050
694.000000, 98.117150
695.000000, 97.950070
696.000000, 97.754080
697.000000, 97.537440
698.000000, 97.305600
699.000000, 97.066020
700.000000, 96.826200
701.000000, 96.593430
702.000000, 96.374520
703.000000, 96.175550
704.000000, 96.001690
705.000000, 95.857110
