# Spectrum from 'eosin-em'
# Wavelength  (nm), Emission (a.u.)
510.000000, 3.142680
511.000000, 3.499410
512.000000, 4.173420
513.000000, 5.111620
514.000000, 6.122760
515.000000, 7.277630
516.000000, 8.774320
517.000000, 10.488800
518.000000, 12.243700
519.000000, 14.279200
520.000000, 16.631500
521.000000, 19.150400
522.000000, 22.433101
523.000000, 25.455999
524.000000, 28.741899
525.000000, 32.393500
526.000000, 36.502901
527.000000, 40.724900
528.000000, 45.214799
529.000000, 49.895900
530.000000, 54.682499
531.000000, 59.350401
532.000000, 64.037001
533.000000, 68.534303
534.000000, 72.848201
535.000000, 77.062201
536.000000, 81.200802
537.000000, 85.186797
538.000000, 87.878299
539.000000, 90.918398
540.000000, 93.272901
541.000000, 96.080202
542.000000, 97.837597
543.000000, 98.810202
544.000000, 99.607801
545.000000, 99.794900
546.000000, 100.000000
547.000000, 99.051797
548.000000, 98.606598
549.000000, 97.663802
550.000000, 95.680600
551.000000, 94.137698
552.000000, 92.259699
553.000000, 90.111601
554.000000, 87.610900
555.000000, 85.389698
556.000000, 82.996100
557.000000, 80.642802
558.000000, 77.950799
559.000000, 75.471699
560.000000, 72.485799
561.000000, 69.989699
562.000000, 67.360902
563.000000, 64.969897
564.000000, 62.435299
565.000000, 60.365301
566.000000, 58.354503
567.000000, 56.200302
568.000000, 54.207802
569.000000, 52.390301
570.000000, 50.530100
571.000000, 48.816800
572.000000, 47.500899
573.000000, 45.764601
574.000000, 44.115701
575.000000, 42.962700
576.000000, 41.679099
577.000000, 40.439001
578.000000, 39.330900
579.000000, 37.992001
580.000000, 37.086201
581.000000, 36.122400
582.000000, 35.455000
583.000000, 34.814799
584.000000, 33.816701
585.000000, 33.174399
586.000000, 32.347301
587.000000, 31.472400
588.000000, 30.649999
589.000000, 29.942200
590.000000, 29.059801
591.000000, 28.404501
592.000000, 27.763900
593.000000, 27.049199
594.000000, 26.267999
595.000000, 25.470400
596.000000, 24.843200
597.000000, 24.165501
598.000000, 23.242199
599.000000, 22.627400
600.000000, 22.132400
601.000000, 21.486799
602.000000, 20.615400
603.000000, 19.953901
604.000000, 19.403100
605.000000, 18.603800
606.000000, 17.921700
607.000000, 17.377201
608.000000, 16.672499
609.000000, 16.086400
610.000000, 15.412600
611.000000, 14.797400
612.000000, 14.269499
613.000000, 13.672100
614.000000, 13.200000
615.000000, 12.855600
616.000000, 12.326500
617.000000, 11.834800
618.000000, 11.433300
619.000000, 11.085000
620.000000, 10.509400
621.000000, 10.071900
622.000000, 9.637920
623.000000, 9.157770
624.000000, 8.862850
625.000000, 8.505260
626.000000, 8.375470
627.000000, 7.970960
628.000000, 7.650020
629.000000, 7.331330
630.000000, 7.039900
631.000000, 6.782060
632.000000, 6.648970
633.000000, 6.345080
634.000000, 6.137040
635.000000, 5.938660
636.000000, 5.799290
637.000000, 5.695360
638.000000, 5.447450
639.000000, 5.228260
640.000000, 5.155580
641.000000, 5.016130
642.000000, 4.941960
643.000000, 4.778400
644.000000, 4.583060
645.000000, 4.538060
646.000000, 4.401660
647.000000, 4.343330
648.000000, 4.193700
649.000000, 4.055380
650.000000, 3.962760
651.000000, 3.885200
652.000000, 3.825920
653.000000, 3.677420
654.000000, 3.514290
655.000000, 3.448830
656.000000, 3.278220
657.000000, 3.201010
658.000000, 3.141640
659.000000, 3.096380
660.000000, 2.892160
661.000000, 2.809640
662.000000, 2.770380
663.000000, 2.666270
664.000000, 2.643990
665.000000, 2.505840
666.000000, 2.465630
667.000000, 2.424710
668.000000, 2.278560
669.000000, 2.216150
670.000000, 2.246270
671.000000, 2.109520
672.000000, 2.093580
673.000000, 2.065470
674.000000, 1.943340
675.000000, 1.849590
676.000000, 1.801630
677.000000, 1.741130
678.000000, 1.689250
679.000000, 1.623180
680.000000, 1.567290
681.000000, 1.549710
682.000000, 1.490170
683.000000, 1.424360
684.000000, 1.424880
685.000000, 1.309200
686.000000, 1.320170
687.000000, 1.367780
688.000000, 1.272290
689.000000, 1.276290
690.000000, 1.194820
691.000000, 1.191940
692.000000, 1.129440
693.000000, 1.121520
694.000000, 1.092880
695.000000, 1.096020
696.000000, 1.032820
697.000000, 1.021850
698.000000, 1.062590
699.000000, 0.969886
700.000000, 1.017680
