# Spectrum from 'eosin-ex'
# Wavelength  (nm), Excitation (a.u.)
250.000000, 89.658600
251.000000, 89.311200
252.000000, 89.227098
253.000000, 89.277101
254.000000, 89.302099
255.000000, 89.327103
256.000000, 89.515698
257.000000, 89.863002
258.000000, 90.276498
259.000000, 90.680897
260.000000, 90.601301
261.000000, 90.599102
262.000000, 90.326500
263.000000, 89.908499
264.000000, 89.456600
265.000000, 89.049703
266.000000, 88.381797
267.000000, 87.941301
268.000000, 87.352902
269.000000, 86.850601
270.000000, 86.489600
271.000000, 86.130702
272.000000, 86.064601
273.000000, 86.071599
274.000000, 86.082703
275.000000, 86.044103
276.000000, 85.623801
277.000000, 85.249197
278.000000, 84.474498
279.000000, 83.665502
280.000000, 82.482201
281.000000, 81.212002
282.000000, 80.346698
283.000000, 79.424298
284.000000, 77.936101
285.000000, 75.509799
286.000000, 71.643400
287.000000, 67.735702
288.000000, 64.321202
289.000000, 62.172103
290.000000, 60.795599
291.000000, 59.443903
292.000000, 57.110697
293.000000, 53.875500
294.000000, 50.490499
295.000000, 47.412401
296.000000, 44.872499
297.000000, 43.005100
298.000000, 41.312599
299.000000, 39.728999
300.000000, 38.554499
301.000000, 37.482199
302.000000, 36.466900
303.000000, 35.848999
304.000000, 35.335499
305.000000, 34.776700
306.000000, 34.276700
307.000000, 33.927000
308.000000, 33.270201
309.000000, 32.806799
310.000000, 32.059601
311.000000, 31.082699
312.000000, 30.148801
313.000000, 29.121900
314.000000, 27.926999
315.000000, 26.734301
316.000000, 25.605199
317.000000, 24.399100
318.000000, 23.238000
319.000000, 22.181800
320.000000, 20.970701
321.000000, 19.991601
322.000000, 19.101299
323.000000, 17.972000
324.000000, 17.058700
325.000000, 16.302200
326.000000, 15.477800
327.000000, 14.991599
328.000000, 14.416599
329.000000, 13.760300
330.000000, 13.392000
331.000000, 12.987600
332.000000, 12.508300
333.000000, 12.356100
334.000000, 12.056400
335.000000, 11.965300
336.000000, 11.944900
337.000000, 11.951700
338.000000, 11.795200
339.000000, 12.001700
340.000000, 11.922400
341.000000, 11.897400
342.000000, 11.792900
343.000000, 11.813400
344.000000, 11.670000
345.000000, 11.658900
346.000000, 11.518000
347.000000, 11.431500
348.000000, 11.381500
349.000000, 11.208800
350.000000, 11.081800
351.000000, 10.913500
352.000000, 10.786300
353.000000, 10.700200
354.000000, 10.663600
355.000000, 10.507100
356.000000, 10.456900
357.000000, 10.341200
358.000000, 10.132000
359.000000, 10.022900
360.000000, 9.895720
361.000000, 9.832340
362.000000, 9.661960
363.000000, 9.632200
364.000000, 9.502700
365.000000, 9.395930
366.000000, 9.350490
367.000000, 9.277800
368.000000, 9.100600
369.000000, 9.162160
370.000000, 9.046300
371.000000, 8.977920
372.000000, 8.880460
373.000000, 8.814580
374.000000, 8.678040
375.000000, 8.539690
376.000000, 8.448820
377.000000, 8.396340
378.000000, 8.339770
379.000000, 8.228230
380.000000, 8.071700
381.000000, 8.019450
382.000000, 7.801350
383.000000, 7.860420
384.000000, 7.969470
385.000000, 8.016950
386.000000, 7.955840
387.000000, 7.903580
388.000000, 7.823850
389.000000, 7.787500
390.000000, 7.758190
391.000000, 7.714800
392.000000, 7.671630
393.000000, 7.658000
394.000000, 7.580760
395.000000, 7.544410
396.000000, 7.515110
397.000000, 7.421740
398.000000, 7.394480
399.000000, 7.349040
400.000000, 7.255890
401.000000, 7.265210
402.000000, 7.212960
403.000000, 7.160710
404.000000, 7.112770
405.000000, 7.042350
406.000000, 6.956020
407.000000, 6.894680
408.000000, 6.842660
409.000000, 6.769730
410.000000, 6.694990
411.000000, 6.565270
412.000000, 6.572080
413.000000, 6.454180
414.000000, 6.410790
415.000000, 6.345130
416.000000, 6.331270
417.000000, 6.197240
418.000000, 6.156570
419.000000, 6.092960
420.000000, 6.054340
421.000000, 5.922580
422.000000, 5.801950
423.000000, 5.808760
424.000000, 5.770140
425.000000, 5.736290
426.000000, 5.738330
427.000000, 5.718120
428.000000, 5.706530
429.000000, 5.695400
430.000000, 5.642920
431.000000, 5.567950
432.000000, 5.595440
433.000000, 5.588400
434.000000, 5.563630
435.000000, 5.647690
436.000000, 5.634060
437.000000, 5.690630
438.000000, 5.720390
439.000000, 5.852150
440.000000, 5.899860
441.000000, 5.993000
442.000000, 6.063430
443.000000, 6.154070
444.000000, 6.233810
445.000000, 6.403970
446.000000, 6.490530
447.000000, 6.712940
448.000000, 6.813120
449.000000, 7.031220
450.000000, 7.240220
451.000000, 7.476490
452.000000, 7.728430
453.000000, 8.012630
454.000000, 8.332960
455.000000, 8.689400
456.000000, 9.005180
457.000000, 9.384800
458.000000, 9.702620
459.000000, 10.177400
460.000000, 10.518400
461.000000, 10.943300
462.000000, 11.311100
463.000000, 11.770200
464.000000, 12.179100
465.000000, 12.737700
466.000000, 13.196900
467.000000, 13.778199
468.000000, 14.323699
469.000000, 15.020899
470.000000, 15.634300
471.000000, 16.306999
472.000000, 17.013501
473.000000, 17.853799
474.000000, 18.678699
475.000000, 19.619299
476.000000, 20.630200
477.000000, 21.668400
478.000000, 22.813199
479.000000, 24.035600
480.000000, 25.296199
481.000000, 26.639101
482.000000, 27.931800
483.000000, 29.385701
484.000000, 30.853301
485.000000, 32.431999
486.000000, 33.933601
487.000000, 35.562700
488.000000, 37.064201
489.000000, 38.718200
490.000000, 40.226701
491.000000, 41.812199
492.000000, 43.286800
493.000000, 44.820300
494.000000, 46.349001
495.000000, 47.816801
496.000000, 49.223101
497.000000, 50.547302
498.000000, 51.849002
499.000000, 53.119200
500.000000, 54.252797
501.000000, 55.400097
502.000000, 56.526899
503.000000, 57.644600
504.000000, 58.802998
505.000000, 60.043401
506.000000, 61.338598
507.000000, 62.840003
508.000000, 64.387101
509.000000, 66.159302
510.000000, 68.079001
511.000000, 70.196301
512.000000, 72.367901
513.000000, 74.944299
514.000000, 77.554601
515.000000, 80.330598
516.000000, 83.068103
517.000000, 85.914600
518.000000, 88.620299
519.000000, 91.130900
520.000000, 93.486500
521.000000, 95.538199
522.000000, 97.307903
523.000000, 98.636699
524.000000, 99.495399
525.000000, 100.000000
526.000000, 99.924999
527.000000, 99.449998
528.000000, 98.473102
529.000000, 96.982801
530.000000, 95.036101
531.000000, 92.700702
532.000000, 89.892602
533.000000, 86.755198
534.000000, 83.356601
535.000000, 79.671699
536.000000, 75.832403
537.000000, 71.838599
538.000000, 67.788202
539.000000, 63.705802
540.000000, 59.595799
541.000000, 55.617899
542.000000, 51.640201
543.000000, 47.764599
544.000000, 43.913600
545.000000, 40.353900
546.000000, 36.898500
547.000000, 33.654201
548.000000, 30.492100
549.000000, 27.747500
550.000000, 25.073799
551.000000, 22.574900
552.000000, 20.359901
553.000000, 18.319800
554.000000, 16.493000
555.000000, 14.832300
556.000000, 13.373800
557.000000, 11.958500
558.000000, 10.838700
559.000000, 9.745790
560.000000, 8.739610
561.000000, 7.924030
562.000000, 7.119590
563.000000, 6.472130
564.000000, 5.836250
565.000000, 5.327370
566.000000, 4.818260
567.000000, 4.443410
568.000000, 4.004950
569.000000, 3.750740
570.000000, 3.394070
571.000000, 3.180520
572.000000, 2.921530
573.000000, 2.728200
574.000000, 2.510110
575.000000, 2.446500
576.000000, 2.255670
577.000000, 2.187740
578.000000, 2.003730
579.000000, 1.919440
580.000000, 1.828800
581.000000, 1.758140
582.000000, 1.703620
583.000000, 1.628880
584.000000, 1.592300
585.000000, 1.524150
586.000000, 1.501660
587.000000, 1.480980
588.000000, 1.449410
589.000000, 1.428730
590.000000, 1.392610
591.000000, 1.385570
592.000000, 1.351720
593.000000, 1.331050
594.000000, 1.312870
595.000000, 1.308560
596.000000, 1.308560
597.000000, 1.283570
598.000000, 1.279020
599.000000, 1.306280
600.000000, 1.276520
601.000000, 1.235630
602.000000, 1.201550
603.000000, 1.213140
604.000000, 1.219730
605.000000, 1.190190
606.000000, 1.169980
607.000000, 1.183610
608.000000, 1.165210
609.000000, 1.154070
610.000000, 1.151570
611.000000, 1.172250
612.000000, 1.129080
613.000000, 1.137940
614.000000, 1.135670
615.000000, 1.149300
616.000000, 1.151570
617.000000, 1.147030
618.000000, 1.149300
619.000000, 1.135670
620.000000, 1.154070
621.000000, 1.147030
622.000000, 1.137940
623.000000, 1.097050
624.000000, 1.119770
625.000000, 1.124310
626.000000, 1.147030
627.000000, 1.108410
628.000000, 1.124310
629.000000, 1.106140
630.000000, 1.154070
631.000000, 1.147030
632.000000, 1.126810
633.000000, 1.137940
634.000000, 1.099550
635.000000, 1.117730
636.000000, 1.099550
637.000000, 1.053890
638.000000, 1.110680
639.000000, 1.081150
640.000000, 1.092510
641.000000, 1.088190
642.000000, 1.067520
643.000000, 1.097050
644.000000, 1.092510
645.000000, 1.101820
646.000000, 1.106140
647.000000, 1.097050
648.000000, 1.090460
649.000000, 1.142710
650.000000, 1.097050
651.000000, 1.124310
652.000000, 1.101820
653.000000, 1.062970
654.000000, 1.051620
655.000000, 1.047300
656.000000, 1.053890
657.000000, 1.022080
658.000000, 0.976873
659.000000, 1.008450
660.000000, 1.008450
661.000000, 0.958699
662.000000, 0.945068
663.000000, 0.917806
664.000000, 0.899405
665.000000, 0.888046
666.000000, 0.815576
667.000000, 0.833750
668.000000, 0.806488
669.000000, 0.799673
670.000000, 0.767640
671.000000, 0.765596
672.000000, 0.674724
673.000000, 0.726748
674.000000, 0.690627
675.000000, 0.661093
676.000000, 0.606570
677.000000, 0.620201
678.000000, 0.552047
679.000000, 0.547276
680.000000, 0.510927
681.000000, 0.479349
682.000000, 0.479349
683.000000, 0.461175
684.000000, 0.420283
685.000000, 0.426871
686.000000, 0.447544
687.000000, 0.390522
688.000000, 0.372575
689.000000, 0.324640
690.000000, 0.311009
691.000000, 0.279431
692.000000, 0.258758
693.000000, 0.204235
694.000000, 0.188332
695.000000, 0.143123
696.000000, 0.136308
697.000000, 0.122450
698.000000, 0.083800
699.000000, 0.056800
700.000000, 0.001000
