# Spectrum from 'fadsynthethic-em)
# Wavelength  (nm), Emission (a.u.)
400.000, 0.000
401.000, 0.000
402.000, 0.000
403.000, 0.000
404.000, 0.000
405.000, 0.000
406.000, 0.000
407.000, 0.000
408.000, 0.000
409.000, 0.000
410.000, 0.000
411.000, 0.000
412.000, 0.000
413.000, 0.000
414.000, 0.000
415.000, 0.000
416.000, 0.000
417.000, 0.000
418.000, 0.000
419.000, 0.000
420.000, 0.000
421.000, 0.000
422.000, 0.000
423.000, 0.000
424.000, 0.000
425.000, 0.000
426.000, 0.000
427.000, 0.000
428.000, 0.000
429.000, 0.000
430.000, 0.000
431.000, 0.000
432.000, 0.000
433.000, 0.000
434.000, 0.000
435.000, 0.000
436.000, 0.000
437.000, 0.000
438.000, 0.000
439.000, 0.000
440.000, 0.000
441.000, 0.000
442.000, 0.000
443.000, 0.000
444.000, 0.000
445.000, 0.000
446.000, 0.000
447.000, 0.000
448.000, 0.000
449.000, 0.000
450.000, 0.000
451.000, 0.000
452.000, 0.001
453.000, 0.001
454.000, 0.002
455.000, 0.003
456.000, 0.005
457.000, 0.007
458.000, 0.011
459.000, 0.017
460.000, 0.025
461.000, 0.035
462.000, 0.050
463.000, 0.070
464.000, 0.096
465.000, 0.131
466.000, 0.175
467.000, 0.232
468.000, 0.305
469.000, 0.396
470.000, 0.509
471.000, 0.647
472.000, 0.816
473.000, 1.018
474.000, 1.261
475.000, 1.548
476.000, 1.885
477.000, 2.278
478.000, 2.733
479.000, 3.255
480.000, 3.850
481.000, 4.524
482.000, 5.282
483.000, 6.129
484.000, 7.071
485.000, 8.110
486.000, 9.252
487.000,10.498
488.000,11.851
489.000,13.313
490.000,14.885
491.000,16.565
492.000,18.353
493.000,20.248
494.000,22.245
495.000,24.342
496.000,26.533
497.000,28.814
498.000,31.177
499.000,33.616
500.000,36.123
501.000,38.690
502.000,41.308
503.000,43.968
504.000,46.659
505.000,49.373
506.000,52.098
507.000,54.826
508.000,57.544
509.000,60.244
510.000,62.915
511.000,65.548
512.000,68.132
513.000,70.660
514.000,73.121
515.000,75.508
516.000,77.813
517.000,80.028
518.000,82.147
519.000,84.165
520.000,86.074
521.000,87.871
522.000,89.552
523.000,91.112
524.000,92.550
525.000,93.862
526.000,95.047
527.000,96.104
528.000,97.032
529.000,97.833
530.000,98.505
531.000,99.050
532.000,99.470
533.000,99.767
534.000,99.942
535.000,100.000
536.000,99.942
537.000,99.773
538.000,99.496
539.000,99.114
540.000,98.632
541.000,98.055
542.000,97.385
543.000,96.629
544.000,95.790
545.000,94.874
546.000,93.884
547.000,92.826
548.000,91.704
549.000,90.523
550.000,89.287
551.000,88.001
552.000,86.669
553.000,85.297
554.000,83.887
555.000,82.444
556.000,80.973
557.000,79.476
558.000,77.958
559.000,76.422
560.000,74.872
561.000,73.311
562.000,71.743
563.000,70.169
564.000,68.593
565.000,67.018
566.000,65.446
567.000,63.880
568.000,62.321
569.000,60.772
570.000,59.235
571.000,57.711
572.000,56.202
573.000,54.710
574.000,53.236
575.000,51.782
576.000,50.348
577.000,48.935
578.000,47.545
579.000,46.178
580.000,44.835
581.000,43.516
582.000,42.223
583.000,40.955
584.000,39.713
585.000,38.498
586.000,37.308
587.000,36.146
588.000,35.010
589.000,33.901
590.000,32.818
591.000,31.762
592.000,30.733
593.000,29.730
594.000,28.753
595.000,27.802
596.000,26.877
597.000,25.977
598.000,25.102
599.000,24.252
600.000,23.427
601.000,22.625
602.000,21.847
603.000,21.091
604.000,20.359
605.000,19.649
606.000,18.960
607.000,18.293
608.000,17.647
609.000,17.021
610.000,16.415
611.000,15.829
612.000,15.262
613.000,14.713
614.000,14.182
615.000,13.669
616.000,13.172
617.000,12.693
618.000,12.230
619.000,11.782
620.000,11.350
621.000,10.932
622.000,10.529
623.000,10.140
624.000, 9.765
625.000, 9.402
626.000, 9.053
627.000, 8.716
628.000, 8.391
629.000, 8.077
630.000, 7.775
631.000, 7.483
632.000, 7.202
633.000, 6.931
634.000, 6.671
635.000, 6.419
636.000, 6.177
637.000, 5.944
638.000, 5.719
639.000, 5.502
640.000, 5.294
641.000, 5.093
642.000, 4.900
643.000, 4.714
644.000, 4.535
645.000, 4.362
646.000, 4.196
647.000, 4.036
648.000, 3.883
649.000, 3.735
650.000, 3.592
651.000, 3.455
652.000, 3.324
653.000, 3.197
654.000, 3.075
655.000, 2.957
656.000, 2.845
657.000, 2.736
658.000, 2.631
659.000, 2.531
660.000, 2.434
661.000, 2.341
662.000, 2.252
663.000, 2.166
664.000, 2.083
665.000, 2.004
666.000, 1.928
667.000, 1.854
668.000, 1.784
669.000, 1.716
670.000, 1.650
671.000, 1.587
672.000, 1.527
673.000, 1.469
674.000, 1.413
675.000, 1.359
676.000, 1.308
677.000, 1.258
678.000, 1.210
679.000, 1.165
680.000, 1.121
681.000, 1.078
682.000, 1.037
683.000, 0.998
684.000, 0.960
685.000, 0.924
686.000, 0.889
687.000, 0.856
688.000, 0.824
689.000, 0.793
690.000, 0.763
691.000, 0.734
692.000, 0.707
693.000, 0.680
694.000, 0.655
695.000, 0.630
696.000, 0.607
697.000, 0.584
698.000, 0.562
699.000, 0.541
700.000, 0.521
701.000, 0.502
702.000, 0.483
703.000, 0.465
704.000, 0.448
705.000, 0.432
706.000, 0.416
707.000, 0.400
708.000, 0.386
709.000, 0.371
710.000, 0.358
711.000, 0.345
712.000, 0.332
713.000, 0.320
714.000, 0.308
715.000, 0.297
716.000, 0.286
717.000, 0.276
718.000, 0.265
719.000, 0.256
720.000, 0.247
721.000, 0.238
722.000, 0.229
723.000, 0.221
724.000, 0.213
725.000, 0.205
726.000, 0.198
727.000, 0.191
728.000, 0.184
729.000, 0.177
730.000, 0.171
731.000, 0.165
732.000, 0.159
733.000, 0.153
734.000, 0.148
735.000, 0.143
736.000, 0.137
737.000, 0.133
738.000, 0.128
739.000, 0.123
740.000, 0.119
741.000, 0.115
742.000, 0.111
743.000, 0.107
744.000, 0.103
745.000, 0.100
746.000, 0.096
747.000, 0.093
748.000, 0.089
749.000, 0.086
750.000, 0.083
