# Spectrum from 'gcamp6f-em'
# Wavelength  (nm), Emission (a.u.)
469.000000, 0.150000
470.000000, 0.120000
471.000000, 0.100000
472.000000, 0.100000
473.000000, 0.080000
474.000000, 0.060000
475.000000, 0.090000
476.000000, 0.140000
477.000000, 0.210000
478.000000, 0.270000
479.000000, 0.350000
480.000000, 0.440000
481.000000, 0.570000
482.000000, 0.720000
483.000000, 0.940000
484.000000, 1.290000
485.000000, 1.700000
486.000000, 2.140000
487.000000, 2.580000
488.000000, 3.220000
489.000000, 3.940000
490.000000, 4.880000
491.000000, 5.980000
492.000000, 7.280000
493.000000, 9.320000
494.000000, 10.900000
495.000000, 13.140000
496.000000, 15.510000
497.000000, 18.670000
498.000000, 21.540000
499.000000, 26.499999
500.000000, 31.750000
501.000000, 35.720000
502.000000, 43.140000
503.000000, 48.679999
504.000000, 55.650002
505.000000, 61.750001
506.000000, 68.030000
507.000000, 74.500000
508.000000, 80.890000
509.000000, 87.620002
510.000000, 93.229997
511.000000, 96.090001
512.000000, 98.210001
513.000000, 99.489999
514.000000, 100.000000
515.000000, 99.119997
516.000000, 97.600001
517.000000, 94.319999
518.000000, 90.750003
519.000000, 86.299998
520.000000, 82.209998
521.000000, 77.190000
522.000000, 73.350000
523.000000, 68.860000
524.000000, 64.109999
525.000000, 60.579997
526.000000, 57.359999
527.000000, 54.809999
528.000000, 51.529998
529.000000, 48.420000
530.000000, 45.620000
531.000000, 44.000000
532.000000, 42.039999
533.000000, 40.220001
534.000000, 38.630000
535.000000, 37.180001
536.000000, 36.059999
537.000000, 34.869999
538.000000, 33.660001
539.000000, 32.600001
540.000000, 31.680000
541.000000, 30.829999
542.000000, 30.039999
543.000000, 29.330000
544.000000, 28.709999
545.000000, 28.220001
546.000000, 27.640000
547.000000, 27.020001
548.000000, 26.470000
549.000000, 25.920001
550.000000, 25.220001
551.000000, 24.500000
552.000000, 23.680000
553.000000, 22.840001
554.000000, 22.000000
555.000000, 21.220000
556.000000, 20.250000
557.000000, 19.200000
558.000000, 18.330000
559.000000, 17.479999
560.000000, 16.620000
561.000000, 15.750000
562.000000, 14.929999
563.000000, 14.060000
564.000000, 13.150001
565.000000, 12.440000
566.000000, 11.790000
567.000000, 11.230000
568.000000, 10.690000
569.000000, 10.160000
570.000000, 9.570000
571.000000, 8.900000
572.000000, 8.410000
573.000000, 8.010000
574.000000, 7.600000
575.000000, 7.190000
576.000000, 6.800000
577.000000, 6.420000
578.000000, 6.100000
579.000000, 5.770000
580.000000, 5.430000
581.000000, 5.130000
582.000000, 4.880000
583.000000, 4.670000
584.000000, 4.480000
585.000000, 4.280000
586.000000, 4.080000
587.000000, 3.900000
588.000000, 3.720000
589.000000, 3.570000
590.000000, 3.410000
591.000000, 3.230000
592.000000, 3.120000
593.000000, 3.050000
594.000000, 2.910000
595.000000, 2.750000
596.000000, 2.640000
597.000000, 2.520000
598.000000, 2.410000
599.000000, 2.290000
600.000000, 2.150000
601.000000, 2.030000
602.000000, 1.950000
603.000000, 1.870000
604.000000, 1.800000
605.000000, 1.720000
606.000000, 1.640000
607.000000, 1.540000
608.000000, 1.440000
609.000000, 1.370000
610.000000, 1.310000
611.000000, 1.250000
612.000000, 1.190000
613.000000, 1.120000
614.000000, 1.010000
615.000000, 0.870000
616.000000, 0.740000
617.000000, 0.670000
618.000000, 0.620000
619.000000, 0.580000
620.000000, 0.540000
621.000000, 0.530000
622.000000, 0.510000
623.000000, 0.450000
624.000000, 0.410000
625.000000, 0.410000
626.000000, 0.380000
627.000000, 0.330000
628.000000, 0.260000
629.000000, 0.170000
630.000000, 0.120000
631.000000, 0.090000
632.000000, 0.090000
633.000000, 0.080000
634.000000, 0.040000
635.000000, 0.020000
