# Spectrum from 'gcamp6f-ex'
# Wavelength  (nm), Excitation (a.u.)
402.000000, 2.290000
403.000000, 2.370000
404.000000, 2.420000
405.000000, 2.470000
406.000000, 2.550000
407.000000, 2.640000
408.000000, 2.790000
409.000000, 2.920000
410.000000, 3.040000
411.000000, 3.180000
412.000000, 3.330000
413.000000, 3.480000
414.000000, 3.640000
415.000000, 3.820000
416.000000, 4.020000
417.000000, 4.270000
418.000000, 4.490000
419.000000, 4.680000
420.000000, 4.900000
421.000000, 5.150000
422.000000, 5.410000
423.000000, 5.690000
424.000000, 5.940000
425.000000, 6.190000
426.000000, 6.550000
427.000000, 6.930000
428.000000, 7.340000
429.000000, 7.780000
430.000000, 8.250000
431.000000, 8.720000
432.000000, 9.190000
433.000000, 9.750000
434.000000, 10.330000
435.000000, 10.850000
436.000000, 11.380000
437.000000, 12.040000
438.000000, 12.720001
439.000000, 13.420001
440.000000, 14.070000
441.000000, 14.700000
442.000000, 15.300000
443.000000, 16.020000
444.000000, 17.140000
445.000000, 17.990001
446.000000, 18.830000
447.000000, 19.710000
448.000000, 20.630001
449.000000, 21.650000
450.000000, 22.790000
451.000000, 24.030000
452.000000, 25.290000
453.000000, 26.580000
454.000000, 27.900001
455.000000, 29.440001
456.000000, 31.400001
457.000000, 33.539999
458.000000, 34.920001
459.000000, 36.700001
460.000000, 37.979999
461.000000, 39.440000
462.000000, 40.910000
463.000000, 42.449999
464.000000, 43.840000
465.000000, 45.469999
466.000000, 47.499999
467.000000, 49.190000
468.000000, 50.340003
469.000000, 52.060002
470.000000, 53.590000
471.000000, 54.670000
472.000000, 55.680001
473.000000, 56.950003
474.000000, 58.170003
475.000000, 59.649998
476.000000, 60.610002
477.000000, 61.559999
478.000000, 62.910002
479.000000, 64.840001
480.000000, 67.330003
481.000000, 70.200002
482.000000, 72.399998
483.000000, 74.129999
484.000000, 75.800002
485.000000, 77.950001
486.000000, 79.979998
487.000000, 82.160002
488.000000, 84.820002
489.000000, 87.050003
490.000000, 89.200002
491.000000, 90.920001
492.000000, 93.180001
493.000000, 95.200002
494.000000, 97.189999
495.000000, 98.830003
496.000000, 99.730003
497.000000, 100.000000
498.000000, 99.839997
499.000000, 99.010003
500.000000, 97.960001
501.000000, 96.679997
502.000000, 94.340003
503.000000, 90.120000
504.000000, 87.199998
505.000000, 81.870002
506.000000, 77.160001
507.000000, 69.230002
508.000000, 65.280002
509.000000, 58.639997
510.000000, 53.130001
511.000000, 45.789999
512.000000, 43.120000
513.000000, 34.840000
514.000000, 32.260001
515.000000, 27.030000
516.000000, 22.800000
517.000000, 19.159999
518.000000, 14.870000
519.000000, 12.570000
520.000000, 10.080000
521.000000, 8.000000
522.000000, 6.700000
523.000000, 5.400000
524.000000, 4.090000
525.000000, 3.100000
526.000000, 2.370000
527.000000, 1.830000
528.000000, 1.350000
529.000000, 1.120000
530.000000, 0.920000
531.000000, 0.780000
532.000000, 0.620000
533.000000, 0.420000
534.000000, 0.290000
535.000000, 0.220000
536.000000, 0.190000
537.000000, 0.190000
538.000000, 0.140000
539.000000, 0.080000
540.000000, 0.080000
541.000000, 0.080000
542.000000, 0.080000
543.000000, 0.080000
544.000000, 0.080000
545.000000, 0.080000
546.000000, 0.080000
547.000000, 0.080000
548.000000, 0.080000
