# Spectrum from 'mcherry-em'
# Wavelength  (nm), Emission (a.u.)
562.000000, 1.569800
563.000000, 2.529090
564.000000, 2.907690
565.000000, 2.582670
566.000000, 2.006250
567.000000, 1.931630
568.000000, 2.249050
569.000000, 2.556480
570.000000, 2.983970
571.000000, 3.446560
572.000000, 4.155370
573.000000, 4.787190
574.000000, 5.522230
575.000000, 6.535390
576.000000, 7.521460
577.000000, 8.938890
578.000000, 10.223400
579.000000, 11.894700
580.000000, 13.761801
581.000000, 15.954900
582.000000, 18.307000
583.000000, 21.114799
584.000000, 23.658600
585.000000, 26.542401
586.000000, 29.737601
587.000000, 33.486301
588.000000, 36.868000
589.000000, 40.570700
590.000000, 44.701400
591.000000, 48.798400
592.000000, 53.065902
593.000000, 57.145500
594.000000, 61.278802
595.000000, 65.497297
596.000000, 69.169998
597.000000, 73.271501
598.000000, 76.668602
599.000000, 80.783200
600.000000, 83.875102
601.000000, 86.879301
602.000000, 89.569098
603.000000, 91.969198
604.000000, 93.680400
605.000000, 96.051699
606.000000, 97.379798
607.000000, 97.986400
608.000000, 98.886698
609.000000, 99.562502
610.000000, 100.000000
611.000000, 99.047202
612.000000, 99.087000
613.000000, 97.573102
614.000000, 96.800703
615.000000, 95.531601
616.000000, 94.249499
617.000000, 93.095303
618.000000, 90.308499
619.000000, 89.240497
620.000000, 87.085098
621.000000, 85.184902
622.000000, 83.050001
623.000000, 81.190002
624.000000, 79.495001
625.000000, 77.231002
626.000000, 75.359303
627.000000, 73.890299
628.000000, 71.921903
629.000000, 70.642102
630.000000, 69.039100
631.000000, 67.370200
632.000000, 66.198301
633.000000, 64.998400
634.000000, 63.347298
635.000000, 61.568600
636.000000, 60.532999
637.000000, 59.573299
638.000000, 58.241200
639.000000, 57.632500
640.000000, 56.206101
641.000000, 55.400503
642.000000, 54.281801
643.000000, 53.803402
644.000000, 53.492397
645.000000, 52.138698
646.000000, 51.398599
647.000000, 50.319898
648.000000, 49.905500
649.000000, 48.873401
650.000000, 48.339799
651.000000, 47.664899
652.000000, 47.068900
653.000000, 46.177301
654.000000, 45.536399
655.000000, 45.166901
656.000000, 44.020000
657.000000, 43.277299
658.000000, 42.262599
659.000000, 41.602299
660.000000, 41.276100
661.000000, 40.618601
662.000000, 40.003201
663.000000, 39.155900
664.000000, 38.576400
665.000000, 37.817699
666.000000, 37.053299
667.000000, 36.464199
668.000000, 35.898700
669.000000, 35.397300
670.000000, 35.017401
671.000000, 33.963999
672.000000, 33.635399
673.000000, 32.933101
674.000000, 32.009500
675.000000, 31.395301
676.000000, 30.909699
677.000000, 30.474600
678.000000, 29.677099
679.000000, 28.639501
680.000000, 27.862099
681.000000, 27.574399
682.000000, 26.753300
683.000000, 26.024601
684.000000, 25.201201
685.000000, 24.655201
686.000000, 23.984800
687.000000, 23.249499
688.000000, 23.075099
689.000000, 22.504599
690.000000, 21.661700
691.000000, 20.640001
692.000000, 20.653000
693.000000, 19.771799
694.000000, 19.516300
695.000000, 19.030499
696.000000, 18.478499
697.000000, 18.010999
698.000000, 17.550801
699.000000, 16.938999
700.000000, 16.652200
701.000000, 16.310500
702.000000, 15.789901
703.000000, 15.378600
704.000000, 14.870501
705.000000, 14.512099
706.000000, 14.248000
707.000000, 14.168000
708.000000, 13.611500
709.000000, 13.542500
710.000000, 12.835400
711.000000, 12.577599
712.000000, 12.447500
713.000000, 12.190500
714.000000, 11.955000
715.000000, 11.573600
716.000000, 11.115100
717.000000, 10.955600
718.000000, 10.643100
719.000000, 10.437500
720.000000, 10.183900
721.000000, 9.957210
722.000000, 9.676410
723.000000, 9.598590
724.000000, 9.420290
725.000000, 9.207930
726.000000, 8.879500
727.000000, 8.738410
728.000000, 8.620770
729.000000, 8.288610
730.000000, 8.142260
731.000000, 7.912370
732.000000, 7.701260
733.000000, 7.801870
734.000000, 7.279050
735.000000, 7.483710
736.000000, 7.091300
737.000000, 7.333630
738.000000, 6.824990
739.000000, 6.661320
740.000000, 6.635440
741.000000, 6.632030
742.000000, 6.119040
743.000000, 6.279320
744.000000, 6.031530
745.000000, 6.058440
746.000000, 5.691880
747.000000, 5.577580
748.000000, 5.595740
749.000000, 5.585670
750.000000, 5.360040
751.000000, 5.127690
752.000000, 5.227450
753.000000, 4.997560
754.000000, 4.956360
755.000000, 4.803040
756.000000, 4.539790
757.000000, 4.560050
758.000000, 4.366740
759.000000, 4.343030
760.000000, 4.026900
