# Spectrum from 'mcherry-ex'
# Wavelength  (nm), Excitation (a.u.)
452.000000, 1.296500
453.000000, 1.391220
454.000000, 1.473650
455.000000, 1.567940
456.000000, 1.634540
457.000000, 1.749180
458.000000, 1.818420
459.000000, 1.979000
460.000000, 2.061780
461.000000, 2.215760
462.000000, 2.312650
463.000000, 2.456550
464.000000, 2.544430
465.000000, 2.745340
466.000000, 2.888780
467.000000, 2.989490
468.000000, 3.103270
469.000000, 3.283590
470.000000, 3.409170
471.000000, 3.560760
472.000000, 3.765880
473.000000, 3.890360
474.000000, 4.053500
475.000000, 4.236420
476.000000, 4.444960
477.000000, 4.629730
478.000000, 4.920910
479.000000, 5.043920
480.000000, 5.295550
481.000000, 5.556470
482.000000, 5.805490
483.000000, 6.096750
484.000000, 6.330160
485.000000, 6.625760
486.000000, 6.944700
487.000000, 7.262360
488.000000, 7.624450
489.000000, 8.076280
490.000000, 8.414070
491.000000, 8.858520
492.000000, 9.279800
493.000000, 9.707970
494.000000, 10.073000
495.000000, 10.645700
496.000000, 11.154000
497.000000, 11.701100
498.000000, 12.223000
499.000000, 12.667100
500.000000, 13.268299
501.000000, 13.721301
502.000000, 14.213100
503.000000, 14.808699
504.000000, 15.242600
505.000000, 15.859300
506.000000, 16.418900
507.000000, 16.876900
508.000000, 17.497300
509.000000, 18.008800
510.000000, 18.664099
511.000000, 19.079199
512.000000, 19.808200
513.000000, 20.361800
514.000000, 20.889799
515.000000, 21.682800
516.000000, 22.470400
517.000000, 23.241000
518.000000, 23.918800
519.000000, 24.803799
520.000000, 25.698301
521.000000, 26.616800
522.000000, 27.537999
523.000000, 28.379899
524.000000, 29.570401
525.000000, 30.647299
526.000000, 32.040700
527.000000, 33.083999
528.000000, 34.554201
529.000000, 35.583499
530.000000, 37.263399
531.000000, 38.342601
532.000000, 40.029499
533.000000, 41.394299
534.000000, 42.893001
535.000000, 44.244400
536.000000, 45.679101
537.000000, 47.220799
538.000000, 48.473400
539.000000, 49.602699
540.000000, 50.698698
541.000000, 51.913798
542.000000, 52.622998
543.000000, 53.516299
544.000000, 54.616100
545.000000, 55.278200
546.000000, 55.548799
547.000000, 56.562698
548.000000, 56.949103
549.000000, 57.507098
550.000000, 57.837600
551.000000, 58.302999
552.000000, 58.663702
553.000000, 58.793098
554.000000, 59.407598
555.000000, 59.937799
556.000000, 60.412198
557.000000, 60.940701
558.000000, 61.539602
559.000000, 62.251300
560.000000, 62.933397
561.000000, 63.942099
562.000000, 64.727801
563.000000, 65.450001
564.000000, 66.933602
565.000000, 68.070298
566.000000, 69.176900
567.000000, 70.299500
568.000000, 72.013903
569.000000, 73.297799
570.000000, 75.051397
571.000000, 76.995897
572.000000, 79.181403
573.000000, 80.683303
574.000000, 82.151598
575.000000, 84.474498
576.000000, 85.880297
577.000000, 88.289201
578.000000, 90.365499
579.000000, 92.074502
580.000000, 94.143403
581.000000, 95.519900
582.000000, 96.733803
583.000000, 98.367101
584.000000, 99.252498
585.000000, 99.544299
586.000000, 99.635500
587.000000, 100.000000
588.000000, 99.218702
589.000000, 98.353797
590.000000, 97.114497
591.000000, 94.550300
592.000000, 92.496997
593.000000, 90.095001
594.000000, 86.680198
595.000000, 83.612102
596.000000, 79.895300
597.000000, 76.292402
598.000000, 72.365499
599.000000, 68.187100
600.000000, 63.890398
601.000000, 60.109198
602.000000, 55.720198
603.000000, 51.168102
604.000000, 47.033200
605.000000, 43.031400
606.000000, 39.281300
607.000000, 35.576200
608.000000, 31.930900
609.000000, 28.766799
610.000000, 25.864199
611.000000, 23.379099
612.000000, 20.936900
613.000000, 18.338600
614.000000, 16.186500
615.000000, 14.011499
616.000000, 12.150900
617.000000, 10.660200
618.000000, 9.214880
619.000000, 7.983770
620.000000, 7.011090
621.000000, 6.107830
622.000000, 5.210270
623.000000, 4.547550
624.000000, 4.072140
625.000000, 3.473310
626.000000, 3.106660
627.000000, 2.633200
628.000000, 2.285290
629.000000, 2.005900
630.000000, 1.719430
631.000000, 1.496560
632.000000, 1.383670
633.000000, 1.165900
634.000000, 0.994238
635.000000, 0.856541
636.000000, 0.782027
637.000000, 0.671164
638.000000, 0.609051
639.000000, 0.507881
640.000000, 0.434543
641.000000, 0.360242
642.000000, 0.350688
643.000000, 0.319357
644.000000, 0.281808
645.000000, 0.244273
646.000000, 0.202582
647.000000, 0.177434
648.000000, 0.176793
649.000000, 0.152785
650.000000, 0.122366
