# Spectrum from 'nadh-em'
# Wavelength  (nm), Emission (a.u.)
365.000000, 1.000000
366.000000, 1.000000
367.000000, 1.000000
368.000000, 1.000000
369.000000, 1.000000
370.000000, 1.000000
371.000000, 1.200000
372.000000, 1.400000
373.000000, 1.600000
374.000000, 1.800000
375.000000, 2.000000
376.000000, 2.200000
377.000000, 2.400000
378.000000, 2.600000
379.000000, 2.800000
380.000000, 3.000000
381.000000, 3.200000
382.000000, 3.400000
383.000000, 3.600000
384.000000, 3.800000
385.000000, 4.000000
386.000000, 4.400000
387.000000, 4.800000
388.000000, 5.200000
389.000000, 5.600000
390.000000, 6.000000
391.000000, 6.400000
392.000000, 6.800000
393.000000, 7.200000
394.000000, 7.600000
395.000000, 8.000000
396.000000, 8.600000
397.000000, 9.200000
398.000000, 9.800000
399.000000, 10.400000
400.000000, 11.000000
401.000000, 12.000000
402.000000, 13.000000
403.000000, 14.000000
404.000000, 15.000001
405.000000, 16.000000
406.000000, 17.200001
407.000000, 18.400000
408.000000, 19.599999
409.000000, 20.800000
410.000000, 22.000000
411.000000, 23.600000
412.000000, 25.200000
413.000000, 26.800001
414.000000, 28.400001
415.000000, 30.000001
416.000000, 31.600001
417.000000, 33.199999
418.000000, 34.799999
419.000000, 36.399999
420.000000, 38.000000
421.000000, 39.600000
422.000000, 41.200000
423.000000, 42.800000
424.000000, 44.400001
425.000000, 46.000001
426.000000, 47.799999
427.000000, 49.599999
428.000000, 51.400000
429.000000, 53.200001
430.000000, 55.000001
431.000000, 56.400001
432.000000, 57.800001
433.000000, 59.200001
434.000000, 60.600001
435.000000, 62.000000
436.000000, 63.599998
437.000000, 65.200001
438.000000, 66.799998
439.000000, 68.400002
440.000000, 69.999999
441.000000, 72.799999
442.000000, 75.599998
443.000000, 78.399998
444.000000, 81.199998
445.000000, 83.999997
446.000000, 85.399997
447.000000, 86.799997
448.000000, 88.200003
449.000000, 89.600003
450.000000, 91.000003
451.000000, 92.000002
452.000000, 93.000001
453.000000, 94.000000
454.000000, 94.999999
455.000000, 95.999998
456.000000, 96.600002
457.000000, 97.200000
458.000000, 97.799999
459.000000, 98.400003
460.000000, 99.000001
461.000000, 99.199998
462.000000, 99.400002
463.000000, 99.599999
464.000000, 99.800003
465.000000, 100.000000
466.000000, 100.000000
467.000000, 100.000000
468.000000, 100.000000
469.000000, 100.000000
470.000000, 100.000000
471.000000, 99.800003
472.000000, 99.599999
473.000000, 99.400002
474.000000, 99.199998
475.000000, 99.000001
476.000000, 98.799998
477.000000, 98.600000
478.000000, 98.400003
479.000000, 98.199999
480.000000, 98.000002
481.000000, 97.399998
482.000000, 96.799999
483.000000, 96.200001
484.000000, 95.599997
485.000000, 94.999999
486.000000, 94.400001
487.000000, 93.800002
488.000000, 93.199998
489.000000, 92.600000
490.000000, 92.000002
491.000000, 91.200000
492.000000, 90.399998
493.000000, 89.600003
494.000000, 88.800001
495.000000, 88.000000
496.000000, 87.400001
497.000000, 86.799997
498.000000, 86.199999
499.000000, 85.600001
500.000000, 85.000002
501.000000, 83.999997
502.000000, 82.999998
503.000000, 81.999999
504.000000, 81.000000
505.000000, 80.000001
506.000000, 79.200000
507.000000, 78.399998
508.000000, 77.600002
509.000000, 76.800001
510.000000, 75.999999
511.000000, 75.000000
512.000000, 74.000001
513.000000, 73.000002
514.000000, 72.000003
515.000000, 70.999998
516.000000, 70.200002
517.000000, 69.400001
518.000000, 68.599999
519.000000, 67.799997
520.000000, 67.000002
521.000000, 66.200000
522.000000, 65.399998
523.000000, 64.600003
524.000000, 63.800001
525.000000, 63.000000
526.000000, 62.199998
527.000000, 61.400002
528.000000, 60.600001
529.000000, 59.799999
530.000000, 58.999997
531.000000, 58.200002
532.000000, 57.400000
533.000000, 56.599998
534.000000, 55.800003
535.000000, 55.000001
536.000000, 54.200000
537.000000, 53.399998
538.000000, 52.600002
539.000000, 51.800001
540.000000, 50.999999
541.000000, 50.199997
542.000000, 49.399999
543.000000, 48.600000
544.000000, 47.799999
545.000000, 47.000000
546.000000, 46.200001
547.000000, 45.400000
548.000000, 44.600001
549.000000, 43.799999
550.000000, 43.000001
551.000000, 42.399999
552.000000, 41.800001
553.000000, 41.200000
554.000000, 40.599999
555.000000, 40.000001
556.000000, 39.399999
557.000000, 38.800001
558.000000, 38.200000
559.000000, 37.599999
560.000000, 37.000000
561.000000, 36.399999
562.000000, 35.800001
563.000000, 35.200000
564.000000, 34.599999
565.000000, 34.000000
566.000000, 33.399999
567.000000, 32.800001
568.000000, 32.200000
569.000000, 31.600001
570.000000, 31.000000
571.000000, 30.399999
572.000000, 29.800001
573.000000, 29.200000
574.000000, 28.600001
575.000000, 28.000000
576.000000, 27.599999
577.000000, 27.200001
578.000000, 26.800001
579.000000, 26.400000
580.000000, 25.999999
581.000000, 25.400001
582.000000, 24.800000
583.000000, 24.200000
584.000000, 23.600000
585.000000, 23.000000
586.000000, 22.400001
587.000000, 21.799999
588.000000, 21.200000
589.000000, 20.600000
590.000000, 20.000000
591.000000, 19.599999
592.000000, 19.200000
593.000000, 18.799999
594.000000, 18.400000
595.000000, 18.000001
596.000000, 17.600000
597.000000, 17.200001
598.000000, 16.800000
599.000000, 16.400000
600.000000, 16.000000
601.000000, 15.600000
602.000000, 15.200000
603.000000, 14.800000
604.000000, 14.399999
605.000000, 14.000000
606.000000, 13.600001
607.000000, 13.200000
608.000000, 12.800001
609.000000, 12.400000
