# Spectrum from 'tdtomato-2pex'
# Wavelength  (nm), 2P Excitation (a.u.)
680.000000, 108.329999
681.000000, 110.249996
682.000000, 111.539996
683.000000, 112.189996
684.000000, 112.199998
685.000000, 111.960006
686.000000, 110.749996
687.000000, 108.309996
688.000000, 105.429995
689.000000, 103.040004
690.000000, 100.909996
691.000000, 99.159998
692.000000, 97.350001
693.000000, 95.150000
694.000000, 92.610002
695.000000, 89.740002
696.000000, 86.940002
697.000000, 84.609997
698.000000, 82.389998
699.000000, 79.900002
700.000000, 77.270001
701.000000, 74.710000
702.000000, 72.329998
703.000000, 70.090002
704.000000, 68.070000
705.000000, 66.369998
706.000000, 64.709997
707.000000, 62.860000
708.000000, 61.170000
709.000000, 59.710002
710.000000, 58.370000
711.000000, 57.099998
712.000000, 55.970001
713.000000, 54.920000
714.000000, 54.020000
715.000000, 53.329998
716.000000, 52.730000
717.000000, 51.990002
718.000000, 51.270002
719.000000, 50.739998
720.000000, 50.250000
721.000000, 49.579999
722.000000, 48.940000
723.000000, 48.449999
724.000000, 48.060000
725.000000, 47.729999
726.000000, 47.620001
727.000000, 47.909999
728.000000, 48.249999
729.000000, 48.280001
730.000000, 48.159999
731.000000, 48.040000
732.000000, 47.860000
733.000000, 47.540000
734.000000, 47.200000
735.000000, 47.099999
736.000000, 46.939999
737.000000, 46.460000
738.000000, 45.860001
739.000000, 45.199999
740.000000, 44.490001
741.000000, 43.900001
742.000000, 43.509999
743.000000, 43.410000
744.000000, 43.309999
745.000000, 43.040001
746.000000, 42.539999
747.000000, 41.630000
748.000000, 40.590000
749.000000, 39.660001
750.000000, 38.769999
751.000000, 38.000000
752.000000, 37.230000
753.000000, 36.399999
754.000000, 35.440001
755.000000, 34.320000
756.000000, 33.180001
757.000000, 32.089999
758.000000, 31.070000
759.000000, 30.199999
760.000000, 29.319999
761.000000, 28.279999
762.000000, 27.160001
763.000000, 26.060000
764.000000, 24.910000
765.000000, 23.590000
766.000000, 22.229999
767.000000, 20.990001
768.000000, 19.780000
769.000000, 18.560000
770.000000, 17.410000
771.000000, 16.380000
772.000000, 15.310000
773.000000, 14.060000
774.000000, 12.819999
775.000000, 11.730000
776.000000, 10.770000
777.000000, 9.940000
778.000000, 9.250000
779.000000, 8.640000
780.000000, 8.120000
781.000000, 7.660000
782.000000, 7.320000
783.000000, 7.060000
784.000000, 6.910000
785.000000, 6.870000
786.000000, 6.890000
787.000000, 6.850000
788.000000, 6.800000
789.000000, 6.720000
790.000000, 6.610000
791.000000, 6.500000
792.000000, 6.430000
793.000000, 6.440000
794.000000, 6.450000
795.000000, 6.450000
796.000000, 6.410000
797.000000, 6.270000
798.000000, 6.090000
799.000000, 5.910000
800.000000, 5.710000
801.000000, 5.420000
802.000000, 5.110000
803.000000, 4.800000
804.000000, 4.500000
805.000000, 4.210000
806.000000, 3.970000
807.000000, 3.770000
808.000000, 3.600000
809.000000, 3.470000
810.000000, 3.410000
811.000000, 3.370000
812.000000, 3.370000
813.000000, 3.460000
814.000000, 3.540000
815.000000, 3.540000
816.000000, 3.500000
817.000000, 3.420000
818.000000, 3.290000
819.000000, 3.140000
820.000000, 3.040000
821.000000, 3.110000
822.000000, 3.250000
823.000000, 3.360000
