# Spectrum from 'tdtomato-em'
# Wavelength  (nm), Emission (a.u.)
530.000000, 0.250000
531.000000, 0.300000
532.000000, 0.370000
533.000000, 0.460000
534.000000, 0.530000
535.000000, 0.650000
536.000000, 0.780000
537.000000, 1.080000
538.000000, 1.610000
539.000000, 2.050000
540.000000, 2.190000
541.000000, 2.180000
542.000000, 2.360000
543.000000, 2.670000
544.000000, 3.230000
545.000000, 3.830000
546.000000, 4.520000
547.000000, 5.360000
548.000000, 6.380000
549.000000, 7.610000
550.000000, 8.820000
551.000000, 10.430000
552.000000, 12.090000
553.000000, 14.139999
554.000000, 16.380000
555.000000, 18.799999
556.000000, 21.709999
557.000000, 24.690001
558.000000, 28.090000
559.000000, 31.760001
560.000000, 35.620001
561.000000, 39.750001
562.000000, 44.119999
563.000000, 48.539999
564.000000, 53.149998
565.000000, 57.779998
566.000000, 62.540001
567.000000, 66.909999
568.000000, 71.560001
569.000000, 75.569999
570.000000, 79.650003
571.000000, 83.260000
572.000000, 86.809999
573.000000, 89.590001
574.000000, 92.470002
575.000000, 94.379997
576.000000, 96.480000
577.000000, 97.670001
578.000000, 98.640001
579.000000, 99.589998
580.000000, 99.570000
581.000000, 100.000000
582.000000, 99.830002
583.000000, 99.570000
584.000000, 98.820001
585.000000, 97.880000
586.000000, 96.980000
587.000000, 95.999998
588.000000, 94.569999
589.000000, 93.379998
590.000000, 92.490000
591.000000, 90.950000
592.000000, 89.579999
593.000000, 88.230002
594.000000, 86.930001
595.000000, 85.619998
596.000000, 84.310001
597.000000, 82.779998
598.000000, 81.590003
599.000000, 80.239999
600.000000, 79.259998
601.000000, 78.039998
602.000000, 77.020001
603.000000, 75.629997
604.000000, 74.669999
605.000000, 73.720002
606.000000, 72.909999
607.000000, 71.600002
608.000000, 70.590001
609.000000, 69.610000
610.000000, 68.919998
611.000000, 67.919999
612.000000, 67.280000
613.000000, 66.130000
614.000000, 65.200001
615.000000, 64.230001
616.000000, 63.200003
617.000000, 62.390000
618.000000, 61.570001
619.000000, 60.219997
620.000000, 59.170002
621.000000, 58.420002
622.000000, 57.580000
623.000000, 56.180000
624.000000, 55.210000
625.000000, 54.089999
626.000000, 53.340000
627.000000, 52.160001
628.000000, 50.749999
629.000000, 49.869999
630.000000, 49.070001
631.000000, 47.749999
632.000000, 46.550000
633.000000, 45.580000
634.000000, 44.290000
635.000000, 43.439999
636.000000, 42.399999
637.000000, 41.220000
638.000000, 40.210000
639.000000, 39.340001
640.000000, 38.240001
641.000000, 37.329999
642.000000, 36.219999
643.000000, 35.490000
644.000000, 34.750000
645.000000, 33.620000
646.000000, 32.679999
647.000000, 31.700000
648.000000, 30.790001
649.000000, 29.960001
650.000000, 29.060000
651.000000, 28.560001
652.000000, 27.370000
653.000000, 26.780000
654.000000, 26.010001
655.000000, 25.180000
656.000000, 24.310000
657.000000, 23.480000
658.000000, 22.720000
659.000000, 22.270000
660.000000, 21.660000
661.000000, 20.970000
662.000000, 20.410000
663.000000, 19.920000
664.000000, 19.410001
665.000000, 18.799999
666.000000, 18.340001
667.000000, 17.839999
668.000000, 17.090000
669.000000, 16.760001
670.000000, 16.339999
671.000000, 15.979999
672.000000, 15.310000
673.000000, 15.009999
674.000000, 14.590000
675.000000, 14.190000
676.000000, 13.900000
677.000000, 13.500001
678.000000, 13.090000
679.000000, 12.809999
680.000000, 12.280000
681.000000, 11.870000
682.000000, 11.680000
683.000000, 11.380000
684.000000, 11.040000
685.000000, 10.670000
686.000000, 10.390000
687.000000, 10.200000
688.000000, 9.840000
689.000000, 9.630000
690.000000, 9.340000
691.000000, 9.070000
692.000000, 8.800000
693.000000, 8.560000
694.000000, 8.230000
695.000000, 8.130000
696.000000, 7.900000
697.000000, 7.500000
698.000000, 7.440000
699.000000, 7.280000
700.000000, 6.930000
