# Spectrum from 'tdtomato-ex'
# Wavelength  (nm), Excitation (a.u.)
300.000000, 13.970000
301.000000, 12.450000
302.000000, 11.070000
303.000000, 10.010000
304.000000, 9.080000
305.000000, 8.520000
306.000000, 8.100000
307.000000, 7.840000
308.000000, 7.820000
309.000000, 7.850000
310.000000, 7.960000
311.000000, 8.200000
312.000000, 8.400000
313.000000, 8.780000
314.000000, 9.150000
315.000000, 9.590000
316.000000, 9.980000
317.000000, 10.450000
318.000000, 10.930000
319.000000, 11.390000
320.000000, 11.770000
321.000000, 12.150000
322.000000, 12.510000
323.000000, 12.870000
324.000000, 13.259999
325.000000, 13.620000
326.000000, 14.100000
327.000000, 14.600000
328.000000, 15.279999
329.000000, 16.040000
330.000000, 16.689999
331.000000, 17.440000
332.000000, 18.160000
333.000000, 18.660000
334.000000, 19.100000
335.000000, 19.250000
336.000000, 19.159999
337.000000, 18.760000
338.000000, 18.130000
339.000000, 17.320000
340.000000, 16.390000
341.000000, 15.430000
342.000000, 14.380001
343.000000, 13.480000
344.000000, 12.650000
345.000000, 11.840000
346.000000, 11.050000
347.000000, 10.400000
348.000000, 9.840000
349.000000, 9.280000
350.000000, 8.870000
351.000000, 8.450000
352.000000, 8.090000
353.000000, 7.830000
354.000000, 7.490000
355.000000, 7.270000
356.000000, 7.010000
357.000000, 6.770000
358.000000, 6.510000
359.000000, 6.320000
360.000000, 6.080000
361.000000, 5.750000
362.000000, 5.520000
363.000000, 5.230000
364.000000, 4.950000
365.000000, 4.670000
366.000000, 4.420000
367.000000, 4.150000
368.000000, 3.880000
369.000000, 3.690000
370.000000, 3.520000
371.000000, 3.340000
372.000000, 3.190000
373.000000, 3.030000
374.000000, 2.920000
375.000000, 2.790000
376.000000, 2.660000
377.000000, 2.570000
378.000000, 2.470000
379.000000, 2.330000
380.000000, 2.220000
381.000000, 2.090000
382.000000, 1.940000
383.000000, 1.830000
384.000000, 1.700000
385.000000, 1.600000
386.000000, 1.470000
387.000000, 1.360000
388.000000, 1.270000
389.000000, 1.200000
390.000000, 1.130000
391.000000, 1.080000
392.000000, 1.040000
393.000000, 1.040000
394.000000, 1.000000
395.000000, 1.000000
396.000000, 1.010000
397.000000, 1.000000
398.000000, 1.020000
399.000000, 1.030000
400.000000, 1.060000
401.000000, 1.110000
402.000000, 1.140000
403.000000, 1.170000
404.000000, 1.220000
405.000000, 1.270000
406.000000, 1.350000
407.000000, 1.390000
408.000000, 1.470000
409.000000, 1.540000
410.000000, 1.620000
411.000000, 1.700000
412.000000, 1.770000
413.000000, 1.870000
414.000000, 1.960000
415.000000, 2.080000
416.000000, 2.160000
417.000000, 2.290000
418.000000, 2.410000
419.000000, 2.530000
420.000000, 2.650000
421.000000, 2.770000
422.000000, 2.900000
423.000000, 3.050000
424.000000, 3.210000
425.000000, 3.350000
426.000000, 3.500000
427.000000, 3.680000
428.000000, 3.870000
429.000000, 4.030000
430.000000, 4.220000
431.000000, 4.400000
432.000000, 4.620000
433.000000, 4.860000
434.000000, 5.050000
435.000000, 5.290000
436.000000, 5.550000
437.000000, 5.790000
438.000000, 6.100000
439.000000, 6.310000
440.000000, 6.630000
441.000000, 6.930000
442.000000, 7.220000
443.000000, 7.520000
444.000000, 7.840000
445.000000, 8.170000
446.000000, 8.550000
447.000000, 8.900000
448.000000, 9.230000
449.000000, 9.610000
450.000000, 9.840000
451.000000, 10.230000
452.000000, 10.600000
453.000000, 10.940000
454.000000, 11.370000
455.000000, 11.710000
456.000000, 12.100000
457.000000, 12.480000
458.000000, 12.809999
459.000000, 13.230000
460.000000, 13.670000
461.000000, 14.070000
462.000000, 14.510000
463.000000, 14.870000
464.000000, 15.310000
465.000000, 15.870000
466.000000, 16.440000
467.000000, 16.850001
468.000000, 17.240000
469.000000, 17.780000
470.000000, 18.430001
471.000000, 19.100000
472.000000, 19.740000
473.000000, 20.160000
474.000000, 20.620000
475.000000, 21.390000
476.000000, 22.000000
477.000000, 22.530000
478.000000, 23.090000
479.000000, 23.610000
480.000000, 24.070001
481.000000, 24.460000
482.000000, 24.800000
483.000000, 25.240001
484.000000, 25.659999
485.000000, 26.010001
486.000000, 26.370001
487.000000, 26.769999
488.000000, 27.149999
489.000000, 27.509999
490.000000, 28.049999
491.000000, 28.549999
