# Wavelength  (nm), QE (%)
227.815519, 1.090486
227.819360, 1.090707
227.830799, 1.091367
227.849711, 1.092458
227.875970, 1.093977
227.909449, 1.095916
227.950023, 1.098273
227.997566, 1.101042
228.051953, 1.104220
228.113057, 1.107804
228.180752, 1.111790
228.254913, 1.116175
228.335415, 1.120958
228.422130, 1.126136
228.514933, 1.131708
228.613699, 1.137671
228.718302, 1.144025
228.828615, 1.150768
228.944513, 1.157900
229.065870, 1.165420
229.192560, 1.173329
229.324458, 1.181624
229.461437, 1.190308
229.603372, 1.199379
229.750136, 1.208839
229.901605, 1.218687
230.057652, 1.228925
230.218151, 1.239552
230.382977, 1.250570
230.552003, 1.261979
230.725104, 1.273781
230.902154, 1.285977
231.083028, 1.298567
231.267598, 1.311552
231.455740, 1.324935
231.647328, 1.338715
231.842236, 1.352894
232.040337, 1.367472
232.241507, 1.382452
232.445619, 1.397834
232.652547, 1.413618
232.862166, 1.429806
233.074349, 1.446399
233.288972, 1.463396
233.505908, 1.480799
233.725031, 1.498607
233.946215, 1.516821
234.169335, 1.535441
234.394265, 1.554467
234.620878, 1.573898
234.849050, 1.593733
235.078654, 1.613971
235.309564, 1.634612
235.541654, 1.655653
235.774800, 1.677093
236.008874, 1.698930
236.243752, 1.721161
236.479306, 1.743784
236.715412, 1.766794
236.951944, 1.790189
237.188775, 1.813964
237.425780, 1.838114
237.662833, 1.862635
237.899808, 1.887521
238.136579, 1.912766
238.373021, 1.938363
238.609008, 1.964305
238.844413, 1.990584
239.079111, 2.017192
239.312977, 2.044121
239.545884, 2.071359
239.777706, 2.098898
240.008318, 2.126725
240.237594, 2.154830
240.465407, 2.183200
240.691633, 2.211822
240.916145, 2.240682
241.138817, 2.269765
241.359524, 2.299055
241.578140, 2.328538
241.794539, 2.358195
242.008594, 2.388009
242.220181, 2.417961
242.429174, 2.448032
242.635446, 2.478200
242.838872, 2.508446
243.039325, 2.538746
243.236681, 2.569078
243.430813, 2.599419
243.621595, 2.629742
243.808902, 2.660024
243.992607, 2.690237
244.172585, 2.720354
244.348711, 2.750348
244.520857, 2.780188
244.688899, 2.809847
244.852710, 2.839293
245.012166, 2.868495
245.167138, 2.897421
245.317503, 2.926038
245.317503, 2.926038
245.465790, 2.954566
245.614684, 2.983236
245.764293, 3.012047
245.914726, 3.040994
246.066091, 3.070074
246.218497, 3.099285
246.372050, 3.128623
246.526861, 3.158084
246.683036, 3.187665
246.840684, 3.217363
246.999913, 3.247173
247.160831, 3.277091
247.323547, 3.307114
247.488169, 3.337237
247.654805, 3.367457
247.823563, 3.397769
247.994552, 3.428168
248.167879, 3.458651
248.343653, 3.489212
248.521982, 3.519847
248.702974, 3.550550
248.886737, 3.581318
249.073381, 3.612145
249.263012, 3.643025
249.455738, 3.673954
249.651670, 3.704926
249.850913, 3.735936
250.053578, 3.766978
250.259771, 3.798046
250.469601, 3.829135
250.683176, 3.860239
250.900605, 3.891352
251.121995, 3.922467
251.347456, 3.953578
251.577094, 3.984680
251.811019, 4.015765
252.049338, 4.046827
252.292160, 4.077860
252.539592, 4.108857
252.791744, 4.139811
253.048723, 4.170715
253.310637, 4.201562
253.577595, 4.232345
253.849705, 4.263057
254.127075, 4.293690
254.409814, 4.324238
254.698029, 4.354692
254.991828, 4.385045
255.291321, 4.415290
255.596614, 4.445419
255.907817, 4.475424
256.225037, 4.505296
256.548383, 4.535029
256.877963, 4.564615
257.213885, 4.594044
257.556258, 4.623309
257.905189, 4.652402
258.260786, 4.681315
258.623159, 4.710038
258.992414, 4.738565
259.368661, 4.766885
259.752008, 4.794991
260.142562, 4.822875
260.540432, 4.850527
260.945727, 4.877939
261.358554, 4.905102
261.779021, 4.932008
262.207237, 4.958647
262.643310, 4.985012
263.087348, 5.011093
263.539460, 5.036881
263.999753, 5.062368
264.468336, 5.087545
264.945316, 5.112403
265.430803, 5.136932
265.924905, 5.161125
266.427729, 5.184973
266.939383, 5.208466
267.459977, 5.231595
267.989618, 5.254353
268.528414, 5.276729
269.076474, 5.298716
269.633906, 5.320305
270.200818, 5.341487
270.777318, 5.362252
271.363514, 5.382594
271.959515, 5.402503
272.565429, 5.421970
273.181364, 5.440988
273.807428, 5.459548
274.443729, 5.477641
275.090376, 5.495259
275.747477, 5.512395
276.415140, 5.529040
277.093473, 5.545186
277.782585, 5.560825
278.482583, 5.575950
279.193576, 5.590553
279.915672, 5.604627
279.915672, 5.604627
280.648040, 5.618326
281.389213, 5.631842
282.139030, 5.645178
282.897331, 5.658341
283.663953, 5.671334
284.438736, 5.684163
285.221520, 5.696833
286.012142, 5.709349
286.810443, 5.721718
287.616260, 5.733943
288.429433, 5.746031
289.249801, 5.757987
290.077202, 5.769817
290.911477, 5.781526
291.752463, 5.793120
292.600000, 5.804605
293.453926, 5.815987
294.314081, 5.827272
295.180304, 5.838464
296.052433, 5.849572
296.930308, 5.860599
297.813767, 5.871554
298.702649, 5.882441
299.596794, 5.893267
300.496040, 5.904039
301.400226, 5.914762
302.309192, 5.925443
303.222776, 5.936088
304.140817, 5.946704
305.063154, 5.957298
305.989626, 5.967875
306.920072, 5.978443
307.854331, 5.989008
308.792243, 5.999576
309.733645, 6.010156
310.678377, 6.020752
311.626278, 6.031373
312.577187, 6.042025
313.530942, 6.052714
314.487384, 6.063449
315.446350, 6.074236
316.407679, 6.085082
317.371212, 6.095994
318.336786, 6.106979
319.304240, 6.118045
320.273414, 6.129199
321.244147, 6.140449
322.216276, 6.151801
323.189643, 6.163263
324.164084, 6.174843
325.139440, 6.186548
326.115550, 6.198386
327.092251, 6.210364
328.069384, 6.222491
329.046787, 6.234774
330.024299, 6.247221
331.001759, 6.259840
