# Wavelength  (nm), QE (%)
230.110114, 3.442348
230.112863, 3.443108
230.121058, 3.445374
230.134623, 3.449124
230.153482, 3.454341
230.177559, 3.461007
230.206777, 3.469106
230.241060, 3.478624
230.280331, 3.489550
230.324515, 3.501873
230.373534, 3.515582
230.427313, 3.530669
230.485776, 3.547129
230.548845, 3.564953
230.616444, 3.584139
230.688498, 3.604681
230.764929, 3.626578
230.845662, 3.649827
230.930621, 3.674427
231.019728, 3.700379
231.112907, 3.727683
231.210083, 3.756341
231.311179, 3.786354
231.416118, 3.817725
231.524824, 3.850458
231.637222, 3.884557
231.753233, 3.920025
231.872783, 3.956868
231.995795, 3.995090
232.122192, 4.034698
232.251899, 4.075697
232.384838, 4.118094
232.520934, 4.161894
232.660110, 4.207103
232.802290, 4.253730
232.947397, 4.301779
233.095356, 4.351258
233.246089, 4.402174
233.399521, 4.454532
233.555575, 4.508339
233.714175, 4.563602
233.875245, 4.620325
234.038707, 4.678514
234.204487, 4.738175
234.372507, 4.799311
234.542691, 4.861928
234.714963, 4.926028
234.889246, 4.991614
235.065465, 5.058688
235.243543, 5.127251
235.423403, 5.197305
235.604969, 5.268847
235.788165, 5.341877
235.972915, 5.416393
236.159141, 5.492389
236.346769, 5.569862
236.535721, 5.648804
236.725921, 5.729208
236.917294, 5.811064
237.109761, 5.894362
237.303248, 5.979088
237.497678, 6.065230
237.692974, 6.152769
237.889060, 6.241689
238.085860, 6.331969
238.283298, 6.423586
238.481297, 6.516518
238.679781, 6.610736
238.878673, 6.706211
239.077897, 6.802913
239.277377, 6.900808
239.477037, 6.999858
239.676800, 7.100024
239.876590, 7.201264
240.076330, 7.303534
240.275944, 7.406785
240.475356, 7.510967
240.674490, 7.616025
240.873269, 7.721903
241.071617, 7.828541
241.269457, 7.935874
241.466713, 8.043836
241.663309, 8.152358
241.859169, 8.261364
242.054216, 8.370780
242.248374, 8.480524
242.441566, 8.590512
242.633716, 8.700657
242.824749, 8.810869
243.014586, 8.921053
243.203153, 9.031112
243.390373, 9.140944
243.576169, 9.250445
243.760465, 9.359507
243.943186, 9.468020
244.124253, 9.575867
244.303592, 9.682933
244.481126, 9.789097
244.656778, 9.894235
244.830472, 9.998220
244.830472, 9.998220
245.006116, 10.102208
245.187793, 10.207420
245.375426, 10.313862
245.568940, 10.421540
245.768258, 10.530460
245.973304, 10.640627
246.184000, 10.752046
246.400272, 10.864722
246.622041, 10.978660
246.849233, 11.093864
247.081770, 11.210339
247.319576, 11.328089
247.562574, 11.447116
247.810689, 11.567426
248.063843, 11.689020
248.321961, 11.811901
248.584966, 11.936073
248.852781, 12.061537
249.125330, 12.188295
249.402536, 12.316348
249.684324, 12.445698
249.970617, 12.576345
250.261338, 12.708290
250.556411, 12.841533
250.855760, 12.976073
251.159307, 13.111910
251.466977, 13.249042
251.778694, 13.387467
252.094380, 13.527184
252.413960, 13.668189
252.737356, 13.810480
253.064493, 13.954054
253.395294, 14.098905
253.729683, 14.245030
254.067583, 14.392423
254.408918, 14.541078
254.753612, 14.690991
255.101587, 14.842153
255.452768, 14.994557
255.807078, 15.148196
256.164441, 15.303061
256.524780, 15.459143
256.888019, 15.616433
257.254081, 15.774919
257.622891, 15.934591
257.994371, 16.095437
258.368445, 16.257445
258.745037, 16.420602
259.124070, 16.584893
259.505468, 16.750306
259.889154, 16.916824
260.275053, 17.084432
260.663087, 17.253113
261.053181, 17.422849
261.445257, 17.593623
261.839240, 17.765416
262.235052, 17.938208
262.632618, 18.111979
263.031861, 18.286706
263.432705, 18.462369
263.835073, 18.638944
264.238889, 18.816408
264.644076, 18.994735
265.050558, 19.173901
265.458259, 19.353879
265.867102, 19.534642
266.277010, 19.716162
266.687908, 19.898410
267.099718, 20.081356
267.512365, 20.264969
267.925772, 20.449219
268.339863, 20.634071
268.754561, 20.819493
269.169789, 21.005451
269.585472, 21.191909
270.001533, 21.378831
270.417895, 21.566180
270.834482, 21.753917
271.251217, 21.942004
271.668025, 22.130401
272.084829, 22.319067
272.501552, 22.507960
272.918118, 22.697038
273.334450, 22.886256
273.750472, 23.075570
274.166108, 23.264935
274.581282, 23.454305
274.995916, 23.643631
275.409934, 23.832865
275.823260, 24.021959
276.235818, 24.210862
276.647531, 24.399524
277.058323, 24.587892
277.468117, 24.775914
277.876836, 24.963536
278.284405, 25.150703
278.690747, 25.337361
279.095786, 25.523454
279.499444, 25.708924
279.499444, 25.708924
279.902405, 25.893350
280.305607, 26.076329
280.709097, 26.257830
281.112918, 26.437824
281.517115, 26.616282
281.921735, 26.793175
282.326821, 26.968475
282.732419, 27.142155
283.138574, 27.314189
283.545331, 27.484551
283.952734, 27.653216
284.360830, 27.820161
284.769662, 27.985360
285.179275, 28.148793
285.589716, 28.310436
286.001028, 28.470268
286.413257, 28.628269
286.826448, 28.784419
287.240646, 28.938698
287.655895, 29.091090
288.072241, 29.241575
288.489729, 29.390138
288.908404, 29.536762
289.328310, 29.681432
289.749493, 29.824134
290.171998, 29.964853
290.595869, 30.103578
291.021153, 30.240296
291.447893, 30.374995
291.876135, 30.507665
292.305923, 30.638297
292.737303, 30.766880
293.170320, 30.893407
293.605019, 31.017871
294.041444, 31.140264
294.479642, 31.260580
294.919655, 31.378814
295.361531, 31.494962
295.805313, 31.609019
296.251047, 31.720984
296.698778, 31.830852
297.148550, 31.938623
297.600409, 32.044296
298.054400, 32.147871
298.510568, 32.249348
298.968957, 32.348728
299.429613, 32.446014
299.892581, 32.541207
300.357905, 32.634311
300.825631, 32.725331
301.295804, 32.814270
301.768468, 32.901134
302.243669, 32.985929
302.721452, 33.068661
303.201861, 33.149337
303.684942, 33.227966
304.170740, 33.304555
304.659300, 33.379113
305.150666, 33.451651
305.644884, 33.522178
306.141998, 33.590704
306.642054, 33.657242
307.145097, 33.721803
307.651171, 33.784398
308.160323, 33.845042
308.672595, 33.903747
309.188035, 33.960528
309.706686, 34.015398
310.228593, 34.068372
310.753803, 34.119466
311.282359, 34.168696
311.814307, 34.216077
312.349691, 34.261627
312.888557, 34.305363
313.430949, 34.347301
313.976914, 34.387460
314.526494, 34.425858
315.079737, 34.462515
315.636686, 34.497448
316.197387, 34.530677
316.761884, 34.562223
317.330223, 34.592105
317.902449, 34.620343
318.478606, 34.646959
319.058740, 34.671974
319.642895, 34.695408
320.231117, 34.717283
320.823451, 34.737622
321.419941, 34.756446
322.020633, 34.773779
322.625571, 34.789642
323.234801, 34.804058
323.848368, 34.817051
324.466316, 34.828644
325.088691, 34.838861
325.715537, 34.847725
326.346900, 34.855260
326.982825, 34.861491
327.623356, 34.866441
327.623356, 34.866441
328.271017, 34.870551
328.928310, 34.874404
329.594984, 34.878000
330.270790, 34.881341
330.955477, 34.884427
331.648794, 34.887258
332.350490, 34.889837
333.060316, 34.892162
333.778020, 34.894236
334.503352, 34.896059
335.236062, 34.897632
335.975899, 34.898955
336.722613, 34.900030
337.475953, 34.900858
338.235668, 34.901438
339.001508, 34.901773
339.773222, 34.901862
340.550560, 34.901707
341.333272, 34.901308
