# Wavelength (um),Conductivity
1.000012795163714108e+00, 9.999997343200000000e-01
1.000190631333379043e+00, 9.999944623300000002e-01
1.000368530764891295e+00, 9.999998699100000055e-01
1.000546493492012967e+00, 9.999999771699999984e-01
1.000724519548530367e+00, 9.999999117500000256e-01
1.000902608968254448e+00, 9.999999635699999834e-01
1.001080761785019257e+00, 9.999999683100000425e-01
1.001258978032683489e+00, 9.999997914499999530e-01
1.001437257745129594e+00, 9.999950589999999639e-01
1.001615600956264451e+00, 9.999999230999999655e-01
1.001794007700019140e+00, 9.999997441200000337e-01
1.001972478010348722e+00, 9.999833009099999837e-01
1.002151011921232682e+00, 9.999961358000000189e-01
1.002329609466674265e+00, 9.999997643900000455e-01
1.002508270680701807e+00, 9.999985251299999822e-01
1.002686995597366959e+00, 9.999996778899999939e-01
1.002865784250746017e+00, 9.999971045200000130e-01
1.003044636674939927e+00, 9.999999580299999691e-01
1.003223552904073612e+00, 9.999999913899999537e-01
1.003402532972296424e+00, 9.999999631399999478e-01
1.003581576913781914e+00, 9.999999740699999640e-01
1.003760684762728506e+00, 9.999999476800000009e-01
1.003939856553358823e+00, 9.999992549099999684e-01
1.004119092319919249e+00, 9.999997999499999901e-01
1.004298392096681924e+00, 9.999999108899999545e-01
1.004477755917942305e+00, 9.999988889499999978e-01
1.004657183818020716e+00, 9.999997590200000452e-01
1.004836675831262793e+00, 9.999999504900000113e-01
1.005016231992037490e+00, 9.999997782499999710e-01
1.005195852334739071e+00, 9.999998166200000371e-01
1.005375536893786004e+00, 9.999995731599999882e-01
1.005555285703621848e+00, 9.999995686699999498e-01
1.005735098798714366e+00, 9.999998922199999640e-01
1.005914976213555967e+00, 9.999999774600000224e-01
1.006094917982664372e+00, 9.999999344200000140e-01
1.006274924140581284e+00, 9.999999472999999695e-01
1.006454994721873275e+00, 9.999999433599999765e-01
1.006635129761131786e+00, 9.999997035900000109e-01
1.006815329292973349e+00, 9.999999592299999573e-01
1.006995593352038698e+00, 9.999999639900000181e-01
1.007175921972993660e+00, 9.999998557999999482e-01
1.007356315190528706e+00, 9.999999495600000454e-01
1.007536773039359623e+00, 9.999999356300000031e-01
1.007717295554226844e+00, 9.999996123500000111e-01
1.007897882769895448e+00, 9.999999051900000380e-01
1.008078534721155828e+00, 9.999987357999999826e-01
1.008259251442822801e+00, 9.999998562799999879e-01
1.008440032969736722e+00, 9.999990221600000284e-01
1.008620879336762810e+00, 9.999999611000000010e-01
1.008801790578790936e+00, 9.999999019599999928e-01
1.008982766730736502e+00, 9.999892571699999788e-01
1.009163807827539783e+00, 9.999997213900000403e-01
1.009344913904165697e+00, 9.999996808000000126e-01
1.009526084995605144e+00, 9.999970011100000056e-01
1.009707321136873448e+00, 9.999996713600000087e-01
1.009888622363011024e+00, 9.999995814000000038e-01
1.010069988709084043e+00, 9.999994967699999959e-01
1.010251420210183770e+00, 9.999970635799999563e-01
1.010432916901426115e+00, 9.999998782600000302e-01
1.010614478817952522e+00, 9.999999438200000146e-01
1.010796105994930194e+00, 9.999998773299999533e-01
1.010977798467550759e+00, 9.999998967900000091e-01
1.011159556271031823e+00, 9.999999606099999605e-01
1.011341379440616084e+00, 9.999999662299999814e-01
1.011523268011571330e+00, 9.999999263300000107e-01
1.011705222019191552e+00, 9.999999435999999964e-01
1.011887241498794943e+00, 9.999998338600000203e-01
1.012069326485726339e+00, 9.999997389900000533e-01
1.012251477015355006e+00, 9.999996880399999455e-01
1.012433693123076184e+00, 9.999999115100000058e-01
1.012615974844310429e+00, 9.999999754299999655e-01
1.012798322214504054e+00, 9.999994554300000171e-01
1.012980735269128907e+00, 9.999999692300000076e-01
1.013163214043682148e+00, 9.999997766699999513e-01
1.013345758573686695e+00, 9.999999529099999895e-01
1.013528368894690779e+00, 9.999999906800000060e-01
1.013711045042268610e+00, 9.999999947900000130e-01
1.013893787052019713e+00, 9.999999934400000123e-01
1.014076594959569810e+00, 9.999994841899999543e-01
1.014259468800569719e+00, 9.999999434699999856e-01
1.014442408610696678e+00, 9.999997026100000408e-01
1.014625414425653016e+00, 9.999999425000000164e-01
1.014808486281166822e+00, 9.999992622700000222e-01
1.014991624212992605e+00, 9.999999862799999750e-01
1.015174828256910189e+00, 9.999999832799999488e-01
1.015358098448725155e+00, 9.999999713599999618e-01
1.015541434824269507e+00, 9.999993794799999502e-01
1.015724837419400561e+00, 9.999996591299999960e-01
1.015908306270001615e+00, 9.999997776300000307e-01
1.016091841411982388e+00, 9.999999314699999919e-01
1.016275442881277913e+00, 9.999999991000000366e-01
1.016459110713849645e+00, 9.999999962100000195e-01
1.016642844945684576e+00, 9.999999836499999795e-01
1.016826645612796343e+00, 9.999959749300000311e-01
1.017010512751224338e+00, 9.999997950500000288e-01
1.017194446397033936e+00, 9.999998394500000387e-01
1.017378446586316709e+00, 9.999999120700000521e-01
1.017562513355189990e+00, 9.999998628599999773e-01
1.017746646739797978e+00, 9.999998037999999756e-01
1.017930846776310627e+00, 9.999996665400000539e-01
1.018115113500923652e+00, 9.999999961100000112e-01
1.018299446949859854e+00, 9.999999968799999639e-01
1.018483847159367794e+00, 9.999999879800000047e-01
1.018668314165722233e+00, 9.999997109799999562e-01
1.018852848005224576e+00, 9.999999901799999646e-01
1.019037448714201766e+00, 9.999999731399999980e-01
1.019222116329008054e+00, 9.999993111599999596e-01
1.019406850886023230e+00, 9.999956819799999952e-01
1.019591652421654171e+00, 9.999999162999999580e-01
1.019776520972333733e+00, 9.999999787000000140e-01
1.019961456574521419e+00, 9.999999412400000232e-01
1.020146459264702710e+00, 9.999999857300000405e-01
1.020331529079389954e+00, 9.999999000399999449e-01
1.020516666055122146e+00, 9.999977240799999834e-01
1.020701870228464259e+00, 9.999999749300000351e-01
1.020887141636008577e+00, 9.999999770599999893e-01
1.021072480314373587e+00, 9.999996481399999748e-01
1.021257886300203754e+00, 9.999997619799999571e-01
1.021443359630171299e+00, 9.999999151099999706e-01
1.021628900340974200e+00, 9.999970102299999830e-01
1.021814508469337746e+00, 9.999997856300000265e-01
1.022000184052013205e+00, 9.999999836599999803e-01
1.022185927125779159e+00, 9.999999944599999857e-01
1.022371737727440610e+00, 9.999999850299999826e-01
1.022557615893829874e+00, 9.999999892599999995e-01
1.022743561661805023e+00, 9.999999658499999500e-01
1.022929575068252106e+00, 9.999958366400000243e-01
1.023115656150083153e+00, 9.999999498499999584e-01
1.023301804944237281e+00, 9.999999777800000489e-01
1.023488021487680699e+00, 9.999997983499999687e-01
1.023674305817406482e+00, 9.999998209599999521e-01
1.023860657970434573e+00, 9.999976404999999513e-01
1.024047077983811560e+00, 9.999990859099999740e-01
1.024233565894611786e+00, 9.999999349200000553e-01
1.024420121739936018e+00, 9.999999855400000248e-01
1.024606745556912113e+00, 9.999999955199999624e-01
1.024793437382694794e+00, 9.999999942599999692e-01
1.024980197254466541e+00, 9.999999448999999929e-01
1.025167025209436256e+00, 9.999999742099999755e-01
1.025353921284840597e+00, 9.999998954600000101e-01
1.025540885517942868e+00, 9.999999162699999555e-01
1.025727917946033685e+00, 9.999998154700000530e-01
1.025915018606430751e+00, 9.999999657300000511e-01
1.026102187536479526e+00, 9.999999828200000218e-01
1.026289424773552117e+00, 9.999978063200000156e-01
1.026476730355048383e+00, 9.999999770399999877e-01
1.026664104318395054e+00, 9.999999956699999748e-01
1.026851546701046614e+00, 9.999999955699999665e-01
1.027039057540484635e+00, 9.999999889499999739e-01
1.027226636874218002e+00, 9.999998694999999715e-01
1.027414284739783357e+00, 9.999998937199999771e-01
1.027602001174744206e+00, 9.999985145199999925e-01
1.027789786216692480e+00, 9.999999517400000038e-01
1.027977639903246532e+00, 9.999999670800000517e-01
1.028165562272052691e+00, 9.999999988000000117e-01
1.028353553360785044e+00, 9.999999601100000302e-01
1.028541613207144989e+00, 9.999998890800000373e-01
