# Wavelength  (nm), Transmission (%)
300.000000, 0.000060
300.500000, 0.000022
301.000000, 0.000001
301.500000, 0.000017
302.000000, 0.000001
302.500000, 0.000014
303.000000, 0.000001
303.500000, 0.000001
304.000000, 0.000013
304.500000, 0.000001
305.000000, 0.000006
305.500000, 0.000032
306.000000, 0.000010
306.500000, 0.000025
307.000000, 0.000018
307.500000, 0.000001
308.000000, 0.000001
308.500000, 0.000057
309.000000, 0.000000
309.500000, 0.000001
310.000000, 0.000018
310.500000, 0.000002
311.000000, 0.000032
311.500000, 0.000001
312.000000, 0.000001
312.500000, 0.000067
313.000000, 0.000009
313.500000, 0.000065
314.000000, 0.000054
314.500000, 0.000000
315.000000, 0.000050
315.500000, 0.000090
316.000000, 0.000139
316.500000, 0.000183
317.000000, 0.000161
317.500000, 0.000159
318.000000, 0.000150
318.500000, 0.000168
319.000000, 0.000345
319.500000, 0.000431
320.000000, 0.000627
320.500000, 0.000750
321.000000, 0.000779
321.500000, 0.001488
322.000000, 0.002039
322.500000, 0.002398
323.000000, 0.002675
323.500000, 0.003743
324.000000, 0.006039
324.500000, 0.009727
325.000000, 0.012451
325.500000, 0.014885
326.000000, 0.020973
326.500000, 0.032615
327.000000, 0.045733
327.500000, 0.062438
328.000000, 0.089029
328.500000, 0.135275
329.000000, 0.206309
329.500000, 0.320116
330.000000, 0.486747
330.500000, 0.789630
331.000000, 1.239540
331.500000, 1.826920
332.000000, 2.681220
332.500000, 4.468860
333.000000, 8.658910
333.500000, 15.464400
334.000000, 23.603800
334.500000, 33.308601
335.000000, 46.444800
335.500000, 63.807601
336.000000, 80.175698
336.500000, 88.026500
337.000000, 91.155797
337.500000, 91.947699
338.000000, 91.164702
338.500000, 92.310202
339.000000, 92.805499
339.500000, 92.260098
340.000000, 92.555100
340.500000, 92.871898
341.000000, 92.987603
341.500000, 92.545998
342.000000, 93.449003
342.500000, 92.725903
343.000000, 93.347597
343.500000, 92.801398
344.000000, 92.446601
344.500000, 91.351300
345.000000, 89.037699
345.500000, 86.538601
346.000000, 81.432903
346.500000, 73.086298
347.000000, 60.411602
347.500000, 46.210900
348.000000, 31.951901
348.500000, 19.874400
349.000000, 11.413200
349.500000, 6.559740
350.000000, 3.895500
350.500000, 2.507880
351.000000, 1.787860
351.500000, 1.330050
352.000000, 1.012100
352.500000, 0.747597
353.000000, 0.553161
353.500000, 0.413399
354.000000, 0.320525
354.500000, 0.258955
355.000000, 0.219624
355.500000, 0.179630
356.000000, 0.145744
356.500000, 0.112455
357.000000, 0.084151
357.500000, 0.064665
358.000000, 0.049898
358.500000, 0.039997
359.000000, 0.034223
359.500000, 0.029699
360.000000, 0.026059
360.500000, 0.022357
361.000000, 0.018807
361.500000, 0.015489
362.000000, 0.012241
362.500000, 0.009742
363.000000, 0.007772
363.500000, 0.006234
364.000000, 0.004893
364.500000, 0.003945
365.000000, 0.003210
365.500000, 0.002821
366.000000, 0.002235
366.500000, 0.002284
367.000000, 0.002007
367.500000, 0.001933
368.000000, 0.001853
368.500000, 0.001634
369.000000, 0.001491
369.500000, 0.001276
370.000000, 0.001065
370.500000, 0.000884
371.000000, 0.000749
371.500000, 0.000705
372.000000, 0.000604
372.500000, 0.000568
373.000000, 0.000454
373.500000, 0.000399
374.000000, 0.000284
374.500000, 0.000268
375.000000, 0.000191
375.500000, 0.000213
376.000000, 0.000167
376.500000, 0.000181
377.000000, 0.000201
377.500000, 0.000177
378.000000, 0.000181
378.500000, 0.000151
379.000000, 0.000155
379.500000, 0.000179
380.000000, 0.000163
380.500000, 0.000174
381.000000, 0.000158
381.500000, 0.000149
382.000000, 0.000117
382.500000, 0.000115
383.000000, 0.000085
383.500000, 0.000069
384.000000, 0.000056
384.500000, 0.000049
385.000000, 0.000055
385.500000, 0.000034
386.000000, 0.000038
386.500000, 0.000040
387.000000, 0.000061
387.500000, 0.000059
388.000000, 0.000058
388.500000, 0.000060
389.000000, 0.000058
389.500000, 0.000051
390.000000, 0.000079
390.500000, 0.000055
391.000000, 0.000040
391.500000, 0.000070
392.000000, 0.000035
392.500000, 0.000043
393.000000, 0.000038
393.500000, 0.000041
394.000000, 0.000036
394.500000, 0.000065
395.000000, 0.000040
395.500000, 0.000022
396.000000, 0.000024
396.500000, 0.000055
397.000000, 0.000048
397.500000, 0.000069
398.000000, 0.000104
398.500000, 0.000110
399.000000, 0.000115
399.500000, 0.000108
400.000000, 0.000108
400.500000, 0.000093
401.000000, 0.000075
401.500000, 0.000051
402.000000, 0.000054
402.500000, 0.000060
403.000000, 0.000070
403.500000, 0.000039
404.000000, 0.000045
404.500000, 0.000042
405.000000, 0.000041
405.500000, 0.000053
406.000000, 0.000055
406.500000, 0.000052
407.000000, 0.000051
407.500000, 0.000054
408.000000, 0.000068
408.500000, 0.000101
409.000000, 0.000130
409.500000, 0.000159
410.000000, 0.000157
410.500000, 0.000153
411.000000, 0.000094
411.500000, 0.000092
412.000000, 0.000085
412.500000, 0.000078
413.000000, 0.000059
413.500000, 0.000075
414.000000, 0.000065
414.500000, 0.000070
415.000000, 0.000080
415.500000, 0.000065
416.000000, 0.000083
416.500000, 0.000081
417.000000, 0.000095
417.500000, 0.000096
418.000000, 0.000158
418.500000, 0.000173
419.000000, 0.000256
419.500000, 0.000328
420.000000, 0.000355
420.500000, 0.000336
421.000000, 0.000265
421.500000, 0.000204
422.000000, 0.000136
422.500000, 0.000090
423.000000, 0.000092
423.500000, 0.000097
424.000000, 0.000081
424.500000, 0.000085
425.000000, 0.000074
425.500000, 0.000096
426.000000, 0.000090
426.500000, 0.000098
427.000000, 0.000115
427.500000, 0.000108
428.000000, 0.000122
428.500000, 0.000138
429.000000, 0.000157
429.500000, 0.000146
430.000000, 0.000135
430.500000, 0.000105
431.000000, 0.000069
431.500000, 0.000053
432.000000, 0.000037
432.500000, 0.000030
433.000000, 0.000030
433.500000, 0.000031
434.000000, 0.000020
434.500000, 0.000018
435.000000, 0.000032
435.500000, 0.000023
436.000000, 0.000017
436.500000, 0.000009
437.000000, 0.000018
437.500000, 0.000017
438.000000, 0.000014
438.500000, 0.000014
439.000000, 0.000019
439.500000, 0.000019
440.000000, 0.000020
440.500000, 0.000007
441.000000, 0.000014
441.500000, 0.000010
442.000000, 0.000009
442.500000, 0.000007
443.000000, 0.000007
443.500000, 0.000004
444.000000, 0.000009
444.500000, 0.000007
445.000000, 0.000013
445.500000, 0.000010
446.000000, 0.000010
446.500000, 0.000004
447.000000, 0.000014
447.500000, 0.000004
448.000000, 0.000008
448.500000, 0.000010
449.000000, 0.000030
449.500000, 0.000128
450.000000, 0.000212
450.500000, 0.000165
451.000000, 0.000073
451.500000, 0.000021
452.000000, 0.000020
452.500000, 0.000006
453.000000, 0.000005
453.500000, 0.000011
454.000000, 0.000004
454.500000, 0.000013
455.000000, 0.000007
455.500000, 0.000010
456.000000, 0.000014
456.500000, 0.000006
457.000000, 0.000014
457.500000, 0.000009
458.000000, 0.000010
458.500000, 0.000014
459.000000, 0.000000
459.500000, 0.000000
460.000000, 0.000008
460.500000, 0.000008
461.000000, 0.000007
461.500000, 0.000014
462.000000, 0.000001
462.500000, 0.000010
463.000000, 0.000011
463.500000, 0.000015
464.000000, 0.000026
464.500000, 0.000022
465.000000, 0.000044
465.500000, 0.000062
466.000000, 0.000083
466.500000, 0.000082
467.000000, 0.000062
467.500000, 0.000044
468.000000, 0.000022
468.500000, 0.000031
469.000000, 0.000018
469.500000, 0.000022
470.000000, 0.000015
470.500000, 0.000022
471.000000, 0.000023
471.500000, 0.000023
472.000000, 0.000025
472.500000, 0.000020
473.000000, 0.000019
473.500000, 0.000021
474.000000, 0.000023
474.500000, 0.000022
475.000000, 0.000015
475.500000, 0.000011
476.000000, 0.000010
476.500000, 0.000013
477.000000, 0.000010
477.500000, 0.000010
478.000000, 0.000013
478.500000, 0.000008
479.000000, 0.000015
479.500000, 0.000011
480.000000, 0.000009
480.500000, 0.000011
481.000000, 0.000008
481.500000, 0.000003
482.000000, 0.000012
482.500000, 0.000021
483.000000, 0.000037
483.500000, 0.000042
484.000000, 0.000053
484.500000, 0.000094
485.000000, 0.000112
485.500000, 0.000145
486.000000, 0.000138
486.500000, 0.000104
487.000000, 0.000072
487.500000, 0.000055
488.000000, 0.000038
488.500000, 0.000029
489.000000, 0.000021
489.500000, 0.000017
490.000000, 0.000023
490.500000, 0.000014
491.000000, 0.000019
491.500000, 0.000012
492.000000, 0.000013
492.500000, 0.000015
493.000000, 0.000011
493.500000, 0.000014
494.000000, 0.000016
494.500000, 0.000010
495.000000, 0.000012
495.500000, 0.000012
496.000000, 0.000019
496.500000, 0.000016
497.000000, 0.000021
497.500000, 0.000024
498.000000, 0.000010
498.500000, 0.000021
499.000000, 0.000019
499.500000, 0.000016
500.000000, 0.000013
500.500000, 0.000016
501.000000, 0.000019
501.500000, 0.000012
