# Wavelength (nm), Avg T at 30 deg AOI (%)
299.990,48.285
301.010,44.377
302.010,39.116
303.000,39.284
304.000,47.702
305.000,60.089
306.000,67.125
306.990,63.219
308.010,54.105
309.000,50.392
309.990,55.464
311.010,65.528
311.990,71.480
312.990,68.511
314.000,59.889
314.990,54.344
316.000,57.111
316.990,66.932
317.990,77.678
319.010,80.828
320.000,75.536
320.990,70.331
322.010,71.566
323.010,78.402
324.000,84.856
325.000,86.454
326.000,83.528
327.000,79.774
328.000,78.977
329.000,81.429
329.990,85.443
331.010,88.979
332.000,90.186
332.990,89.725
334.000,88.749
335.000,88.898
335.990,90.175
337.000,91.888
338.010,93.078
339.010,93.396
339.990,92.976
340.990,92.350
342.010,92.170
342.990,91.974
344.000,91.494
344.990,91.039
346.000,90.690
346.990,90.896
347.990,91.716
348.990,92.663
350.000,93.469
351.000,93.988
352.000,93.844
352.990,93.768
354.010,93.467
354.990,93.321
356.010,93.963
357.010,94.265
358.010,94.793
358.990,94.850
360.010,93.876
360.990,92.376
362.010,90.590
363.010,89.748
364.000,90.256
365.010,91.880
365.990,93.471
367.000,93.017
367.990,89.592
369.000,85.130
369.990,82.188
371.000,81.538
372.000,80.261
372.990,74.672
373.990,62.967
374.990,46.243
376.000,30.049
376.980,17.085
378.030, 8.409
379.010, 4.438
380.000, 2.663
380.980, 1.731
382.030, 1.125
383.020, 1.013
384.010, 0.736
385.000, 0.649
385.980, 0.568
387.030, 0.547
388.020, 0.533
389.010, 0.411
389.990, 0.444
390.980, 0.430
392.020, 0.460
393.010, 0.537
393.990, 0.476
395.030, 0.548
396.010, 0.654
396.990, 0.797
398.020, 1.009
399.000, 1.401
400.030, 2.213
401.000, 3.816
401.980, 7.297
403.000,14.493
404.030,25.515
405.000,38.224
406.030,50.927
407.000,57.224
408.020,56.665
408.990,51.220
410.020,45.838
410.990,46.147
412.020,52.090
412.990,61.479
414.010,72.878
414.990,81.829
416.020,86.488
416.990,85.126
418.030,79.140
419.000,72.673
419.980,68.072
421.020,66.682
422.000,68.575
422.980,72.981
424.020,79.112
425.000,84.783
425.990,88.969
427.030,90.498
428.020,89.226
429.000,85.943
429.990,82.010
430.980,78.523
432.020,76.254
433.010,75.728
434.000,76.795
434.980,79.131
436.020,82.584
437.010,86.215
437.990,89.518
439.030,92.109
440.010,93.427
440.990,93.571
442.030,92.769
443.000,91.617
443.980,90.462
445.010,89.518
445.980,89.094
447.010,89.192
447.980,89.746
449.010,90.663
449.980,91.658
451.000,92.661
452.030,93.552
453.000,94.098
454.020,94.477
454.990,94.601
456.010,94.681
456.980,94.713
458.000,94.667
459.030,94.819
460.000,94.982
461.030,95.250
462.000,95.582
463.030,95.926
464.000,96.248
464.980,96.498
466.010,96.728
466.990,96.862
468.020,96.917
469.000,96.880
469.980,96.812
471.020,96.720
472.010,96.641
472.990,96.542
474.030,96.478
475.020,96.401
476.000,96.355
476.990,96.330
478.030,96.300
479.010,96.286
480.000,96.309
480.980,96.327
482.020,96.352
483.000,96.424
483.980,96.484
485.020,96.534
486.000,96.650
486.980,96.773
488.010,96.907
488.980,97.061
490.020,97.202
490.990,97.274
492.020,97.429
492.980,97.497
494.010,97.569
494.980,97.566
496.000,97.556
497.020,97.477
497.990,97.419
499.010,97.321
499.980,97.237
501.000,97.172
502.020,97.145
502.990,97.146
504.010,97.195
505.030,97.312
506.000,97.425
507.020,97.589
507.990,97.756
509.020,97.877
509.990,98.006
511.020,98.070
512.000,98.067
513.030,97.984
514.010,97.851
514.990,97.715
516.020,97.550
517.000,97.359
517.980,97.234
519.020,97.138
520.000,97.072
520.990,97.096
522.030,97.189
523.010,97.313
523.990,97.455
525.030,97.576
526.010,97.680
526.990,97.760
528.030,97.738
529.010,97.635
529.990,97.450
531.020,97.190
532.000,96.902
532.980,96.583
534.010,96.259
534.980,96.002
536.010,95.797
536.980,95.740
538.000,95.754
539.030,95.888
539.990,96.102
541.010,96.409
541.980,96.686
543.000,96.957
544.020,97.135
544.980,97.184
546.000,97.041
547.020,96.694
547.980,96.175
549.000,95.373
550.020,94.344
550.990,93.254
552.010,91.984
553.030,90.691
554.000,89.459
555.020,88.229
555.990,87.163
557.020,86.221
557.990,85.487
559.030,84.894
560.000,84.496
560.980,84.245
562.010,84.113
562.990,84.087
564.020,84.084
565.000,84.107
565.980,84.089
567.020,84.007
568.000,83.835
568.980,83.539
570.020,83.137
571.000,82.640
571.980,82.079
573.010,81.444
573.990,80.819
575.020,80.217
576.000,79.691
576.980,79.296
578.010,78.998
578.980,78.863
580.010,78.929
580.980,79.151
582.000,79.594
583.020,80.215
583.990,80.938
585.010,81.824
586.030,82.782
586.990,83.701
588.010,84.667
589.030,85.576
589.990,86.351
591.010,87.036
592.020,87.602
592.980,87.992
594.000,88.264
595.020,88.411
595.980,88.447
597.000,88.445
598.020,88.412
598.980,88.396
600.000,88.436
601.030,88.560
601.990,88.790
603.020,89.127
603.990,89.542
605.020,90.098
605.990,90.718
607.020,91.401
608.000,92.044
609.030,92.676
610.010,93.168
610.980,93.503
612.020,93.675
612.990,93.614
614.030,93.265
615.010,92.721
615.980,91.921
617.020,90.877
618.000,89.762
619.030,88.446
620.000,87.171
620.980,85.926
622.010,84.690
622.980,83.634
624.010,82.683
625.030,81.943
626.000,81.468
627.020,81.207
627.990,81.224
629.010,81.489
630.030,81.994
630.990,82.679
632.000,83.544
633.020,84.588
633.980,85.636
634.990,86.788
636.010,87.893
637.020,88.911
637.980,89.704
638.990,90.318
640.010,90.663
641.020,90.671
641.980,90.375
643.000,89.756
644.020,88.802
644.980,87.697
646.000,86.332
647.020,84.858
647.980,83.399
649.010,81.902
649.980,80.588
651.000,79.304
652.030,78.227
653.000,77.423
654.030,76.803
655.000,76.473
655.980,76.389
657.010,76.588
657.980,77.010
659.010,77.732
659.990,78.645
661.020,79.831
662.000,81.119
663.030,82.609
664.000,84.107
665.030,85.687
666.000,87.126
667.030,88.525
668.000,89.684
669.020,90.589
669.990,91.120
671.010,91.302
671.980,91.091
673.000,90.474
674.010,89.473
675.030,88.160
675.990,86.705
677.000,85.029
678.020,83.259
679.030,81.455
679.990,79.798
681.000,78.130
682.010,76.609
683.020,75.275
684.030,74.127
684.980,73.267
686.000,72.571
687.010,72.126
688.020,71.953
688.980,72.006
689.990,72.325
691.010,72.879
692.030,73.668
692.990,74.624
694.010,75.819
695.030,77.183
696.000,78.594
697.020,80.194
697.990,81.736
699.020,83.305
699.990,84.741
701.010,86.085
701.980,87.160
703.010,88.026
703.980,88.557
705.010,88.794
705.990,88.674
707.010,88.249
707.990,87.543
709.010,86.522
709.980,85.371
711.010,83.969
711.980,82.527
713.000,80.961
714.020,79.385
714.990,77.948
716.010,76.526
717.030,75.223
717.990,74.158
719.000,73.190
720.020,72.425
721.030,71.851
721.980,71.491
722.990,71.321
724.000,71.337
725.010,71.581
726.020,72.006
727.030,72.609
727.980,73.345
728.990,74.302
729.990,75.367
731.000,76.577
732.010,77.871
733.020,79.217
733.980,80.481
734.990,81.840
736.000,83.152
737.010,84.348
738.030,85.419
738.990,86.250
740.010,86.914
741.030,87.332
741.990,87.464
743.010,87.352
743.980,87.011
745.000,86.381
746.020,85.553
746.990,84.621
748.020,83.490
748.990,82.340
750.010,81.051
750.980,79.845
752.010,78.578
752.980,77.410
754.000,76.256
755.020,75.181
755.990,74.293
757.010,73.456
757.980,72.794
759.000,72.265
760.010,71.870
761.030,71.650
761.990,71.571
763.000,71.675
764.010,71.943
765.030,72.340
765.980,72.863
766.990,73.539
767.990,74.345
769.000,75.269
770.010,76.278
771.010,77.389
772.020,78.558
773.020,79.780
774.020,81.021
775.030,82.235
775.980,83.323
776.980,84.430
777.990,85.449
779.000,86.336
780.000,87.050
781.010,87.620
782.020,88.007
782.980,88.182
783.990,88.191
785.010,87.980
786.020,87.593
786.980,87.052
788.000,86.354
789.020,85.549
789.980,84.679
791.000,83.729
792.020,82.725
792.990,81.755
794.010,80.753
794.980,79.813
796.000,78.872
797.020,77.981
797.990,77.235
799.010,76.515
800.030,75.873
800.990,75.372
802.010,74.957
803.030,74.639
803.990,74.464
805.000,74.369
806.010,74.390
807.030,74.530
807.980,74.764
808.990,75.102
810.000,75.558
811.000,76.074
812.010,76.693
813.010,77.361
814.010,78.117
815.020,78.904
816.020,79.736
817.020,80.581
818.020,81.426
819.020,82.266
820.020,83.088
821.020,83.858
822.020,84.559
823.030,85.220
824.030,85.789
824.980,86.240
825.980,86.614
826.990,86.879
828.000,87.024
829.010,87.074
830.020,86.963
831.030,86.777
831.990,86.495
833.000,86.122
834.020,85.686
834.980,85.198
835.990,84.631
837.010,84.026
838.030,83.409
838.990,82.825
840.010,82.184
841.030,81.578
841.990,81.015
843.010,80.455
844.030,79.953
844.990,79.488
846.000,79.084
847.020,78.727
848.030,78.442
848.990,78.237
850.000,78.087
851.010,78.004
852.010,77.983
853.020,78.048
854.030,78.193
855.030,78.372
855.980,78.614
856.980,78.926
857.980,79.289
858.980,79.718
860.030,80.191
861.030,80.693
862.020,81.218
863.020,81.759
864.020,82.318
865.010,82.886
866.010,83.445
867.010,83.991
868.010,84.524
869.010,85.026
870.010,85.494
871.010,85.915
872.020,86.272
873.020,86.581
874.030,86.833
874.980,86.997
875.990,87.097
877.000,87.120
878.010,87.075
879.020,86.981
880.030,86.785
880.990,86.579
882.000,86.287
883.020,85.940
883.980,85.597
884.990,85.168
886.000,84.722
887.020,84.255
887.980,83.812
888.990,83.321
890.000,82.827
891.010,82.341
892.030,81.859
892.980,81.432
893.990,80.992
894.990,80.590
896.000,80.211
897.000,79.869
898.000,79.552
899.000,79.270
900.000,79.034
901.000,78.819
902.000,78.657
902.990,78.546
903.990,78.472
904.980,78.430
905.980,78.430
907.020,78.469
908.020,78.549
909.010,78.664
910.000,78.788
911.000,78.960
911.990,79.168
912.990,79.388
913.980,79.632
914.980,79.905
915.980,80.182
916.980,80.465
917.980,80.778
918.980,81.099
919.990,81.416
920.990,81.708
922.000,81.995
923.000,82.292
924.010,82.573
925.020,82.813
926.030,83.044
926.980,83.230
928.000,83.413
929.010,83.570
930.020,83.686
931.030,83.766
931.980,83.806
932.990,83.811
934.000,83.795
935.010,83.727
936.020,83.623
937.020,83.478
938.030,83.296
939.030,83.072
939.980,82.832
940.980,82.552
942.030,82.201
943.030,81.859
944.020,81.481
945.020,81.072
946.010,80.631
947.000,80.172
947.990,79.704
948.980,79.206
950.030,78.656
951.020,78.099
952.010,77.526
953.000,76.934
953.980,76.326
955.030,75.670
956.020,75.019
957.010,74.348
958.000,73.675
958.990,72.991
959.990,72.293
960.980,71.602
961.980,70.911
962.980,70.241
963.980,69.581
964.980,68.905
965.980,68.270
966.980,67.647
967.980,67.060
968.990,66.502
969.990,65.979
971.000,65.498
972.010,65.071
973.010,64.694
974.020,64.385
975.030,64.127
975.980,63.948
976.980,63.842
977.990,63.813
978.990,63.871
979.990,64.018
981.000,64.245
982.000,64.575
983.000,65.015
983.990,65.546
984.990,66.173
985.990,66.891
986.980,67.690
988.030,68.618
989.020,69.534
989.950,70.410
990.980,71.147
992.000,71.939
993.020,72.656
994.050,73.186
994.960,73.523
995.990,73.703
997.020,73.671
998.040,73.388
998.960,72.921
999.990,72.205
1001.020,71.233
1002.050,70.103
1002.970,68.954
1004.000,67.476
1005.030,65.949
1005.950,64.532
1006.980,62.816
1008.020,61.091
1009.050,59.268
1009.970,57.612
