# Wavelength  (nm), Reflectance (%)
250.000000, 2.057270
251.000000, 2.008150
252.000000, 2.021700
253.000000, 2.046940
254.000000, 2.027960
255.000000, 2.765700
256.000000, 2.782880
257.000000, 3.115250
258.000000, 3.432590
259.000000, 4.403840
260.000000, 5.132400
261.000000, 6.006960
262.000000, 7.553150
263.000000, 9.062680
264.000000, 10.814450
265.000000, 12.626630
266.000000, 14.560680
267.000000, 16.733420
268.000000, 19.950230
269.000000, 23.318800
270.000000, 27.336820
271.000000, 31.703600
272.000000, 36.423660
273.000000, 41.009410
274.000000, 45.790240
275.000000, 49.771200
276.000000, 53.290300
277.000000, 55.799070
278.000000, 56.750890
279.000000, 56.804150
280.000000, 55.485850
281.000000, 52.195190
282.000000, 49.045980
283.000000, 44.555690
284.000000, 41.064550
285.000000, 38.743260
286.000000, 37.677760
287.000000, 38.433970
288.000000, 42.128480
289.000000, 47.284440
290.000000, 53.505340
291.000000, 60.373830
292.000000, 66.132840
293.000000, 71.711120
294.000000, 76.320660
295.000000, 80.414990
296.000000, 83.516250
297.000000, 84.565770
298.000000, 84.978200
299.000000, 84.391010
300.000000, 83.853460
301.000000, 83.774040
302.000000, 83.948010
303.000000, 83.367260
304.000000, 82.071680
305.000000, 79.759660
306.000000, 77.401010
307.000000, 75.534370
308.000000, 74.513420
309.000000, 73.631710
310.000000, 72.683470
311.000000, 70.233370
312.000000, 66.282190
313.000000, 60.780310
314.000000, 56.138500
315.000000, 52.999050
316.000000, 52.337000
317.000000, 55.340640
318.000000, 60.071790
319.000000, 64.565540
320.000000, 68.978430
321.000000, 69.595030
322.000000, 68.415290
323.000000, 66.819290
324.000000, 65.620270
325.000000, 66.352160
326.000000, 67.484610
327.000000, 69.078200
328.000000, 69.349370
329.000000, 67.736790
330.000000, 64.262830
331.000000, 59.417480
332.000000, 56.092600
333.000000, 54.063410
334.000000, 53.689060
335.000000, 54.235240
336.000000, 54.618360
337.000000, 54.696310
338.000000, 54.658560
339.000000, 55.225430
340.000000, 57.260630
341.000000, 60.441760
342.000000, 64.065430
343.000000, 67.175030
344.000000, 69.029510
345.000000, 69.378050
346.000000, 67.868120
347.000000, 64.911440
348.000000, 61.283650
349.000000, 57.401600
350.000000, 54.199300
351.000000, 52.791590
352.000000, 53.187540
353.000000, 55.585740
354.000000, 60.450710
355.000000, 66.632720
356.000000, 73.375990
357.000000, 79.799610
358.000000, 85.053190
359.000000, 88.428370
360.000000, 90.727480
361.000000, 92.231840
362.000000, 93.586770
363.000000, 94.833940
364.000000, 96.106230
365.000000, 97.326670
366.000000, 98.143530
367.000000, 98.692720
368.000000, 98.991140
369.000000, 99.015480
370.000000, 99.018190
371.000000, 98.761930
372.000000, 98.750970
373.000000, 98.563270
374.000000, 98.339680
375.000000, 98.172630
376.000000, 97.829050
377.000000, 97.581410
378.000000, 97.529490
379.000000, 97.530750
380.000000, 97.670390
381.000000, 97.834650
382.000000, 98.059530
383.000000, 98.140650
384.000000, 98.167570
385.000000, 98.211350
386.000000, 98.150530
387.000000, 98.073550
388.000000, 98.016010
389.000000, 97.971440
390.000000, 97.971630
391.000000, 98.011050
392.000000, 98.066600
393.000000, 98.204530
394.000000, 98.290640
395.000000, 98.325240
396.000000, 98.341850
397.000000, 98.292480
