# Wavelength  (nm), Reflectance (%)
250.000000, 59.268227
251.000000, 59.484671
252.000000, 60.112634
253.000000, 60.291216
254.000000, 60.404617
255.000000, 60.603389
256.000000, 60.817043
257.000000, 61.399835
258.000000, 60.893728
259.000000, 60.986898
260.000000, 61.061603
261.000000, 61.016543
262.000000, 60.700309
263.000000, 60.260343
264.000000, 60.202431
265.000000, 59.321132
266.000000, 58.760571
267.000000, 57.554547
268.000000, 56.125625
269.000000, 53.634905
270.000000, 51.030015
271.000000, 48.369685
272.000000, 44.625661
273.000000, 40.420759
274.000000, 37.091644
275.000000, 34.348875
276.000000, 33.203050
277.000000, 34.419165
278.000000, 36.651638
279.000000, 40.969539
280.000000, 46.853435
281.000000, 52.374806
282.000000, 57.443787
283.000000, 60.433302
284.000000, 62.577964
285.000000, 63.379210
286.000000, 62.847419
287.000000, 61.250156
288.000000, 57.882387
289.000000, 53.263084
290.000000, 47.636637
291.000000, 40.847634
292.000000, 35.605481
293.000000, 33.464570
294.000000, 34.433447
295.000000, 39.393689
296.000000, 45.880581
297.000000, 51.993543
298.000000, 57.738955
299.000000, 63.669067
300.000000, 69.827529
301.000000, 77.225673
302.000000, 83.993760
303.000000, 88.671488
304.000000, 92.658827
305.000000, 94.569235
306.000000, 95.982806
307.000000, 96.314720
308.000000, 96.353038
309.000000, 95.732187
310.000000, 95.362469
311.000000, 94.166018
312.000000, 93.983661
313.000000, 93.884697
314.000000, 93.610282
315.000000, 93.730580
316.000000, 92.240053
317.000000, 90.337027
318.000000, 87.684768
319.000000, 84.534704
320.000000, 83.299748
321.000000, 83.630794
322.000000, 85.273192
323.000000, 87.452703
324.000000, 90.005084
325.000000, 92.032086
326.000000, 92.857012
327.000000, 93.095479
328.000000, 92.303203
329.000000, 91.908247
330.000000, 91.493720
331.000000, 91.523592
332.000000, 91.632563
333.000000, 92.127467
334.000000, 93.168036
335.000000, 93.492743
336.000000, 94.856386
337.000000, 95.487033
338.000000, 96.212879
339.000000, 96.519070
340.000000, 96.927471
341.000000, 97.430146
342.000000, 97.575332
343.000000, 98.054113
344.000000, 98.440310
345.000000, 98.563181
346.000000, 98.838222
347.000000, 99.305899
348.000000, 99.468560
349.000000, 99.640390
350.000000, 99.537287
351.000000, 99.544519
352.000000, 99.441998
353.000000, 99.704046
354.000000, 99.790614
355.000000, 99.614209
356.000000, 99.631150
357.000000, 99.611931
358.000000, 99.710811
359.000000, 99.713124
360.000000, 99.730896
361.000000, 99.586985
362.000000, 99.470122
363.000000, 99.530159
364.000000, 99.517786
365.000000, 99.587485
366.000000, 99.496282
367.000000, 99.390023
368.000000, 99.673730
369.000000, 99.454643
370.000000, 99.522721
371.000000, 99.584207
372.000000, 99.471493
373.000000, 99.454968
374.000000, 99.411815
375.000000, 99.333611
376.000000, 99.193789
377.000000, 99.053842
378.000000, 99.123977
379.000000, 99.218835
380.000000, 99.094734
381.000000, 99.263464
382.000000, 99.275909
383.000000, 99.372800
384.000000, 99.476709
385.000000, 99.507493
386.000000, 99.535187
387.000000, 99.564086
388.000000, 99.529125
389.000000, 99.537152
390.000000, 99.493769
391.000000, 99.434583
392.000000, 99.444512
393.000000, 99.382640
394.000000, 99.355723
395.000000, 99.337591
396.000000, 99.350580
397.000000, 99.310642
398.000000, 99.278454
399.000000, 99.357157
400.000000, 99.411281
401.000000, 99.399482
402.000000, 99.472909
403.000000, 99.448458
404.000000, 99.495737
405.000000, 99.496435
406.000000, 99.519237
407.000000, 99.439091
408.000000, 99.411852
409.000000, 99.364515
410.000000, 99.251690
411.000000, 99.249981
412.000000, 99.275353
413.000000, 99.295396
414.000000, 99.336501
415.000000, 99.393937
416.000000, 99.401656
417.000000, 99.384908
418.000000, 99.338418
419.000000, 99.252904
420.000000, 99.166172
421.000000, 99.029922
422.000000, 99.053370
423.000000, 99.058888
424.000000, 99.147669
425.000000, 99.234458
426.000000, 99.304292
427.000000, 99.290793
428.000000, 99.292301
429.000000, 99.247553
430.000000, 99.222588
431.000000, 99.189963
432.000000, 99.231612
433.000000, 99.280023
434.000000, 99.330380
435.000000, 99.402724
436.000000, 99.450183
437.000000, 99.465917
438.000000, 99.441551
439.000000, 99.405897
440.000000, 99.376672
441.000000, 99.356347
442.000000, 99.339150
443.000000, 99.349173
444.000000, 99.376828
445.000000, 99.416160
446.000000, 99.489963
447.000000, 99.536809
448.000000, 99.596366
449.000000, 99.621182
450.000000, 99.647112
451.000000, 99.672094
452.000000, 99.648407
453.000000, 99.625589
454.000000, 99.616560
455.000000, 99.628881
456.000000, 99.602368
457.000000, 99.605265
458.000000, 99.566870
459.000000, 99.513728
460.000000, 99.466234
461.000000, 99.412446
462.000000, 99.330594
463.000000, 99.281219
464.000000, 99.250947
465.000000, 99.214292
466.000000, 99.178331
467.000000, 99.202995
468.000000, 99.203306
469.000000, 99.229761
470.000000, 99.225959
471.000000, 99.229857
472.000000, 99.194776
473.000000, 99.155471
474.000000, 99.153073
475.000000, 99.166427
476.000000, 99.146561
477.000000, 99.198839
478.000000, 99.241891
479.000000, 99.303354
480.000000, 99.356879
481.000000, 99.411780
482.000000, 99.440373
483.000000, 99.485360
484.000000, 99.522973
485.000000, 99.542492
486.000000, 99.544029
487.000000, 99.552456
488.000000, 99.535341
489.000000, 99.515679
490.000000, 99.511252
491.000000, 99.509262
492.000000, 99.494686
493.000000, 99.510029
494.000000, 99.506321
495.000000, 99.517201
496.000000, 99.501376
497.000000, 99.470144
498.000000, 99.425721
499.000000, 99.374764
500.000000, 99.313638
501.000000, 99.280171
502.000000, 99.267811
503.000000, 99.282438
504.000000, 99.328793
505.000000, 99.411884
506.000000, 99.477295
507.000000, 99.557162
508.000000, 99.596275
509.000000, 99.650226
510.000000, 99.670402
511.000000, 99.688541
512.000000, 99.692540
513.000000, 99.687140
514.000000, 99.678511
515.000000, 99.652315
516.000000, 99.602850
517.000000, 99.590228
518.000000, 99.548625
519.000000, 99.535973
520.000000, 99.488025
521.000000, 99.466100
522.000000, 99.463351
523.000000, 99.437345
524.000000, 99.434427
525.000000, 99.421746
526.000000, 99.403142
527.000000, 99.366176
528.000000, 99.309354
529.000000, 99.257607
530.000000, 99.225915
531.000000, 99.204815
532.000000, 99.201615
533.000000, 99.223789
534.000000, 99.263104
535.000000, 99.312767
536.000000, 99.387483
537.000000, 99.419758
538.000000, 99.448297
539.000000, 99.449521
540.000000, 99.452545
541.000000, 99.465721
542.000000, 99.492587
543.000000, 99.504358
544.000000, 99.546593
545.000000, 99.582936
546.000000, 99.611119
547.000000, 99.648867
548.000000, 99.634471
549.000000, 99.648014
550.000000, 99.629130
551.000000, 99.579497
552.000000, 99.533087
553.000000, 99.460587
554.000000, 99.390662
555.000000, 99.311560
556.000000, 99.252580
557.000000, 99.202709
558.000000, 99.179993
559.000000, 99.201019
560.000000, 99.212065
561.000000, 99.235519
562.000000, 99.279653
563.000000, 99.321940
564.000000, 99.359460
565.000000, 99.370566
566.000000, 99.370628
567.000000, 99.359153
568.000000, 99.342191
569.000000, 99.329371
570.000000, 99.319524
571.000000, 99.335965
572.000000, 99.347622
573.000000, 99.390248
574.000000, 99.446969
575.000000, 99.491394
576.000000, 99.540799
577.000000, 99.589627
578.000000, 99.612321
579.000000, 99.658362
580.000000, 99.663741
581.000000, 99.673054
582.000000, 99.688883
583.000000, 99.669423
584.000000, 99.672826
585.000000, 99.660105
586.000000, 99.652607
587.000000, 99.635073
588.000000, 99.620111
589.000000, 99.608349
590.000000, 99.592841
591.000000, 99.594798
592.000000, 99.584702
593.000000, 99.571539
594.000000, 99.563279
595.000000, 99.555405
596.000000, 99.553482
597.000000, 99.560580
598.000000, 99.552806
599.000000, 99.558349
600.000000, 99.544277
601.000000, 99.549568
602.000000, 99.536203
603.000000, 99.526333
604.000000, 99.537290
605.000000, 99.520068
606.000000, 99.521040
607.000000, 99.531654
608.000000, 99.551478
609.000000, 99.566236
610.000000, 99.564719
611.000000, 99.557540
612.000000, 99.543613
613.000000, 99.507413
614.000000, 99.510456
615.000000, 99.485189
616.000000, 99.470122
617.000000, 99.477674
618.000000, 99.492977
619.000000, 99.505826
620.000000, 99.544881
621.000000, 99.547500
622.000000, 99.562041
623.000000, 99.556825
624.000000, 99.538118
625.000000, 99.522261
626.000000, 99.506282
627.000000, 99.508994
628.000000, 99.517279
629.000000, 99.517513
630.000000, 99.548424
631.000000, 99.558610
632.000000, 99.573363
633.000000, 99.600257
634.000000, 99.597549
635.000000, 99.590179
636.000000, 99.563995
637.000000, 99.564051
638.000000, 99.530341
639.000000, 99.525760
640.000000, 99.524954
641.000000, 99.522270
642.000000, 99.525594
643.000000, 99.567779
644.000000, 99.585493
645.000000, 99.591634
646.000000, 99.586180
647.000000, 99.568098
648.000000, 99.534619
649.000000, 99.509647
650.000000, 99.501663
651.000000, 99.482889
652.000000, 99.493718
653.000000, 99.509162
654.000000, 99.503166
655.000000, 99.491251
656.000000, 99.508904
657.000000, 99.517773
658.000000, 99.523088
659.000000, 99.540192
660.000000, 99.544589
661.000000, 99.545656
662.000000, 99.546109
663.000000, 99.558127
664.000000, 99.565794
665.000000, 99.596505
666.000000, 99.623706
667.000000, 99.629512
668.000000, 99.622185
669.000000, 99.638577
670.000000, 99.621580
671.000000, 99.611615
672.000000, 99.629900
673.000000, 99.625211
674.000000, 99.607064
675.000000, 99.556513
676.000000, 99.485687
677.000000, 99.390762
678.000000, 99.291979
679.000000, 99.220248
680.000000, 99.174884
681.000000, 99.139636
682.000000, 99.093103
683.000000, 99.036703
684.000000, 98.963411
685.000000, 98.829945
686.000000, 98.743107
687.000000, 98.663881
688.000000, 98.655364
689.000000, 98.689872
690.000000, 98.734138
691.000000, 98.818869
692.000000, 98.869803
693.000000, 98.928568
694.000000, 98.989130
695.000000, 99.031721
696.000000, 99.108536
697.000000, 99.165933
698.000000, 99.254222
699.000000, 99.335553
700.000000, 99.429947
701.000000, 99.502736
702.000000, 99.560923
703.000000, 99.622035
704.000000, 99.624961
705.000000, 99.644038
706.000000, 99.624495
707.000000, 99.603480
708.000000, 99.587844
709.000000, 99.536240
710.000000, 99.455688
711.000000, 99.385050
712.000000, 99.230451
713.000000, 99.001905
714.000000, 98.628000
715.000000, 98.068801
716.000000, 97.206245
717.000000, 95.976233
718.000000, 94.342183
719.000000, 92.284210
720.000000, 88.905741
721.000000, 86.227777
722.000000, 83.578377
723.000000, 80.761457
724.000000, 77.845489
725.000000, 75.044712
726.000000, 72.081414
727.000000, 69.062783
728.000000, 66.334165
729.000000, 63.667373
730.000000, 61.214887
731.000000, 59.123672
732.000000, 57.290413
733.000000, 55.741175
734.000000, 54.470184
735.000000, 53.282631
736.000000, 51.920257
737.000000, 50.191254
738.000000, 47.949649
739.000000, 44.848145
740.000000, 41.133991
741.000000, 37.146448
742.000000, 32.735676
743.000000, 28.234513
744.000000, 24.003715
745.000000, 19.663717
746.000000, 15.512901
747.000000, 12.074334
748.000000, 9.128506
749.000000, 6.885015
750.000000, 5.425538
751.000000, 4.493040
752.000000, 3.930577
753.000000, 3.586623
754.000000, 3.345339
755.000000, 3.121952
756.000000, 2.977507
757.000000, 2.887783
758.000000, 2.824368
759.000000, 2.783706
760.000000, 2.759700
761.000000, 2.724437
762.000000, 2.716086
763.000000, 2.728314
764.000000, 2.762754
765.000000, 2.834328
766.000000, 2.894519
767.000000, 2.976573
768.000000, 3.044965
769.000000, 3.098648
770.000000, 3.149123
771.000000, 3.167916
772.000000, 3.184476
773.000000, 3.178085
774.000000, 3.166225
775.000000, 3.134740
776.000000, 3.069455
777.000000, 3.013930
778.000000, 2.953829
779.000000, 2.916955
780.000000, 2.903204
781.000000, 2.878085
782.000000, 2.879283
783.000000, 2.905257
784.000000, 2.946070
785.000000, 2.978297
786.000000, 3.006765
787.000000, 3.049138
788.000000, 3.051875
789.000000, 3.042130
790.000000, 3.023181
791.000000, 2.997547
792.000000, 2.986442
793.000000, 2.966488
794.000000, 2.972190
795.000000, 2.977151
796.000000, 3.004953
797.000000, 3.019570
798.000000, 3.041504
799.000000, 3.063807
800.000000, 3.036459
801.000000, 3.039955
802.000000, 3.003995
803.000000, 2.966758
804.000000, 2.935874
805.000000, 2.886477
806.000000, 2.853352
807.000000, 2.853033
808.000000, 2.868549
809.000000, 2.886917
810.000000, 2.898691
811.000000, 2.918286
812.000000, 2.943297
813.000000, 2.951840
814.000000, 2.921272
815.000000, 2.899261
816.000000, 2.826038
817.000000, 2.763729
818.000000, 2.713388
819.000000, 2.644419
820.000000, 2.606538
821.000000, 2.578805
822.000000, 2.556739
823.000000, 2.578006
824.000000, 2.606088
825.000000, 2.643920
826.000000, 2.689274
827.000000, 2.735131
828.000000, 2.747870
829.000000, 2.767082
830.000000, 2.760338
831.000000, 2.743946
832.000000, 2.719591
833.000000, 2.685952
834.000000, 2.659726
835.000000, 2.654397
836.000000, 2.650021
837.000000, 2.672904
838.000000, 2.711821
839.000000, 2.777552
840.000000, 2.853488
841.000000, 2.932653
842.000000, 3.031674
843.000000, 3.126132
844.000000, 3.201027
845.000000, 3.266021
846.000000, 3.311843
847.000000, 3.344058
848.000000, 3.355358
849.000000, 3.342848
850.000000, 3.324428
851.000000, 3.281848
852.000000, 3.227506
853.000000, 3.164011
854.000000, 3.100005
855.000000, 3.029333
856.000000, 2.955604
857.000000, 2.880049
858.000000, 2.810719
859.000000, 2.747325
860.000000, 2.690071
861.000000, 2.651770
862.000000, 2.617848
863.000000, 2.600823
864.000000, 2.607760
865.000000, 2.621811
866.000000, 2.653617
867.000000, 2.702936
868.000000, 2.764709
869.000000, 2.831183
870.000000, 2.906513
871.000000, 2.982741
872.000000, 3.050588
873.000000, 3.115569
874.000000, 3.166720
875.000000, 3.209832
876.000000, 3.233788
877.000000, 3.256406
878.000000, 3.267331
879.000000, 3.271390
880.000000, 3.273143
881.000000, 3.270708
882.000000, 3.270401
883.000000, 3.273781
884.000000, 3.282912
885.000000, 3.295293
886.000000, 3.312046
887.000000, 3.330381
888.000000, 3.344914
889.000000, 3.361157
890.000000, 3.372842
891.000000, 3.378268
892.000000, 3.376760
893.000000, 3.366923
894.000000, 3.354805
895.000000, 3.340784
896.000000, 3.321925
897.000000, 3.304521
898.000000, 3.290863
899.000000, 3.279624
900.000000, 3.274695
901.000000, 3.277794
902.000000, 3.287370
903.000000, 3.301928
904.000000, 3.317149
905.000000, 3.334042
906.000000, 3.350837
907.000000, 3.363002
908.000000, 3.367943
909.000000, 3.364288
910.000000, 3.354170
911.000000, 3.333875
912.000000, 3.304786
913.000000, 3.270054
914.000000, 3.228798
915.000000, 3.181032
916.000000, 3.136591
917.000000, 3.093063
918.000000, 3.052272
919.000000, 3.015366
920.000000, 2.987255
921.000000, 2.961228
922.000000, 2.940698
923.000000, 2.926116
924.000000, 2.914886
925.000000, 2.905741
926.000000, 2.900207
927.000000, 2.894710
928.000000, 2.890177
929.000000, 2.888116
930.000000, 2.887638
931.000000, 2.889993
932.000000, 2.896331
933.000000, 2.908900
934.000000, 2.930482
935.000000, 2.959867
936.000000, 2.997219
937.000000, 3.044854
938.000000, 3.099349
939.000000, 3.158311
940.000000, 3.223556
941.000000, 3.288141
942.000000, 3.346079
943.000000, 3.398647
944.000000, 3.441494
945.000000, 3.466331
946.000000, 3.475008
947.000000, 3.462144
948.000000, 3.430481
949.000000, 3.378998
950.000000, 3.307451
951.000000, 3.224586
952.000000, 3.128110
953.000000, 3.023852
954.000000, 2.923037
955.000000, 2.828515
956.000000, 2.740812
957.000000, 2.670082
958.000000, 2.616862
959.000000, 2.583303
960.000000, 2.572728
961.000000, 2.582429
962.000000, 2.613531
963.000000, 2.662899
964.000000, 2.723122
965.000000, 2.797318
966.000000, 2.875940
967.000000, 2.949525
968.000000, 3.020675
969.000000, 3.085005
970.000000, 3.133123
971.000000, 3.170006
972.000000, 3.190852
973.000000, 3.195635
974.000000, 3.187316
975.000000, 3.167846
976.000000, 3.141181
977.000000, 3.110160
978.000000, 3.077044
979.000000, 3.049017
980.000000, 3.028074
981.000000, 3.015680
982.000000, 3.015504
983.000000, 3.027232
984.000000, 3.053524
985.000000, 3.092228
986.000000, 3.138244
987.000000, 3.194917
988.000000, 3.257806
989.000000, 3.319846
990.000000, 3.384923
991.000000, 3.446035
992.000000, 3.494989
993.000000, 3.537933
994.000000, 3.569191
995.000000, 3.587421
996.000000, 3.594109
997.000000, 3.588680
998.000000, 3.573619
999.000000, 3.550171
1000.000000, 3.519869
1001.000000, 3.487269
1002.000000, 3.453570
1003.000000, 3.419522
1004.000000, 3.390279
1005.000000, 3.367602
1006.000000, 3.350243
1007.000000, 3.339750
1008.000000, 3.336644
1009.000000, 3.339822
1010.000000, 3.348300
1011.000000, 3.360214
1012.000000, 3.374299
1013.000000, 3.387742
1014.000000, 3.398850
1015.000000, 3.406589
1016.000000, 3.407338
1017.000000, 3.402235
1018.000000, 3.389066
1019.000000, 3.367323
1020.000000, 3.338801
1021.000000, 3.303326
1022.000000, 3.259406
1023.000000, 3.214240
1024.000000, 3.168478
1025.000000, 3.121472
1026.000000, 3.077394
1027.000000, 3.038562
1028.000000, 3.005221
1029.000000, 2.979847
1030.000000, 2.965401
1031.000000, 2.959967
1032.000000, 2.965183
1033.000000, 2.978737
1034.000000, 3.003195
1035.000000, 3.036180
1036.000000, 3.072507
1037.000000, 3.114508
1038.000000, 3.159820
1039.000000, 3.203154
1040.000000, 3.247702
1041.000000, 3.289023
1042.000000, 3.323918
1043.000000, 3.352879
1044.000000, 3.375365
1045.000000, 3.390149
1046.000000, 3.397528
1047.000000, 3.397870
1048.000000, 3.391414
1049.000000, 3.380767
1050.000000, 3.327663
1051.000000, 3.288622
1052.000000, 3.307875
1053.000000, 3.209170
1054.000000, 3.241999
1055.000000, 3.201656
1056.000000, 3.186941
1057.000000, 3.207065
1058.000000, 3.170786
1059.000000, 3.183247
1060.000000, 3.192972
1061.000000, 3.226801
1062.000000, 3.215138
1063.000000, 3.222671
1064.000000, 3.264869
1065.000000, 3.229075
1066.000000, 3.232081
1067.000000, 3.290514
1068.000000, 3.273050
1069.000000, 3.269165
1070.000000, 3.302568
1071.000000, 3.288807
1072.000000, 3.294539
1073.000000, 3.256553
1074.000000, 3.209411
1075.000000, 3.241462
1076.000000, 3.209695
1077.000000, 3.214169
1078.000000, 3.186737
1079.000000, 3.155382
1080.000000, 3.148211
1081.000000, 3.119268
1082.000000, 3.114922
1083.000000, 3.089033
1084.000000, 3.102584
1085.000000, 3.113264
1086.000000, 3.130268
1087.000000, 3.119999
1088.000000, 3.129571
1089.000000, 3.139948
1090.000000, 3.154732
1091.000000, 3.185041
1092.000000, 3.218283
1093.000000, 3.223098
1094.000000, 3.231996
1095.000000, 3.270470
1096.000000, 3.290632
1097.000000, 3.295287
1098.000000, 3.278400
1099.000000, 3.299345
1100.000000, 3.291404
1101.000000, 3.303965
1102.000000, 3.283957
1103.000000, 3.282856
1104.000000, 3.261839
1105.000000, 3.272405
1106.000000, 3.247355
1107.000000, 3.215033
1108.000000, 3.189371
1109.000000, 3.175833
1110.000000, 3.165358
1111.000000, 3.159476
1112.000000, 3.167277
1113.000000, 3.173287
1114.000000, 3.175919
1115.000000, 3.156924
1116.000000, 3.127818
1117.000000, 3.154074
1118.000000, 3.170816
1119.000000, 3.202366
1120.000000, 3.198346
1121.000000, 3.228397
1122.000000, 3.217895
1123.000000, 3.267429
1124.000000, 3.261931
1125.000000, 3.284123
1126.000000, 3.307217
1127.000000, 3.299439
1128.000000, 3.300168
1129.000000, 3.341197
1130.000000, 3.335289
1131.000000, 3.358378
1132.000000, 3.368306
1133.000000, 3.354402
1134.000000, 3.379869
1135.000000, 3.356895
1136.000000, 3.375460
1137.000000, 3.363647
1138.000000, 3.377251
1139.000000, 3.386687
1140.000000, 3.366041
1141.000000, 3.380815
1142.000000, 3.377937
1143.000000, 3.370425
1144.000000, 3.383317
1145.000000, 3.382424
1146.000000, 3.377588
1147.000000, 3.355279
1148.000000, 3.392702
1149.000000, 3.396494
