# Wavelength  (nm), Reflectance (%)
250.000000, 25.646150
251.000000, 25.341940
252.000000, 25.155870
253.000000, 24.988410
254.000000, 24.675880
255.000000, 24.473870
256.000000, 24.207680
257.000000, 23.793650
258.000000, 23.659210
259.000000, 23.363490
260.000000, 23.017170
261.000000, 22.419290
262.000000, 22.797030
263.000000, 22.392370
264.000000, 21.828940
265.000000, 21.606540
266.000000, 21.186380
267.000000, 20.993800
268.000000, 20.925190
269.000000, 20.653690
270.000000, 20.173660
271.000000, 19.832510
272.000000, 19.647210
273.000000, 18.870990
274.000000, 19.112040
275.000000, 18.589160
276.000000, 18.081460
277.000000, 17.851110
278.000000, 17.157590
279.000000, 17.170890
280.000000, 16.516850
281.000000, 16.075490
282.000000, 15.991540
283.000000, 15.084900
284.000000, 14.960780
285.000000, 14.725780
286.000000, 13.435390
287.000000, 13.382330
288.000000, 13.907900
289.000000, 12.156930
290.000000, 12.192430
291.000000, 11.577460
292.000000, 11.015470
293.000000, 9.726730
294.000000, 10.104860
295.000000, 9.402530
296.000000, 8.278970
297.000000, 8.173740
298.000000, 8.011990
299.000000, 7.241410
300.000000, 6.066010
301.000000, 5.978660
302.000000, 4.856100
303.000000, 3.799660
304.000000, 3.837650
305.000000, 3.444750
306.000000, 2.463710
307.000000, 2.419620
308.000000, 1.751550
309.000000, 1.022650
310.000000, 0.787830
311.000000, 1.290890
312.000000, 0.909670
313.000000, 0.857630
314.000000, 2.065520
315.000000, 2.254340
316.000000, 3.012300
317.000000, 4.138900
318.000000, 5.777480
319.000000, 6.400690
320.000000, 8.059680
321.000000, 9.180820
322.000000, 10.308590
323.000000, 11.777680
324.000000, 13.267010
325.000000, 15.250690
326.000000, 17.142480
327.000000, 18.815220
328.000000, 20.918750
329.000000, 22.822530
330.000000, 25.049380
331.000000, 27.026610
332.000000, 28.999710
333.000000, 30.979190
334.000000, 32.773140
335.000000, 33.960570
336.000000, 34.171420
337.000000, 34.449020
338.000000, 33.366560
339.000000, 30.929870
340.000000, 27.711010
341.000000, 24.343270
342.000000, 20.927240
343.000000, 18.684340
344.000000, 17.298260
345.000000, 17.654920
346.000000, 19.290100
347.000000, 20.780750
348.000000, 22.071400
349.000000, 22.690380
350.000000, 23.392200
351.000000, 24.947770
352.000000, 28.130870
353.000000, 33.143570
354.000000, 39.132370
355.000000, 45.262560
356.000000, 50.202200
357.000000, 53.072630
