# Wavelength  (nm), Transmission (%)
250.000000, 1.500777
251.000000, 0.410321
252.000000, 1.141154
253.000000, 1.541380
254.000000, 0.216231
255.000000, 0.788587
256.000000, 1.032092
257.000000, 0.977659
258.000000, 0.595606
259.000000, 1.088963
260.000000, 1.315273
261.000000, 0.350949
262.000000, 0.259496
263.000000, 0.427274
264.000000, 0.860881
265.000000, 1.656422
266.000000, 1.459724
267.000000, 1.430972
268.000000, 0.762193
269.000000, 0.680919
270.000000, 0.638872
271.000000, 1.407655
272.000000, 0.635938
273.000000, 0.824001
274.000000, 0.575195
275.000000, 1.008596
276.000000, 2.523602
277.000000, 1.452662
278.000000, 2.735135
279.000000, 0.091475
280.000000, 1.016662
281.000000, 1.489719
282.000000, 1.962495
283.000000, 1.949815
284.000000, 0.967348
285.000000, 1.499903
286.000000, 1.250098
287.000000, 1.331517
288.000000, 1.033105
289.000000, 0.443310
290.000000, 1.408085
291.000000, 0.720257
292.000000, 1.589627
293.000000, 1.712953
294.000000, 1.389444
295.000000, 0.172009
296.000000, 1.823759
297.000000, 1.999919
298.000000, 0.236411
299.000000, 1.516718
300.000000, 0.851848
301.000000, 0.995335
302.000000, 1.668811
303.000000, 0.501588
304.000000, 0.904178
305.000000, 1.097400
306.000000, 0.995692
307.000000, 1.449772
308.000000, 1.770876
309.000000, 1.147437
310.000000, 2.534649
311.000000, 4.185475
312.000000, 5.810855
313.000000, 9.272996
314.000000, 14.487927
315.000000, 17.035855
316.000000, 20.923577
317.000000, 23.749926
318.000000, 25.452350
319.000000, 29.546927
320.000000, 29.955655
321.000000, 34.544494
322.000000, 36.244253
323.000000, 38.739120
324.000000, 39.520558
325.000000, 38.503148
326.000000, 36.877509
327.000000, 35.047625
328.000000, 31.287627
329.000000, 29.713333
330.000000, 26.990703
331.000000, 25.603937
332.000000, 25.363389
333.000000, 23.002165
334.000000, 21.480580
335.000000, 18.632354
336.000000, 15.892900
337.000000, 14.111022
338.000000, 11.634113
339.000000, 12.290905
340.000000, 10.499143
341.000000, 9.715063
342.000000, 9.098964
343.000000, 7.324846
