# Wavelength  (nm), Transmission (%)
250.000000, 3.110482
251.000000, 2.078027
252.000000, 1.173887
253.000000, 1.436006
254.000000, 1.319406
255.000000, 1.356069
256.000000, 0.555094
257.000000, 0.710164
258.000000, 1.336097
259.000000, 0.848958
260.000000, 0.578520
261.000000, 1.385982
262.000000, 1.234369
263.000000, 0.493726
264.000000, 0.741197
265.000000, 0.627139
266.000000, 1.689310
267.000000, 0.391016
268.000000, 0.769196
269.000000, 0.842177
270.000000, 0.656732
271.000000, 1.578857
272.000000, 0.486925
273.000000, 1.238291
274.000000, 0.601808
275.000000, 1.250786
276.000000, 1.404650
277.000000, 0.567871
278.000000, 1.472219
279.000000, 1.516164
280.000000, 0.854369
281.000000, 1.206425
282.000000, 1.234905
283.000000, 0.360393
284.000000, 0.860740
285.000000, 0.365076
286.000000, 0.772280
287.000000, 1.111768
288.000000, 1.604644
289.000000, 0.096061
290.000000, 0.342829
291.000000, 0.670735
292.000000, 1.601345
293.000000, 0.485247
294.000000, 0.673091
295.000000, 1.344174
296.000000, 0.368259
297.000000, 0.567130
298.000000, 0.355844
299.000000, 0.434178
300.000000, 1.379641
301.000000, 0.416564
302.000000, 0.896756
303.000000, 0.612145
304.000000, 1.422431
305.000000, 0.147646
306.000000, 0.346791
307.000000, 1.880714
308.000000, 1.599273
309.000000, 0.800418
310.000000, 2.020221
311.000000, 1.363564
312.000000, 1.363086
313.000000, 1.641399
314.000000, 1.218794
315.000000, 1.678012
316.000000, 1.218778
317.000000, 1.052381
318.000000, 0.869129
319.000000, 1.062771
320.000000, 0.495805
321.000000, 1.114265
322.000000, 1.146128
323.000000, 1.720974
324.000000, 0.416364
325.000000, 1.210892
326.000000, 0.178971
327.000000, 0.808838
328.000000, 0.587834
329.000000, 1.686720
330.000000, 0.515837
331.000000, 1.694399
332.000000, 0.970684
333.000000, 0.569159
334.000000, 0.508126
335.000000, 0.557871
336.000000, 0.689742
337.000000, 0.827841
338.000000, 1.333864
339.000000, 0.886145
340.000000, 1.000519
341.000000, 0.720598
342.000000, 1.241174
343.000000, 0.372531
344.000000, 1.224925
345.000000, 1.637131
346.000000, 2.397229
347.000000, 3.365700
348.000000, 4.540336
349.000000, 4.720629
350.000000, 5.167248
351.000000, 4.595480
352.000000, 4.824868
353.000000, 6.854491
354.000000, 8.243364
355.000000, 11.205950
356.000000, 13.674575
357.000000, 16.595925
358.000000, 18.677373
359.000000, 19.784314
360.000000, 20.958587
361.000000, 20.934877
362.000000, 21.871794
363.000000, 22.874402
364.000000, 24.158899
365.000000, 26.041404
366.000000, 27.295077
367.000000, 27.894125
368.000000, 28.314236
369.000000, 29.358232
370.000000, 30.725587
371.000000, 33.257723
