# Wavelength  (nm), Transmission (%)
200.000000, 0.000109
201.000000, 0.000116
202.000000, 0.000109
203.000000, 0.000104
204.000000, 0.000108
205.000000, 0.000120
206.000000, 0.000125
207.000000, 0.000125
208.000000, 0.000134
209.000000, 0.000130
210.000000, 0.000120
211.000000, 0.000122
212.000000, 0.000135
213.000000, 0.000142
214.000000, 0.000127
215.000000, 0.000123
216.000000, 0.000136
217.000000, 0.000130
218.000000, 0.000121
219.000000, 0.000120
220.000000, 0.000125
221.000000, 0.000131
222.000000, 0.000124
223.000000, 0.000127
224.000000, 0.000134
225.000000, 0.000124
226.000000, 0.000126
227.000000, 0.000124
228.000000, 0.000129
229.000000, 0.000130
230.000000, 0.000113
231.000000, 0.000115
232.000000, 0.000122
233.000000, 0.000121
234.000000, 0.000119
235.000000, 0.000121
236.000000, 0.000111
237.000000, 0.000107
238.000000, 0.000122
239.000000, 0.000119
240.000000, 0.000117
241.000000, 0.000123
242.000000, 0.000119
243.000000, 0.000126
244.000000, 0.000133
245.000000, 0.000133
246.000000, 0.000117
247.000000, 0.000111
248.000000, 0.000118
249.000000, 0.000111
250.000000, 0.000108
251.000000, 0.000120
252.000000, 0.000115
253.000000, 0.000105
254.000000, 0.000113
255.000000, 0.000119
256.000000, 0.000120
257.000000, 0.000124
258.000000, 0.000120
259.000000, 0.000106
260.000000, 0.000104
261.000000, 0.000109
262.000000, 0.000106
263.000000, 0.000106
264.000000, 0.000117
265.000000, 0.000114
266.000000, 0.000107
267.000000, 0.000110
268.000000, 0.000119
269.000000, 0.000124
270.000000, 0.000128
271.000000, 0.000123
272.000000, 0.000112
273.000000, 0.000115
274.000000, 0.000118
275.000000, 0.000108
276.000000, 0.000106
277.000000, 0.000107
278.000000, 0.000108
279.000000, 0.000119
280.000000, 0.000123
281.000000, 0.000116
282.000000, 0.000112
283.000000, 0.000112
284.000000, 0.000120
285.000000, 0.000121
286.000000, 0.000115
287.000000, 0.000132
288.000000, 0.000128
