# Wavelength  (nm), Transmission (%)
200.000000, 0.004805
201.000000, 0.004735
202.000000, 0.004632
203.000000, 0.004587
204.000000, 0.004481
205.000000, 0.004370
206.000000, 0.004256
207.000000, 0.004202
208.000000, 0.004092
209.000000, 0.004010
210.000000, 0.003932
211.000000, 0.003811
212.000000, 0.003751
213.000000, 0.003644
214.000000, 0.003583
215.000000, 0.003545
216.000000, 0.003554
217.000000, 0.003476
218.000000, 0.003447
219.000000, 0.003412
220.000000, 0.003393
221.000000, 0.003384
222.000000, 0.003362
223.000000, 0.003346
224.000000, 0.003343
225.000000, 0.003287
226.000000, 0.003328
227.000000, 0.003282
228.000000, 0.003238
229.000000, 0.003239
230.000000, 0.003230
231.000000, 0.003185
232.000000, 0.003150
233.000000, 0.003121
234.000000, 0.003113
235.000000, 0.003062
236.000000, 0.003042
237.000000, 0.003000
238.000000, 0.002993
239.000000, 0.002909
240.000000, 0.002870
241.000000, 0.002850
242.000000, 0.002872
243.000000, 0.002831
244.000000, 0.002766
245.000000, 0.002791
246.000000, 0.002762
247.000000, 0.002756
248.000000, 0.002728
249.000000, 0.002725
250.000000, 0.002726
251.000000, 0.002658
252.000000, 0.002684
253.000000, 0.002677
254.000000, 0.002652
255.000000, 0.002676
256.000000, 0.002661
257.000000, 0.002619
258.000000, 0.002622
259.000000, 0.002619
260.000000, 0.002575
261.000000, 0.002555
262.000000, 0.002547
263.000000, 0.002497
264.000000, 0.002526
265.000000, 0.002446
266.000000, 0.002427
267.000000, 0.002422
268.000000, 0.002408
269.000000, 0.002399
270.000000, 0.002365
271.000000, 0.002320
272.000000, 0.002299
273.000000, 0.002300
274.000000, 0.002236
275.000000, 0.002222
276.000000, 0.002190
277.000000, 0.002189
278.000000, 0.002138
279.000000, 0.002139
280.000000, 0.002122
281.000000, 0.002091
282.000000, 0.002046
283.000000, 0.002006
284.000000, 0.002010
285.000000, 0.001952
286.000000, 0.001902
287.000000, 0.001891
288.000000, 0.001827
289.000000, 0.001802
290.000000, 0.001737
291.000000, 0.001692
292.000000, 0.001648
293.000000, 0.001628
294.000000, 0.001592
295.000000, 0.001447
296.000000, 0.001446
297.000000, 0.001372
298.000000, 0.001314
299.000000, 0.001283
300.000000, 0.001176
301.000000, 0.001150
302.000000, 0.001061
303.000000, 0.001031
304.000000, 0.000990
305.000000, 0.000928
306.000000, 0.000872
307.000000, 0.000812
308.000000, 0.000772
309.000000, 0.000721
310.000000, 0.000659
311.000000, 0.000596
312.000000, 0.000529
313.000000, 0.000523
314.000000, 0.000505
315.000000, 0.000439
316.000000, 0.000409
317.000000, 0.000382
318.000000, 0.000355
319.000000, 0.000323
320.000000, 0.000305
321.000000, 0.000276
322.000000, 0.000250
323.000000, 0.000241
324.000000, 0.000249
325.000000, 0.000207
326.000000, 0.000191
327.000000, 0.000164
328.000000, 0.000179
329.000000, 0.000146
330.000000, 0.000147
331.000000, 0.000136
332.000000, 0.000132
333.000000, 0.000112
334.000000, 0.000109
335.000000, 0.000111
336.000000, 0.000091
337.000000, 0.000103
338.000000, 0.000084
339.000000, 0.000074
340.000000, 0.000086
341.000000, 0.000069
342.000000, 0.000093
343.000000, 0.000085
344.000000, 0.000078
345.000000, 0.000053
346.000000, 0.000068
347.000000, 0.000033
348.000000, 0.000090
349.000000, -0.000076
350.000000, 0.000085
351.000000, 0.000085
352.000000, 0.000086
353.000000, 0.000069
354.000000, 0.000082
355.000000, 0.000061
356.000000, 0.000085
357.000000, 0.000068
358.000000, 0.000066
359.000000, 0.000072
360.000000, 0.000049
361.000000, 0.000063
362.000000, 0.000079
363.000000, 0.000060
364.000000, 0.000077
365.000000, 0.000073
366.000000, 0.000077
367.000000, 0.000062
368.000000, 0.000068
369.000000, 0.000067
370.000000, 0.000067
371.000000, 0.000063
372.000000, 0.000056
373.000000, 0.000068
374.000000, 0.000064
375.000000, 0.000076
376.000000, 0.000066
377.000000, 0.000056
378.000000, 0.000062
379.000000, 0.000067
380.000000, 0.000068
381.000000, 0.000066
382.000000, 0.000066
383.000000, 0.000056
384.000000, 0.000071
385.000000, 0.000067
386.000000, 0.000068
387.000000, 0.000061
388.000000, 0.000067
389.000000, 0.000056
390.000000, 0.000067
391.000000, 0.000062
392.000000, 0.000068
393.000000, 0.000067
394.000000, 0.000056
395.000000, 0.000060
396.000000, 0.000066
397.000000, 0.000070
398.000000, 0.000065
399.000000, 0.000056
400.000000, 0.000065
401.000000, 0.000073
402.000000, 0.000062
403.000000, 0.000065
404.000000, 0.000068
405.000000, 0.000057
406.000000, 0.000062
407.000000, 0.000060
408.000000, 0.000060
409.000000, 0.000055
410.000000, 0.000061
411.000000, 0.000062
412.000000, 0.000058
413.000000, 0.000059
414.000000, 0.000064
415.000000, 0.000061
416.000000, 0.000066
417.000000, 0.000061
418.000000, 0.000062
419.000000, 0.000066
420.000000, 0.000056
421.000000, 0.000068
422.000000, 0.000061
423.000000, 0.000059
424.000000, 0.000045
425.000000, 0.000061
426.000000, 0.000066
427.000000, 0.000050
428.000000, 0.000060
429.000000, 0.000054
430.000000, 0.000063
431.000000, 0.000045
432.000000, 0.000055
433.000000, 0.000064
434.000000, 0.000055
435.000000, 0.000048
436.000000, 0.000051
437.000000, 0.000051
438.000000, 0.000048
439.000000, 0.000052
440.000000, 0.000048
