# Wavelength  (nm), Transmission (%)
200.000000, 0.000445
201.000000, 0.000440
202.000000, 0.000324
203.000000, 0.000241
204.000000, 0.000340
205.000000, 0.000282
206.000000, 0.000071
207.000000, 0.000377
208.000000, 0.000352
209.000000, 0.000187
210.000000, 0.000434
211.000000, 0.000265
212.000000, 0.000319
213.000000, 0.000001
214.000000, 0.000042
215.000000, 0.000117
216.000000, 0.000294
217.000000, 0.000137
218.000000, 0.000187
219.000000, 0.000302
220.000000, 0.000240
221.000000, 0.000302
222.000000, 0.000457
223.000000, 0.000404
224.000000, 0.000350
225.000000, 0.000199
226.000000, 0.000281
227.000000, 0.000455
228.000000, 0.000463
229.000000, 0.000357
230.000000, 0.000337
231.000000, 0.000381
232.000000, 0.000317
233.000000, 0.000389
234.000000, 0.000479
235.000000, 0.000349
236.000000, 0.000353
237.000000, 0.000467
238.000000, 0.000406
239.000000, 0.000406
240.000000, 0.000487
241.000000, 0.000439
242.000000, 0.000353
243.000000, 0.000418
244.000000, 0.000500
245.000000, 0.000516
246.000000, 0.000528
247.000000, 0.000426
248.000000, 0.000370
249.000000, 0.000353
250.000000, 0.000337
251.000000, 0.000426
252.000000, 0.000462
253.000000, 0.000312
254.000000, 0.000308
255.000000, 0.000365
256.000000, 0.000353
257.000000, 0.000385
258.000000, 0.000409
259.000000, 0.000369
260.000000, 0.000381
261.000000, 0.000429
262.000000, 0.000360
263.000000, 0.000457
264.000000, 0.000526
265.000000, 0.000389
266.000000, 0.000373
267.000000, 0.000284
268.000000, 0.000377
269.000000, 0.000490
270.000000, 0.000550
271.000000, 0.000405
272.000000, 0.000425
273.000000, 0.000385
274.000000, 0.000401
275.000000, 0.000465
276.000000, 0.000518
277.000000, 0.000296
278.000000, 0.000397
279.000000, 0.000312
280.000000, 0.000493
281.000000, 0.000425
282.000000, 0.000513
283.000000, 0.000243
284.000000, 0.000360
285.000000, 0.000380
286.000000, 0.000344
287.000000, 0.000263
288.000000, 0.000444
289.000000, 0.000203
290.000000, 0.000324
291.000000, 0.000432
292.000000, 0.000319
293.000000, 0.000275
294.000000, 0.000444
295.000000, 0.000255
296.000000, 0.000267
297.000000, 0.000351
298.000000, 0.000279
299.000000, 0.000203
300.000000, 0.000379
301.000000, 0.000235
302.000000, 0.000211
303.000000, 0.000315
304.000000, 0.000311
305.000000, 0.000199
306.000000, 0.000379
307.000000, 0.000251
308.000000, 0.000147
309.000000, 0.000279
310.000000, 0.000215
311.000000, 0.000211
312.000000, 0.000263
313.000000, 0.000318
314.000000, 0.000207
315.000000, 0.000195
316.000000, 0.000115
317.000000, 0.000147
318.000000, 0.000191
319.000000, 0.000231
320.000000, 0.000163
321.000000, 0.000292
322.000000, 0.000175
323.000000, 0.000142
324.000000, 0.000239
325.000000, 0.000195
326.000000, 0.000231
327.000000, 0.000219
328.000000, 0.000324
329.000000, 0.000223
330.000000, 0.000307
331.000000, 0.000175
332.000000, 0.000251
333.000000, 0.000203
334.000000, 0.000327
335.000000, 0.000251
336.000000, 0.000383
337.000000, 0.000351
338.000000, 0.000175
339.000000, 0.000407
340.000000, 0.000355
341.000000, 0.000295
342.000000, 0.000387
343.000000, 0.000339
344.000000, 0.000243
345.000000, 0.000431
346.000000, 0.000407
347.000000, 0.000303
348.000000, 0.000387
349.000000, 0.000323
350.000000, 0.000291
351.000000, 0.000426
352.000000, 0.000482
353.000000, 0.000283
354.000000, 0.000414
355.000000, 0.000386
356.000000, 0.000255
357.000000, 0.000410
358.000000, 0.000362
359.000000, 0.000326
360.000000, 0.000454
361.000000, 0.000438
362.000000, 0.000274
363.000000, 0.000441
364.000000, 0.000417
365.000000, 0.000370
366.000000, 0.000473
367.000000, 0.000334
368.000000, 0.000274
