# Wavelength  (nm), Transmission (%)
200.000000, 0.007005
201.000000, 0.006884
202.000000, 0.006649
203.000000, 0.006526
204.000000, 0.006292
205.000000, 0.006130
206.000000, 0.005995
207.000000, 0.005781
208.000000, 0.005666
209.000000, 0.005427
210.000000, 0.005318
211.000000, 0.005198
212.000000, 0.005006
213.000000, 0.004907
214.000000, 0.004798
215.000000, 0.004721
216.000000, 0.004627
217.000000, 0.004525
218.000000, 0.004471
219.000000, 0.004415
220.000000, 0.004395
221.000000, 0.004380
222.000000, 0.004335
223.000000, 0.004354
224.000000, 0.004346
225.000000, 0.004319
226.000000, 0.004354
227.000000, 0.004338
228.000000, 0.004321
229.000000, 0.004316
230.000000, 0.004335
231.000000, 0.004278
232.000000, 0.004296
233.000000, 0.004304
234.000000, 0.004242
235.000000, 0.004226
236.000000, 0.004181
237.000000, 0.004163
238.000000, 0.004141
239.000000, 0.004106
240.000000, 0.004065
241.000000, 0.004064
242.000000, 0.003982
243.000000, 0.004012
244.000000, 0.003939
245.000000, 0.003977
246.000000, 0.003992
247.000000, 0.003924
248.000000, 0.003875
249.000000, 0.003857
250.000000, 0.003873
251.000000, 0.003841
252.000000, 0.003785
253.000000, 0.003778
254.000000, 0.003784
255.000000, 0.003745
256.000000, 0.003742
257.000000, 0.003684
258.000000, 0.003703
259.000000, 0.003659
260.000000, 0.003627
261.000000, 0.003597
262.000000, 0.003542
263.000000, 0.003499
264.000000, 0.003488
265.000000, 0.003447
266.000000, 0.003446
267.000000, 0.003380
268.000000, 0.003348
269.000000, 0.003328
270.000000, 0.003341
271.000000, 0.003254
272.000000, 0.003212
273.000000, 0.003205
274.000000, 0.003175
275.000000, 0.003147
276.000000, 0.003124
277.000000, 0.003044
278.000000, 0.003066
279.000000, 0.003026
280.000000, 0.002967
281.000000, 0.002930
282.000000, 0.002914
283.000000, 0.002855
284.000000, 0.002801
285.000000, 0.002758
286.000000, 0.002733
287.000000, 0.002633
288.000000, 0.002604
289.000000, 0.002539
290.000000, 0.002453
291.000000, 0.002390
292.000000, 0.002302
293.000000, 0.002221
294.000000, 0.002164
295.000000, 0.002022
296.000000, 0.001953
297.000000, 0.001853
298.000000, 0.001738
299.000000, 0.001700
300.000000, 0.001572
301.000000, 0.001491
302.000000, 0.001398
303.000000, 0.001309
304.000000, 0.001270
305.000000, 0.001181
306.000000, 0.001088
307.000000, 0.001008
308.000000, 0.000918
309.000000, 0.000858
310.000000, 0.000812
311.000000, 0.000743
312.000000, 0.000681
313.000000, 0.000629
314.000000, 0.000561
315.000000, 0.000535
316.000000, 0.000453
317.000000, 0.000457
318.000000, 0.000417
319.000000, 0.000355
320.000000, 0.000355
321.000000, 0.000322
322.000000, 0.000303
323.000000, 0.000260
324.000000, 0.000243
325.000000, 0.000269
326.000000, 0.000207
327.000000, 0.000222
328.000000, 0.000195
329.000000, 0.000199
330.000000, 0.000161
331.000000, 0.000180
332.000000, 0.000152
333.000000, 0.000161
334.000000, 0.000137
335.000000, 0.000132
336.000000, 0.000141
337.000000, 0.000131
338.000000, 0.000132
339.000000, 0.000138
340.000000, 0.000113
341.000000, 0.000115
342.000000, 0.000116
343.000000, 0.000120
344.000000, 0.000141
345.000000, 0.000116
346.000000, 0.000142
347.000000, 0.000108
348.000000, 0.000166
349.000000, 0.000053
350.000000, 0.000271
351.000000, 0.000382
352.000000, 0.000566
353.000000, 0.000887
354.000000, 0.001477
355.000000, 0.002372
356.000000, 0.003942
357.000000, 0.006388
358.000000, 0.010339
359.000000, 0.016732
360.000000, 0.026843
361.000000, 0.042346
362.000000, 0.065182
363.000000, 0.099386
