# Wavelength  (nm), Transmission (%)
200.000000, 0.008730
205.000000, 0.004330
210.000000, 0.003320
215.000000, 0.001980
220.000000, 0.004820
225.000000, 0.000545
230.000000, 0.003040
235.000000, 0.000327
240.000000, 0.000877
245.000000, 0.004730
250.000000, 0.002420
255.000000, 0.001650
260.000000, 0.000219
265.000000, 0.007020
270.000000, 0.002300
275.000000, 0.003180
280.000000, 0.003510
285.000000, 0.006240
290.000000, 0.001530
295.000000, 0.002510
300.000000, 0.002730
305.000000, 0.006640
310.000000, 0.002720
315.000000, 0.021450
320.000000, 0.422060
325.000000, 2.772840
330.000000, 8.737600
335.000000, 17.415210
340.000000, 27.066390
345.000000, 35.695390
350.000000, 43.008590
355.000000, 48.741270
360.000000, 53.305490
365.000000, 56.879210
370.000000, 59.937620
375.000000, 62.559580
380.000000, 64.827430
385.000000, 66.818510
390.000000, 68.635380
395.000000, 70.354950
400.000000, 71.902440
405.000000, 73.315490
410.000000, 74.603010
415.000000, 75.857530
420.000000, 76.996760
425.000000, 78.043990
430.000000, 79.021290
435.000000, 79.977010
440.000000, 80.810260
445.000000, 81.608870
450.000000, 82.320900
455.000000, 83.049680
460.000000, 83.632000
465.000000, 84.234090
470.000000, 84.718610
475.000000, 85.237470
480.000000, 85.620960
485.000000, 85.950370
490.000000, 86.195010
495.000000, 86.423280
500.000000, 86.513960
505.000000, 86.517960
510.000000, 86.348840
515.000000, 86.079660
520.000000, 85.573960
525.000000, 84.809570
530.000000, 83.765100
535.000000, 82.489080
540.000000, 80.767140
545.000000, 78.704620
550.000000, 76.090620
555.000000, 73.179390
560.000000, 69.533440
565.000000, 65.687850
570.000000, 61.277490
575.000000, 56.547380
580.000000, 51.400570
585.000000, 46.192030
590.000000, 40.812630
595.000000, 35.515550
600.000000, 30.289840
605.000000, 25.476990
610.000000, 20.953020
615.000000, 16.942120
620.000000, 13.355250
625.000000, 10.364900
630.000000, 7.824630
635.000000, 5.805950
640.000000, 4.176110
645.000000, 2.964620
650.000000, 2.035340
655.000000, 1.375030
660.000000, 0.895140
665.000000, 0.577830
670.000000, 0.359820
675.000000, 0.220610
680.000000, 0.125650
685.000000, 0.075370
690.000000, 0.042160
695.000000, 0.021490
700.000000, 0.008730
705.000000, 0.005550
710.000000, 0.002260
715.000000, 0.000103
720.000000, 0.004720
725.000000, 0.000205
730.000000, 0.000512
735.000000, 0.002560
740.000000, 0.006040
745.000000, 0.002040
750.000000, 0.002450
755.000000, 0.002860
760.000000, 0.006230
765.000000, 0.001430
770.000000, 0.001730
775.000000, 0.004990
780.000000, 0.004880
785.000000, 0.001420
790.000000, 0.001930
795.000000, 0.001220
800.000000, 0.006800
805.000000, 0.004060
810.000000, 0.005480
815.000000, 0.000812
820.000000, 0.000813
825.000000, 0.000102
830.000000, 0.005710
835.000000, 0.005220
840.000000, 0.003490
845.000000, 0.004640
850.000000, 0.009400
855.000000, 0.001250
860.000000, 0.039490
865.000000, 0.041450
870.000000, 0.044350
875.000000, 0.056190
880.000000, 0.076350
885.000000, 0.082270
890.000000, 0.061450
895.000000, 0.042850
900.000000, 0.037120
905.000000, 0.070080
910.000000, 0.093900
915.000000, 0.115010
920.000000, 0.094020
925.000000, 0.055230
930.000000, 0.037650
935.000000, 0.051580
940.000000, 0.045550
945.000000, 0.074470
950.000000, 0.063230
955.000000, 0.063740
960.000000, 0.050030
965.000000, 0.036600
970.000000, 0.032460
975.000000, 0.017060
980.000000, 0.029220
985.000000, 0.043880
990.000000, 0.014040
995.000000, 0.002390
1000.000000, 0.010190
1005.000000, 0.047400
1010.000000, 0.058940
1015.000000, 0.032850
1020.000000, 0.005720
1025.000000, 0.014450
1030.000000, 0.035860
1035.000000, 0.028690
