# Wavelength  (nm), Transmission (%)
200.000000, 0.002450
205.000000, 0.000473
210.000000, -0.001230
215.000000, -0.000095
220.000000, 0.000000
225.000000, 0.000096
230.000000, -0.001930
235.000000, -0.003020
240.000000, 0.000000
245.000000, -0.000300
250.000000, -0.001410
255.000000, -0.001110
260.000000, 0.001930
265.000000, 0.018070
270.000000, 0.116480
275.000000, 0.442250
280.000000, 1.231830
285.000000, 2.862930
290.000000, 5.839840
295.000000, 10.650460
300.000000, 17.477910
305.000000, 26.053900
310.000000, 35.646270
315.000000, 45.571730
320.000000, 54.899790
325.000000, 62.892340
330.000000, 69.359490
335.000000, 74.313190
340.000000, 77.873230
345.000000, 80.509760
350.000000, 82.843250
355.000000, 84.920700
360.000000, 86.254990
365.000000, 87.046730
370.000000, 87.505250
375.000000, 87.774380
380.000000, 87.797720
385.000000, 87.541380
390.000000, 86.955080
395.000000, 86.148140
400.000000, 85.367100
405.000000, 84.828330
410.000000, 84.435120
415.000000, 84.030580
420.000000, 83.626990
425.000000, 83.537930
430.000000, 83.823440
435.000000, 84.217210
440.000000, 84.543280
445.000000, 84.757680
450.000000, 84.767040
455.000000, 84.550960
460.000000, 84.409980
465.000000, 84.618390
470.000000, 84.982460
475.000000, 85.272210
480.000000, 85.469620
485.000000, 85.584450
490.000000, 85.794300
495.000000, 85.878340
500.000000, 85.793270
505.000000, 85.742290
510.000000, 85.546160
515.000000, 85.252700
520.000000, 84.985820
525.000000, 84.798990
530.000000, 84.717490
535.000000, 84.766560
540.000000, 85.009200
545.000000, 85.427910
550.000000, 85.788710
555.000000, 85.939610
560.000000, 85.893980
565.000000, 85.743970
570.000000, 85.504020
575.000000, 85.219120
580.000000, 84.842360
585.000000, 84.361620
590.000000, 83.762960
595.000000, 83.062180
600.000000, 82.309660
605.000000, 81.427880
610.000000, 80.422040
615.000000, 79.355940
620.000000, 78.171160
625.000000, 76.907350
630.000000, 75.568270
635.000000, 74.107430
640.000000, 72.562700
645.000000, 70.985650
650.000000, 69.345130
655.000000, 67.655810
660.000000, 65.913510
665.000000, 64.158620
670.000000, 62.352510
675.000000, 60.432810
680.000000, 58.413050
