# Wavelength  (nm), Transmission (%)
200.000000, 0.000846
205.000000, 0.000567
210.000000, -0.001230
215.000000, -0.000285
220.000000, -0.001240
225.000000, -0.001150
230.000000, -0.000482
235.000000, -0.000585
240.000000, 0.016000
245.000000, 0.309680
250.000000, 2.032740
255.000000, 6.929120
260.000000, 15.294120
265.000000, 25.711190
270.000000, 37.122280
275.000000, 48.467200
280.000000, 57.803280
285.000000, 65.215930
290.000000, 70.996770
295.000000, 74.929710
300.000000, 77.504120
305.000000, 79.261890
310.000000, 80.462050
315.000000, 81.197240
320.000000, 81.553980
325.000000, 81.898680
330.000000, 81.936760
335.000000, 81.621080
340.000000, 80.921960
345.000000, 79.830960
350.000000, 78.257410
355.000000, 75.851970
360.000000, 72.024910
365.000000, 65.958430
370.000000, 56.632830
375.000000, 43.161040
380.000000, 26.636220
385.000000, 11.688260
390.000000, 3.097870
395.000000, 0.387470
400.000000, 0.016430
405.000000, -0.003330
410.000000, -0.002180
415.000000, -0.001660
420.000000, -0.001770
425.000000, -0.001660
430.000000, -0.002800
435.000000, -0.003220
440.000000, -0.003320
445.000000, -0.001350
450.000000, -0.000415
455.000000, -0.002180
460.000000, -0.002800
465.000000, -0.001450
470.000000, -0.001760
475.000000, -0.001140
480.000000, -0.000725
485.000000, -0.002380
490.000000, -0.002490
495.000000, -0.001140
500.000000, -0.001350
505.000000, -0.002280
510.000000, -0.002590
515.000000, -0.001250
520.000000, -0.002180
525.000000, -0.003840
530.000000, -0.003840
535.000000, -0.002180
540.000000, -0.001870
545.000000, -0.001660
550.000000, -0.002180
555.000000, -0.000519
560.000000, 0.000312
565.000000, -0.000831
570.000000, -0.001870
575.000000, -0.003010
580.000000, -0.002810
585.000000, -0.001970
590.000000, -0.001970
595.000000, -0.002600
600.000000, -0.003120
605.000000, -0.002390
610.000000, -0.002910
615.000000, -0.003640
620.000000, -0.003010
625.000000, -0.002600
630.000000, -0.000727
635.000000, -0.000312
640.000000, -0.003320
645.000000, -0.003220
650.000000, -0.002280
655.000000, -0.002390
660.000000, -0.003630
665.000000, 0.005700
670.000000, 0.044140
675.000000, 0.194320
680.000000, 0.610600
685.000000, 1.501240
690.000000, 2.982410
695.000000, 4.797130
700.000000, 6.475720
705.000000, 7.932850
710.000000, 9.098800
715.000000, 9.535300
720.000000, 9.063420
725.000000, 7.960340
730.000000, 6.598330
735.000000, 5.245000
740.000000, 4.041880
745.000000, 3.046140
750.000000, 2.258960
755.000000, 1.650250
760.000000, 1.191470
765.000000, 0.852800
770.000000, 0.608470
775.000000, 0.432000
780.000000, 0.309720
785.000000, 0.224860
790.000000, 0.163290
795.000000, 0.117860
800.000000, 0.087210
805.000000, 0.066040
810.000000, 0.052130
815.000000, 0.041930
820.000000, 0.031840
825.000000, 0.025450
830.000000, 0.021720
835.000000, 0.017880
840.000000, 0.015250
845.000000, 0.015600
850.000000, 0.011710
855.000000, 0.011680
860.000000, -0.003670
865.000000, -0.015960
870.000000, -0.000105
875.000000, -0.001990
880.000000, -0.001680
885.000000, 0.010510
890.000000, 0.028270
895.000000, 0.036780
900.000000, 0.006620
905.000000, -0.029870
910.000000, -0.048320
915.000000, -0.020000
920.000000, 0.018950
925.000000, 0.032420
930.000000, 0.026630
935.000000, -0.005790
940.000000, -0.012010
945.000000, 0.021380
950.000000, 0.038870
955.000000, 0.039410
960.000000, 0.040140
965.000000, 0.037930
970.000000, 0.043310
975.000000, 0.041830
980.000000, 0.016440
985.000000, 0.027910
990.000000, 0.081300
995.000000, 0.112880
1000.000000, 0.130990
1005.000000, 0.151420
1010.000000, 0.166990
1015.000000, 0.154680
1020.000000, 0.150350
1025.000000, 0.205160
1030.000000, 0.282740
1035.000000, 0.298840
1040.000000, 0.273520
1045.000000, 0.292080
1050.000000, 0.367880
1055.000000, 0.397520
1060.000000, 0.395920
1065.000000, 0.443380
1070.000000, 0.482480
1075.000000, 0.490220
1080.000000, 0.468650
1085.000000, 0.460290
1090.000000, 0.499300
1095.000000, 0.523970
1100.000000, 0.517790
1105.000000, 0.500640
1110.000000, 0.452530
1115.000000, 0.410050
1120.000000, 0.427540
1125.000000, 0.411500
1130.000000, 0.353070
1135.000000, 0.361170
1140.000000, 0.355860
1145.000000, 0.282490
1150.000000, 0.242670
1155.000000, 0.242010
1160.000000, 0.232670
1165.000000, 0.212010
1170.000000, 0.190480
1175.000000, 0.160030
1180.000000, 0.139260
1185.000000, 0.141400
1190.000000, 0.106210
1195.000000, 0.073890
1200.000000, 0.053830
1205.000000, 0.043770
1210.000000, 0.017550
1215.000000, 0.048470
1220.000000, 0.069580
1225.000000, 0.064210
1230.000000, 0.083890
1235.000000, 0.040500
1240.000000, 0.004760
1245.000000, 0.016600
1250.000000, 0.042810
1255.000000, 0.011940
1260.000000, 0.008870
1265.000000, 0.010350
1270.000000, 0.003280
1275.000000, -0.007610
1280.000000, 0.001590
1285.000000, 0.003490
1290.000000, 0.000529
1295.000000, -0.014380
1300.000000, 0.011940
1305.000000, 0.026510
1310.000000, 0.022710
1315.000000, 0.024090
1320.000000, 0.026960
1325.000000, -0.028770
1330.000000, -0.056000
1335.000000, -0.026980
1340.000000, 0.014060
1345.000000, 0.029130
1350.000000, 0.022350
1355.000000, 0.027750
1360.000000, -0.004440
1365.000000, -0.001480
1370.000000, 0.002430
1375.000000, 0.002110
1380.000000, 0.002330
1385.000000, -0.003600
1390.000000, -0.024740
1395.000000, -0.031950
1400.000000, 0.017760
1405.000000, 0.048530
1410.000000, 0.028960
1415.000000, -0.024320
1420.000000, -0.053840
1425.000000, -0.040620
1430.000000, 0.007620
1435.000000, 0.008880
1440.000000, 0.014910
1445.000000, 0.026340
1450.000000, 0.014810
1455.000000, -0.027070
1460.000000, -0.032450
1465.000000, 0.014690
1470.000000, 0.028220
1475.000000, 0.036680
1480.000000, 0.042290
1485.000000, -0.012370
1490.000000, -0.011950
1495.000000, 0.027900
1500.000000, -0.004120
1505.000000, 0.000000
1510.000000, 0.004020
1515.000000, 0.011420
1520.000000, 0.003700
1525.000000, 0.010990
1530.000000, 0.012900
1535.000000, -0.002750
1540.000000, -0.036610
1545.000000, 0.013330
1550.000000, -0.004870
1555.000000, -0.035330
1560.000000, 0.004650
1565.000000, 0.028540
1570.000000, 0.013000
1575.000000, -0.045690
1580.000000, -0.048220
1585.000000, 0.025050
1590.000000, 0.032040
1595.000000, 0.032990
