# Wavelength  (nm), Transmission (%)
200.000000, 0.000261
201.000000, 0.000311
202.000000, 0.000008
203.000000, 0.000013
204.000000, 0.000104
205.000000, 0.000190
206.000000, 0.000195
207.000000, 0.000101
208.000000, 0.000033
209.000000, 0.000365
210.000000, 0.000283
211.000000, 0.000319
212.000000, 0.000198
213.000000, 0.000428
214.000000, 0.000078
215.000000, 0.000273
216.000000, 0.000136
217.000000, 0.000335
218.000000, 0.000346
219.000000, 0.000269
220.000000, 0.000362
221.000000, 0.000122
222.000000, 0.000364
223.000000, 0.000193
224.000000, 0.000212
225.000000, 0.000351
226.000000, 0.000192
227.000000, 0.000235
228.000000, 0.000320
229.000000, 0.000126
230.000000, 0.000280
231.000000, 0.000186
232.000000, 0.000245
233.000000, 0.000226
234.000000, 0.000294
235.000000, 0.000096
236.000000, 0.000031
237.000000, 0.000204
238.000000, 0.000074
239.000000, 0.000219
240.000000, 0.000122
241.000000, 0.000091
242.000000, 0.000381
243.000000, 0.000230
244.000000, 0.000065
245.000000, 0.000134
246.000000, 0.000049
247.000000, 0.000008
248.000000, 0.000240
249.000000, 0.000054
250.000000, 0.000175
251.000000, 0.000083
252.000000, 0.000183
253.000000, 0.000035
254.000000, 0.000051
255.000000, 0.000047
256.000000, 0.000108
257.000000, 0.000076
258.000000, 0.000051
259.000000, 0.000016
260.000000, 0.000361
261.000000, 0.000031
262.000000, 0.000115
263.000000, 0.000229
264.000000, 0.000088
265.000000, 0.000246
266.000000, 0.000021
267.000000, 0.000021
268.000000, 0.000043
269.000000, 0.000112
270.000000, 0.000302
271.000000, 0.000052
272.000000, 0.000102
273.000000, 0.000023
274.000000, 0.000123
275.000000, 0.000071
276.000000, 0.000020
277.000000, 0.000116
278.000000, 0.000119
279.000000, 0.000100
280.000000, 0.000168
281.000000, 0.000098
282.000000, 0.000059
283.000000, 0.000199
284.000000, 0.000114
285.000000, 0.000004
286.000000, 0.000150
287.000000, 0.000051
288.000000, 0.000049
289.000000, 0.000349
290.000000, 0.000112
291.000000, 0.000215
292.000000, 0.000029
293.000000, 0.000042
294.000000, 0.000174
295.000000, 0.000120
296.000000, 0.000105
297.000000, 0.000060
298.000000, 0.000155
299.000000, 0.000371
300.000000, 0.000038
301.000000, 0.000256
302.000000, 0.000094
303.000000, 0.000040
304.000000, 0.000237
305.000000, 0.000027
306.000000, 0.000025
307.000000, 0.000084
308.000000, 0.000213
309.000000, 0.000066
310.000000, 0.000157
311.000000, 0.000051
312.000000, 0.000076
313.000000, 0.000004
314.000000, 0.000144
315.000000, 0.000066
316.000000, 0.000086
317.000000, 0.000087
318.000000, 0.000077
319.000000, 0.000240
320.000000, 0.000001
321.000000, 0.000008
322.000000, 0.000036
323.000000, 0.000020
324.000000, 0.000392
325.000000, 0.000019
326.000000, 0.000029
327.000000, 0.000028
328.000000, 0.000230
329.000000, 0.000073
330.000000, 0.000026
331.000000, 0.000137
332.000000, 0.000165
333.000000, 0.000136
334.000000, 0.000191
335.000000, 0.000073
336.000000, 0.000313
337.000000, 0.000186
338.000000, 0.000196
339.000000, 0.000075
340.000000, 0.000002
341.000000, 0.000000
342.000000, 0.000027
343.000000, 0.000193
344.000000, 0.000112
345.000000, 0.000021
346.000000, 0.000084
347.000000, 0.000028
348.000000, 0.000115
349.000000, 0.000912
350.000000, 0.000037
351.000000, 0.000023
352.000000, 0.000322
353.000000, 0.000121
354.000000, 0.000297
355.000000, 0.000023
356.000000, 0.000014
357.000000, 0.000311
358.000000, 0.000147
359.000000, 0.000321
360.000000, 0.000075
361.000000, 0.000042
362.000000, 0.000149
363.000000, 0.000042
364.000000, 0.000163
365.000000, 0.000138
366.000000, 0.000387
367.000000, 0.000578
368.000000, 0.000375
369.000000, 0.000784
370.000000, 0.001090
371.000000, 0.001120
372.000000, 0.000967
373.000000, 0.001370
374.000000, 0.001830
375.000000, 0.001850
376.000000, 0.002000
377.000000, 0.002030
378.000000, 0.002370
379.000000, 0.002430
380.000000, 0.002810
381.000000, 0.002710
382.000000, 0.002880
383.000000, 0.003410
384.000000, 0.003740
385.000000, 0.004260
386.000000, 0.004430
387.000000, 0.003950
388.000000, 0.003290
389.000000, 0.002400
390.000000, 0.001560
391.000000, 0.000953
392.000000, 0.000712
393.000000, 0.000667
394.000000, 0.000371
395.000000, 0.000491
396.000000, 0.000049
397.000000, 0.000282
398.000000, 0.000029
399.000000, 0.000159
400.000000, 0.000032
401.000000, 0.000012
402.000000, 0.000009
403.000000, 0.000223
404.000000, 0.000024
405.000000, 0.000034
406.000000, 0.000238
407.000000, 0.000143
408.000000, 0.000085
409.000000, 0.000038
410.000000, 0.000074
411.000000, 0.000151
412.000000, 0.000341
413.000000, 0.001000
414.000000, 0.002100
415.000000, 0.003100
416.000000, 0.002980
417.000000, 0.001370
418.000000, 0.000809
419.000000, 0.000500
420.000000, 0.000080
421.000000, 0.000216
422.000000, 0.000311
423.000000, 0.001040
424.000000, 0.001650
425.000000, 0.001580
426.000000, 0.000349
427.000000, 0.000005
428.000000, 0.000276
429.000000, 0.000011
430.000000, 0.000007
431.000000, 0.000293
432.000000, 0.000002
433.000000, 0.000356
434.000000, 0.000077
435.000000, 0.000062
436.000000, 0.000281
437.000000, 0.000013
438.000000, 0.000126
439.000000, 0.000225
440.000000, 0.000177
441.000000, 0.000241
442.000000, 0.000220
443.000000, 0.000050
444.000000, 0.000176
445.000000, 0.000023
446.000000, 0.000363
447.000000, 0.000170
448.000000, 0.000028
449.000000, 0.000221
450.000000, 0.000164
451.000000, 0.000027
452.000000, 0.000216
453.000000, 0.000021
454.000000, 0.000117
455.000000, 0.000061
456.000000, 0.000057
457.000000, 0.000096
458.000000, 0.000007
459.000000, 0.000264
460.000000, 0.000102
461.000000, 0.000029
462.000000, 0.000178
463.000000, 0.000022
464.000000, 0.000210
465.000000, 0.000014
466.000000, 0.000062
467.000000, 0.000100
468.000000, 0.000019
469.000000, 0.000012
470.000000, 0.000072
471.000000, 0.000207
472.000000, 0.000133
473.000000, 0.000033
474.000000, 0.000095
475.000000, 0.000242
476.000000, 0.000435
477.000000, 0.000278
478.000000, 0.000499
479.000000, 0.000605
480.000000, 0.000595
481.000000, 0.000950
482.000000, 0.000969
483.000000, 0.000964
484.000000, 0.001190
485.000000, 0.001450
486.000000, 0.001690
487.000000, 0.002060
488.000000, 0.002320
489.000000, 0.003010
490.000000, 0.003790
491.000000, 0.004420
492.000000, 0.005590
493.000000, 0.007120
494.000000, 0.009090
495.000000, 0.011990
496.000000, 0.015680
497.000000, 0.020990
498.000000, 0.028920
499.000000, 0.040780
500.000000, 0.058790
501.000000, 0.086580
502.000000, 0.131520
503.000000, 0.207390
504.000000, 0.340290
505.000000, 0.587450
506.000000, 1.065830
507.000000, 2.087040
508.000000, 4.375290
509.000000, 9.662630
510.000000, 20.844010
511.000000, 38.712400
512.000000, 57.823730
513.000000, 69.789900
514.000000, 73.599170
515.000000, 73.965790
516.000000, 73.753110
517.000000, 73.260380
518.000000, 72.432040
519.000000, 70.714420
520.000000, 65.302250
521.000000, 52.907600
522.000000, 35.351100
523.000000, 19.499610
524.000000, 9.624650
525.000000, 4.675580
526.000000, 2.378830
527.000000, 1.295280
528.000000, 0.745940
529.000000, 0.452450
530.000000, 0.286310
531.000000, 0.188270
532.000000, 0.129010
533.000000, 0.090110
534.000000, 0.064810
535.000000, 0.047550
536.000000, 0.035920
537.000000, 0.027440
538.000000, 0.021330
539.000000, 0.016910
540.000000, 0.013470
541.000000, 0.010800
542.000000, 0.008810
543.000000, 0.007330
544.000000, 0.006170
545.000000, 0.005150
546.000000, 0.004180
547.000000, 0.003720
548.000000, 0.003150
549.000000, 0.002750
550.000000, 0.002360
551.000000, 0.001770
552.000000, 0.001690
553.000000, 0.001580
554.000000, 0.001320
555.000000, 0.001310
556.000000, 0.001100
557.000000, 0.000946
558.000000, 0.000868
559.000000, 0.000754
560.000000, 0.000781
561.000000, 0.000608
562.000000, 0.000644
563.000000, 0.000555
564.000000, 0.000362
565.000000, 0.000333
566.000000, 0.000327
567.000000, 0.000258
568.000000, 0.000298
569.000000, 0.000139
570.000000, 0.000085
571.000000, 0.000157
572.000000, 0.000063
573.000000, 0.000108
574.000000, 0.000085
575.000000, 0.000223
576.000000, 0.000083
577.000000, 0.000107
578.000000, 0.000151
579.000000, 0.000104
580.000000, 0.000203
581.000000, 0.000087
582.000000, 0.000026
583.000000, 0.000219
584.000000, 0.000157
585.000000, 0.000150
586.000000, 0.000348
587.000000, 0.000104
588.000000, 0.000188
589.000000, 0.000367
590.000000, 0.000131
591.000000, 0.000195
592.000000, 0.000320
593.000000, 0.000074
594.000000, 0.000346
595.000000, 0.000355
596.000000, 0.000249
597.000000, 0.000203
598.000000, 0.000342
599.000000, 0.000275
600.000000, 0.000157
601.000000, 0.000251
602.000000, 0.000059
603.000000, 0.000018
604.000000, 0.000259
605.000000, 0.000167
606.000000, 0.000227
607.000000, 0.000105
608.000000, 0.000122
609.000000, 0.000150
610.000000, 0.000039
611.000000, 0.000074
612.000000, 0.000034
613.000000, 0.000240
614.000000, 0.000065
615.000000, 0.000099
616.000000, 0.000099
617.000000, 0.000195
618.000000, 0.000181
619.000000, 0.000282
620.000000, 0.000145
621.000000, 0.000136
622.000000, 0.000084
623.000000, 0.000199
624.000000, 0.000028
625.000000, 0.000067
626.000000, 0.000165
627.000000, 0.000069
628.000000, 0.000009
629.000000, 0.000155
630.000000, 0.000200
631.000000, 0.000022
632.000000, 0.000144
633.000000, 0.000111
634.000000, 0.000200
635.000000, 0.000250
636.000000, 0.000209
637.000000, 0.000190
638.000000, 0.000094
639.000000, 0.000178
640.000000, 0.000016
641.000000, 0.000217
642.000000, 0.000250
643.000000, 0.000148
644.000000, 0.000462
645.000000, 0.000325
646.000000, 0.000116
647.000000, 0.000107
648.000000, 0.000184
649.000000, 0.000140
650.000000, 0.000132
651.000000, 0.000201
652.000000, 0.000145
653.000000, 0.000134
654.000000, 0.000187
655.000000, 0.000115
656.000000, 0.000020
657.000000, 0.000148
658.000000, 0.000182
659.000000, 0.000231
660.000000, 0.000136
661.000000, 0.000062
662.000000, 0.000226
663.000000, 0.000203
664.000000, 0.000100
665.000000, 0.000178
666.000000, 0.000131
667.000000, 0.000101
668.000000, 0.000312
669.000000, 0.000149
670.000000, 0.000148
671.000000, 0.000043
672.000000, 0.000013
673.000000, 0.000072
674.000000, 0.000081
675.000000, 0.000092
676.000000, 0.000112
677.000000, 0.000118
678.000000, 0.000009
679.000000, 0.000167
680.000000, 0.000052
681.000000, 0.000047
682.000000, 0.000032
683.000000, 0.000038
684.000000, 0.000173
685.000000, 0.000006
686.000000, 0.000087
687.000000, 0.000105
688.000000, 0.000144
689.000000, 0.000174
