# Wavelength  (nm), Transmission (%)
200.000000, 0.000076
201.000000, 0.000074
202.000000, 0.000093
203.000000, 0.000072
204.000000, 0.000074
205.000000, 0.000103
206.000000, 0.000085
207.000000, 0.000077
208.000000, 0.000060
209.000000, 0.000071
210.000000, 0.000068
211.000000, 0.000080
212.000000, 0.000058
213.000000, 0.000080
214.000000, 0.000066
215.000000, 0.000061
216.000000, 0.000067
217.000000, 0.000055
218.000000, 0.000044
219.000000, 0.000058
220.000000, 0.000044
221.000000, 0.000037
222.000000, 0.000048
223.000000, 0.000052
224.000000, 0.000030
225.000000, 0.000040
226.000000, 0.000052
227.000000, 0.000048
228.000000, 0.000033
229.000000, 0.000053
230.000000, 0.000031
231.000000, 0.000041
232.000000, 0.000031
233.000000, 0.000033
234.000000, 0.000032
235.000000, 0.000030
236.000000, 0.000031
237.000000, 0.000041
238.000000, 0.000028
239.000000, 0.000020
240.000000, 0.000025
241.000000, 0.000043
242.000000, 0.000031
243.000000, 0.000021
244.000000, 0.000016
245.000000, 0.000038
246.000000, 0.000025
247.000000, 0.000014
248.000000, 0.000032
249.000000, 0.000023
250.000000, 0.000021
251.000000, 0.000016
252.000000, 0.000015
253.000000, 0.000018
254.000000, 0.000023
255.000000, 0.000009
256.000000, 0.000025
257.000000, 0.000010
258.000000, 0.000013
259.000000, 0.000012
260.000000, 0.000016
261.000000, 0.000017
262.000000, 0.000016
263.000000, 0.000033
264.000000, 0.000009
265.000000, 0.000012
266.000000, 0.000026
267.000000, 0.000011
268.000000, 0.000011
269.000000, 0.000033
270.000000, 0.000011
271.000000, 0.000012
272.000000, 0.000024
273.000000, 0.000006
274.000000, 0.000014
275.000000, 0.000029
276.000000, 0.000013
277.000000, 0.000018
278.000000, 0.000027
279.000000, 0.000011
280.000000, 0.000006
281.000000, 0.000006
282.000000, 0.000033
283.000000, 0.000007
284.000000, 0.000000
285.000000, 0.000032
286.000000, 0.000010
287.000000, 0.000025
288.000000, 0.000010
289.000000, 0.000008
290.000000, 0.000021
291.000000, 0.000009
292.000000, 0.000007
293.000000, 0.000023
294.000000, 0.000006
295.000000, 0.000028
296.000000, 0.000009
297.000000, 0.000020
298.000000, 0.000002
299.000000, 0.000006
300.000000, 0.000022
301.000000, 0.000016
302.000000, 0.000009
303.000000, 0.000027
304.000000, 0.000014
305.000000, 0.000016
306.000000, 0.000028
307.000000, 0.000006
308.000000, 0.000016
309.000000, 0.000009
310.000000, 0.000008
311.000000, 0.000030
312.000000, 0.000021
313.000000, 0.000009
314.000000, 0.000018
315.000000, 0.000012
316.000000, 0.000003
317.000000, 0.000033
318.000000, 0.000016
319.000000, 0.000009
320.000000, 0.000010
321.000000, 0.000008
322.000000, 0.000044
323.000000, 0.000011
324.000000, 0.000018
325.000000, 0.000014
326.000000, 0.000035
327.000000, 0.000026
328.000000, 0.000020
329.000000, 0.000015
330.000000, 0.000048
331.000000, 0.000023
332.000000, 0.000045
333.000000, 0.000063
334.000000, 0.000031
335.000000, 0.000036
336.000000, 0.000051
337.000000, 0.000057
338.000000, 0.000069
339.000000, 0.000078
340.000000, 0.000100
341.000000, 0.000152
342.000000, 0.000157
343.000000, 0.000199
344.000000, 0.000273
345.000000, 0.000370
346.000000, 0.000444
347.000000, 0.000561
348.000000, 0.000771
349.000000, 0.000725
350.000000, 0.001270
351.000000, 0.001640
352.000000, 0.002110
353.000000, 0.002780
354.000000, 0.003500
355.000000, 0.004480
356.000000, 0.005640
357.000000, 0.006960
358.000000, 0.008560
359.000000, 0.010490
360.000000, 0.012790
361.000000, 0.015250
362.000000, 0.017920
363.000000, 0.020740
364.000000, 0.023320
365.000000, 0.025670
366.000000, 0.027400
367.000000, 0.028720
368.000000, 0.029800
369.000000, 0.030860
370.000000, 0.031980
371.000000, 0.033740
372.000000, 0.035830
373.000000, 0.038340
374.000000, 0.041380
375.000000, 0.044790
376.000000, 0.048460
377.000000, 0.052060
378.000000, 0.055480
379.000000, 0.058640
380.000000, 0.060910
381.000000, 0.062200
382.000000, 0.062490
383.000000, 0.061400
384.000000, 0.059320
385.000000, 0.056490
386.000000, 0.053130
387.000000, 0.049420
388.000000, 0.045740
389.000000, 0.042050
390.000000, 0.038780
391.000000, 0.035830
392.000000, 0.032970
393.000000, 0.030460
394.000000, 0.028170
395.000000, 0.026020
396.000000, 0.024000
397.000000, 0.022250
398.000000, 0.020520
399.000000, 0.018980
400.000000, 0.017490
401.000000, 0.016210
402.000000, 0.015070
403.000000, 0.014140
404.000000, 0.013430
405.000000, 0.012890
406.000000, 0.012590
407.000000, 0.012350
408.000000, 0.012300
409.000000, 0.012190
410.000000, 0.011790
411.000000, 0.011170
412.000000, 0.010270
413.000000, 0.009100
414.000000, 0.007800
415.000000, 0.006560
416.000000, 0.005490
417.000000, 0.004660
418.000000, 0.004050
419.000000, 0.003680
420.000000, 0.003440
421.000000, 0.003320
422.000000, 0.003350
423.000000, 0.003610
424.000000, 0.003960
425.000000, 0.004420
426.000000, 0.004860
427.000000, 0.005060
428.000000, 0.004830
429.000000, 0.004190
430.000000, 0.003450
431.000000, 0.002710
432.000000, 0.002140
433.000000, 0.001740
434.000000, 0.001550
435.000000, 0.001470
436.000000, 0.001510
437.000000, 0.001770
438.000000, 0.002310
439.000000, 0.003250
440.000000, 0.003970
441.000000, 0.003550
442.000000, 0.002220
443.000000, 0.001040
444.000000, 0.000457
445.000000, 0.000236
446.000000, 0.000146
447.000000, 0.000092
448.000000, 0.000058
449.000000, 0.000046
450.000000, 0.000033
451.000000, 0.000031
452.000000, 0.000023
453.000000, 0.000002
454.000000, 0.000016
455.000000, 0.000007
456.000000, 0.000010
457.000000, 0.000012
458.000000, 0.000001
459.000000, 0.000017
460.000000, 0.000006
461.000000, 0.000001
462.000000, 0.000007
463.000000, 0.000003
464.000000, 0.000014
465.000000, 0.000010
