# Wavelength  (nm), Transmission (%)
350.000000, 0.719382
351.000000, 1.790504
352.000000, 1.323586
353.000000, 1.303220
354.000000, 1.144388
355.000000, 0.362186
356.000000, 0.614820
357.000000, 1.510726
358.000000, 0.750534
359.000000, 2.224879
360.000000, 1.054222
361.000000, 0.828449
362.000000, 0.269193
363.000000, 1.354674
364.000000, 0.740694
365.000000, 0.455992
366.000000, 0.225363
367.000000, 0.347494
368.000000, 0.357235
369.000000, 0.459036
370.000000, 0.026843
371.000000, 0.342168
372.000000, 0.484972
373.000000, 0.670555
374.000000, 0.290920
375.000000, 0.824716
376.000000, 1.241823
377.000000, 1.923701
378.000000, 2.109456
379.000000, 2.437895
380.000000, 2.511935
381.000000, 2.180824
382.000000, 3.712171
383.000000, 8.384590
384.000000, 13.179708
385.000000, 19.839623
386.000000, 23.304857
387.000000, 22.064211
388.000000, 18.289501
389.000000, 12.965514
390.000000, 10.439499
391.000000, 11.249273
392.000000, 12.651298
393.000000, 15.382673
394.000000, 13.612143
395.000000, 10.144032
396.000000, 7.894804
397.000000, 7.437104
398.000000, 12.401647
399.000000, 21.110609
400.000000, 32.414314
401.000000, 44.367401
402.000000, 54.816895
403.000000, 61.902473
404.000000, 64.587601
405.000000, 61.929321
406.000000, 55.355789
407.000000, 47.673428
408.000000, 39.707195
409.000000, 32.864624
410.000000, 27.862110
411.000000, 26.092382
412.000000, 29.693369
413.000000, 39.130226
414.000000, 53.017628
415.000000, 68.233711
416.000000, 80.849335
417.000000, 88.852318
418.000000, 92.464287
419.000000, 93.356689
420.000000, 93.382408
421.000000, 93.357613
422.000000, 94.060944
423.000000, 94.512703
424.000000, 94.514755
425.000000, 94.730003
426.000000, 94.661118
427.000000, 94.606407
428.000000, 94.672997
429.000000, 94.561440
430.000000, 94.852798
431.000000, 95.034531
432.000000, 95.031525
433.000000, 94.837654
434.000000, 94.671234
435.000000, 94.610260
436.000000, 94.635521
437.000000, 94.572990
438.000000, 94.266068
439.000000, 94.297363
440.000000, 94.129311
441.000000, 94.226494
442.000000, 94.143570
443.000000, 94.125511
444.000000, 94.104721
445.000000, 94.146530
446.000000, 94.171738
447.000000, 94.110153
448.000000, 94.109337
449.000000, 94.153664
450.000000, 93.680412
451.000000, 93.197945
452.000000, 92.609093
453.000000, 91.129921
454.000000, 88.683166
455.000000, 85.138252
456.000000, 80.683441
457.000000, 76.990196
