# Wavelength  (nm), Transmission (%)
200.000000, 29.315343
210.000000, 27.825490
220.000000, 26.075738
230.000000, 24.459028
240.000000, 23.239160
250.000000, 22.576732
260.000000, 22.494196
270.000000, 22.920533
280.000000, 23.734026
290.000000, 24.765492
300.000000, 25.891235
310.000000, 27.018430
320.000000, 28.017742
330.000000, 28.845462
340.000000, 29.475883
350.000000, 29.905979
360.000000, 30.186230
370.000000, 30.330999
380.000000, 30.344330
390.000000, 30.281265
400.000000, 30.153910
410.000000, 29.943477
420.000000, 29.713716
430.000000, 29.471977
440.000000, 29.182474
450.000000, 28.886289
460.000000, 28.599284
470.000000, 28.285138
480.000000, 27.968479
490.000000, 27.679903
500.000000, 27.382140
510.000000, 27.090768
520.000000, 26.819338
530.000000, 26.533403
540.000000, 26.258877
550.000000, 25.995402
560.000000, 25.728973
570.000000, 25.465854
580.000000, 25.211594
590.000000, 24.967981
600.000000, 24.717893
610.000000, 24.479218
620.000000, 24.253402
630.000000, 24.021990
640.000000, 23.810447
650.000000, 23.615187
660.000000, 23.404308
670.000000, 23.210850
680.000000, 23.036106
690.000000, 22.852162
700.000000, 22.682256
710.000000, 22.535400
720.000000, 22.381476
730.000000, 22.241880
740.000000, 22.129608
750.000000, 22.010669
760.000000, 21.905683
770.000000, 21.815860
780.000000, 21.712477
790.000000, 21.634369
800.000000, 21.569014
810.000000, 21.501339
820.000000, 21.447202
830.000000, 21.396341
840.000000, 21.340458
850.000000, 21.399197
860.000000, 21.469567
870.000000, 21.435620
880.000000, 21.386266
890.000000, 21.351889
900.000000, 21.318375
910.000000, 21.277443
920.000000, 21.234276
930.000000, 21.195887
940.000000, 21.162506
950.000000, 21.121044
960.000000, 21.085377
970.000000, 21.054851
980.000000, 21.014622
990.000000, 20.974105
1000.000000, 20.935168
1010.000000, 20.895763
1020.000000, 20.835913
1030.000000, 20.777738
1040.000000, 20.748093
1050.000000, 20.711710
1060.000000, 20.676144
1070.000000, 20.642782
